Date,Open,High,Low,Close,Volume,Adj Close
1993-04-23,19.5,19.5,18.75,19.25,16484800,2.40625
1993-04-26,19.0,19.25,18.75,18.75,3334400,2.34375
1993-04-27,19.0,19.0,18.25,18.5,2046400,2.3125
1993-04-28,18.75,18.75,18.25,18.25,897600,2.28125
1993-04-29,18.25,18.75,18.25,18.5,844800,2.3125
1993-04-30,18.75,19.25,18.5,18.75,1180800,2.34375
1993-05-03,19.25,19.25,18.5,18.75,623200,2.34375
1993-05-04,19.0,19.25,18.5,19.0,555200,2.375
1993-05-05,19.0,19.5,19.0,19.5,900800,2.4375
1993-05-06,19.5,19.75,19.0,19.62496,635200,2.45312
1993-05-07,19.25,19.75,19.25,19.25,170400,2.40625
1993-05-10,19.75,20.0,19.25,19.5,438400,2.4375
1993-05-11,19.5,20.25,19.5,19.75,312800,2.46875
1993-05-12,20.0,20.25,19.5,20.25,907200,2.53125
1993-05-13,20.25,20.75,19.75,20.75,608000,2.59375
1993-05-14,20.75,22.25,20.25,21.87504,774400,2.73438
1993-05-17,22.25,22.25,21.0,21.5,349600,2.6875
1993-05-18,21.0,21.5,20.75,21.25,555200,2.65625
1993-05-19,21.25,21.25,20.5,20.87504,408800,2.60938
1993-05-20,21.0,21.0,20.5,20.5,428000,2.5625
1993-05-21,20.5,21.0,20.5,20.75,144000,2.59375
1993-05-24,21.0,21.0,20.5,20.5,16800,2.5625
1993-05-25,20.5,21.0,20.5,20.75,62400,2.59375
1993-05-26,21.0,21.0,20.5,20.5,206400,2.5625
1993-05-27,20.75,21.0,20.5,21.0,196800,2.625
1993-05-28,21.0,21.25,20.5,21.25,175200,2.65625
1993-06-01,21.25,22.0,21.25,21.25,525600,2.65625
1993-06-02,21.75,22.25,21.25,22.25,302400,2.78125
1993-06-03,22.5,22.5,22.0,22.5,341600,2.8125
1993-06-04,22.5,22.5,22.0,22.0,86400,2.75
1993-06-07,22.5,22.5,22.0,22.5,288000,2.8125
1993-06-08,22.5,22.5,22.0,22.5,616800,2.8125
1993-06-09,22.0,22.5,22.0,22.5,96800,2.8125
1993-06-10,22.25,23.25,22.25,22.75,1295200,2.84375
1993-06-11,23.0,23.25,22.75,23.0,213600,2.875
1993-06-14,23.25,23.25,22.75,22.75,80800,2.84375
1993-06-15,23.25,23.25,22.0,22.5,663200,2.8125
1993-06-16,22.0,22.5,22.0,22.0,353600,2.75
1993-06-17,22.0,22.5,22.0,22.0,135200,2.75
1993-06-18,22.5,23.25,22.0,23.0,132800,2.875
1993-06-21,22.75,23.5,22.75,23.12496,365600,2.89062
1993-06-22,23.5,23.5,23.0,23.5,92000,2.9375
1993-06-23,23.5,23.5,23.0,23.5,132000,2.9375
1993-06-24,23.5,23.5,23.0,23.5,39200,2.9375
1993-06-25,23.5,23.5,22.75,23.5,167200,2.9375
1993-06-28,23.5,23.75,22.75,23.75,244800,2.96875
1993-06-29,23.25,25.0,23.25,24.25,301600,3.03125
1993-06-30,24.75,24.75,23.5,24.0,194400,3.0
1993-07-01,24.0,24.0,23.25,23.25,49600,2.90625
1993-07-02,23.25,23.75,23.0,23.5,37600,2.9375
1993-07-06,23.5,23.5,23.5,23.5,18400,2.9375
1993-07-07,23.5,23.5,23.0,23.5,44000,2.9375
1993-07-08,23.5,24.0,23.5,23.5,62400,2.9375
1993-07-09,24.0,24.0,23.5,24.0,6400,3.0
1993-07-12,24.0,24.0,23.5,24.0,53600,3.0
1993-07-13,23.5,24.0,23.5,23.75,44800,2.96875
1993-07-14,24.0,24.0,24.0,24.0,4000,3.0
1993-07-15,24.0,24.0,23.5,23.5,4800,2.9375
1993-07-16,24.0,24.0,23.5,23.5,30400,2.9375
1993-07-19,23.5,23.75,23.25,23.25,161600,2.90625
1993-07-20,23.75,23.75,23.25,23.25,148800,2.90625
1993-07-21,23.25,24.0,23.25,24.0,13600,3.0
1993-07-22,24.0,24.0,23.25,23.25,78400,2.90625
1993-07-23,23.75,23.75,23.25,23.5,100800,2.9375
1993-07-26,23.5,23.75,23.5,23.5,34400,2.9375
1993-07-27,23.5,23.75,23.5,23.5,33600,2.9375
1993-07-28,24.0,24.0,23.5,23.5,139200,2.9375
1993-07-29,24.0,24.0,23.5,23.5,11200,2.9375
1993-07-30,23.5,24.25,23.5,23.75,220000,2.96875
1993-08-02,23.5,23.75,23.25,23.75,129600,2.96875
1993-08-03,23.75,23.75,23.25,23.75,192000,2.96875
1993-08-04,23.75,23.75,23.25,23.25,71200,2.90625
1993-08-05,23.75,23.75,23.25,23.5,160800,2.9375
1993-08-06,23.75,23.75,23.25,23.25,338400,2.90625
1993-08-09,23.0,23.5,23.0,23.12496,67200,2.89062
1993-08-10,23.0,23.37504,23.0,23.0,638400,2.875
1993-08-11,23.5,23.5,23.0,23.5,16800,2.9375
1993-08-12,23.0,23.75,23.0,23.75,301600,2.96875
1993-08-13,23.25,24.0,23.25,24.0,52000,3.0
1993-08-16,24.0,24.0,23.25,23.5,320800,2.9375
1993-08-17,24.0,24.0,23.25,24.0,72800,3.0
1993-08-18,23.25,24.0,23.25,23.62496,40800,2.95312
1993-08-19,23.25,24.0,23.25,23.25,19200,2.90625
1993-08-20,24.0,24.0,23.25,23.25,34400,2.90625
1993-08-23,23.25,23.37504,23.25,23.25,412000,2.90625
1993-08-24,23.25,23.75,23.25,23.75,554400,2.96875
1993-08-25,23.75,23.75,23.25,23.37504,159200,2.92188
1993-08-26,23.25,23.75,23.25,23.75,35200,2.96875
1993-08-27,23.75,23.75,23.75,23.75,3200,2.96875
1993-08-30,23.25,23.75,23.0,23.0,187200,2.875
1993-08-31,23.0,23.5,23.0,23.5,5600,2.9375
1993-09-01,23.0,23.37504,22.75,23.0,496800,2.875
1993-09-02,23.25,23.25,22.5,22.75,72800,2.84375
1993-09-03,23.25,23.25,22.75,23.25,21600,2.90625
1993-09-07,23.25,23.25,22.75,22.75,38400,2.84375
1993-09-08,22.75,23.0,22.37504,22.75,150400,2.84375
1993-09-09,22.25,22.75,22.25,22.75,176000,2.84375
1993-09-10,22.75,23.25,22.5,23.25,145600,2.90625
1993-09-13,23.25,23.25,22.75,22.75,10400,2.84375
1993-09-14,22.75,23.5,22.75,23.5,108800,2.9375
1993-09-15,23.0,23.5,23.0,23.5,31200,2.9375
1993-09-16,23.5,23.5,23.0,23.5,40800,2.9375
1993-09-17,23.5,23.5,23.0,23.5,24800,2.9375
1993-09-20,23.5,23.75,23.0,23.75,144800,2.96875
1993-09-21,23.75,24.0,23.5,24.0,152000,3.0
1993-09-22,23.5,24.0,23.5,23.5,208000,2.9375
1993-09-23,24.0,24.5,23.5,24.25,478400,3.03125
1993-09-24,25.0,25.0,24.25,24.25,47200,3.03125
1993-09-27,24.75,24.75,24.25,24.25,85600,3.03125
1993-09-28,24.25,24.75,24.25,24.75,664000,3.09375
1993-09-29,24.75,24.75,24.25,24.25,144800,3.03125
1993-09-30,24.75,24.75,23.0,23.25,970400,2.90625
1993-10-01,23.75,23.75,23.25,23.75,132800,2.96875
1993-10-04,23.75,23.75,23.62496,23.75,26400,2.96875
1993-10-05,23.75,24.0,23.5,23.75,300000,2.96875
1993-10-06,24.25,24.25,23.5,23.75,34400,2.96875
1993-10-07,24.25,24.25,23.75,24.25,18400,3.03125
1993-10-08,24.25,24.75,23.75,24.75,55200,3.09375
1993-10-11,24.75,25.0,24.0,24.75,125600,3.09375
1993-10-12,25.25,26.75,25.25,26.5,242400,3.3125
1993-10-13,26.5,26.5,25.75,26.0,109600,3.25
1993-10-14,25.75,26.25,25.75,26.25,42400,3.28125
1993-10-15,26.75,28.5,26.25,28.5,210400,3.5625
1993-10-18,28.75,29.25,28.5,29.0,160000,3.625
1993-10-19,29.0,29.25,28.5,29.0,84000,3.625
1993-10-20,29.25,29.5,28.75,29.5,72800,3.6875
1993-10-21,30.5,31.5,29.75,31.0,226400,3.875
1993-10-22,31.0,32.5,29.5,29.5,720800,3.6875
1993-10-25,28.75,29.5,28.75,29.0,98400,3.625
1993-10-26,29.5,30.5,29.25,30.0,56800,3.75
1993-10-27,31.0,31.25,30.75,31.25,104800,3.90625
1993-10-28,31.25,31.25,30.75,31.25,52800,3.90625
1993-10-29,31.25,31.5,30.75,30.75,329600,3.84375
1993-11-01,31.5,31.5,30.75,30.75,74400,3.84375
1993-11-02,30.75,31.75,30.75,31.75,87200,3.96875
1993-11-03,31.0,31.5,30.75,30.75,308000,3.84375
1993-11-04,31.5,31.5,30.5,31.0,49600,3.875
1993-11-05,30.25,30.5,29.25,29.75,105600,3.71875
1993-11-08,29.75,29.75,29.25,29.75,33600,3.71875
1993-11-09,30.0,30.25,29.5,29.5,152000,3.6875
1993-11-10,29.5,30.25,29.5,29.5,24800,3.6875
1993-11-11,29.75,30.5,29.75,29.75,22400,3.71875
1993-11-12,30.0,30.5,29.25,29.5,166400,3.6875
1993-11-15,29.5,29.5,28.75,28.75,18400,3.59375
1993-11-16,28.75,29.25,28.75,28.75,9600,3.59375
1993-11-17,28.75,29.25,28.75,29.25,39200,3.65625
1993-11-18,28.75,29.25,28.75,28.75,66400,3.59375
1993-11-19,28.75,29.25,28.375040000000002,28.5,98400,3.5625
1993-11-22,28.0,28.25,27.5,28.25,72800,3.53125
1993-11-23,28.25,28.25,27.5,28.25,6400,3.53125
1993-11-24,28.25,28.25,27.5,28.0,36800,3.5
1993-11-26,28.25,28.25,28.25,28.25,1600,3.53125
1993-11-29,28.25,28.25,28.0,28.0,48000,3.5
1993-11-30,28.25,28.25,27.5,27.5,333600,3.4375
1993-12-01,28.25,29.5,27.75,29.5,88000,3.6875
1993-12-02,29.5,30.25,29.0,30.25,75200,3.78125
1993-12-03,29.5,30.25,29.5,29.75,19200,3.71875
1993-12-06,30.5,30.5,29.75,30.5,10400,3.8125
1993-12-07,31.0,31.0,30.25,30.624959999999998,23200,3.8281199999999997
1993-12-08,30.25,31.0,29.5,29.75,104800,3.71875
1993-12-09,30.0,30.0,30.0,30.0,1600,3.75
1993-12-10,30.0,30.0,29.25,30.0,11200,3.75
1993-12-13,29.5,30.0,29.5,29.5,6400,3.6875
1993-12-14,29.75,30.0,29.5,29.5,665600,3.6875
1993-12-15,29.5,29.5,29.0,29.0,61600,3.625
1993-12-16,29.5,29.5,28.75,28.75,14400,3.59375
1993-12-17,29.124959999999998,29.5,28.75,29.5,19200,3.6875
1993-12-20,29.124959999999998,29.5,28.75,29.124959999999998,21600,3.6406199999999997
1993-12-21,29.5,29.5,29.25,29.25,2400,3.65625
1993-12-22,28.75,29.25,28.5,28.5,108000,3.5625
1993-12-23,28.25,29.0,28.25,28.25,26400,3.53125
1993-12-27,29.0,29.0,29.0,29.0,3200,3.625
1993-12-28,29.0,29.0,28.5,29.0,9600,3.625
1993-12-29,29.0,29.0,28.25,28.25,5600,3.53125
1993-12-30,29.0,29.0,29.0,29.0,5600,3.625
1993-12-31,29.0,29.0,28.75,29.0,24800,3.625
1994-01-03,29.0,29.5,28.5,29.25,64000,3.65625
1994-01-04,30.0,30.25,29.5,30.25,52800,3.78125
1994-01-05,30.5,30.5,29.75,30.5,115200,3.8125
1994-01-06,30.5,30.5,29.75,30.0,438400,3.75
1994-01-07,30.25,30.5,30.0,30.25,72800,3.78125
1994-01-10,30.5,30.5,30.25,30.25,38400,3.78125
1994-01-11,30.25,30.5,30.0,30.5,130400,3.8125
1994-01-12,30.75,31.0,30.0,31.0,1144800,3.875
1994-01-13,31.25,32.25,31.25,32.25,70400,4.03125
1994-01-14,32.25,33.5,31.75,33.0,110400,4.125
1994-01-17,33.75,33.75,33.0,33.0,20000,4.125
1994-01-18,33.75,33.75,31.75,31.75,152800,3.96875
1994-01-19,32.25,32.25,31.75,32.0,25600,4.0
1994-01-20,31.75,32.25,31.75,32.25,13600,4.03125
1994-01-21,32.25,32.25,31.75,32.25,705600,4.03125
1994-01-24,31.75,31.75,31.75,31.75,3200,3.96875
1994-01-25,31.75,32.25,31.75,32.25,21600,4.03125
1994-01-26,31.75,32.25,31.75,32.25,28800,4.03125
1994-01-27,32.25,32.25,32.25,32.25,19200,4.03125
1994-01-28,31.75,32.25,31.75,32.25,86400,4.03125
1994-01-31,31.75,32.25,31.75,31.75,65600,3.96875
1994-02-01,31.75,32.5,31.75,32.25,139200,4.03125
1994-02-02,32.5,33.0,32.25,32.75,150400,4.09375
1994-02-03,32.25,33.0,32.25,33.0,87200,4.125
1994-02-04,32.5,33.0,32.25,32.5,107200,4.0625
1994-02-07,32.5,33.5,32.5,33.5,179200,4.1875
1994-02-08,33.25,33.5,33.25,33.25,42400,4.15625
1994-02-09,33.25,34.0,33.25,34.0,50400,4.25
