Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,47.0,48.375,46.75,48.0,615600,4.580061
1990-01-03,48.0,48.0,47.375,48.0,621200,4.580061
1990-01-04,48.0,48.0,47.5,48.0,425600,4.580061
1990-01-05,48.0,48.25,47.75,48.25,538400,4.603916000000001
1990-01-08,48.0,48.25,48.0,48.0,291200,4.580061
1990-01-09,48.0,48.375,47.25,47.625,370800,4.5442800000000005
1990-01-10,47.375,47.75,47.25,47.5,228400,4.5323519999999995
1990-01-11,47.25,48.375,47.25,48.0,516000,4.580061
1990-01-12,47.25,47.5,46.5,47.0,1100400,4.484643
1990-01-15,46.0,46.375,45.5,45.625,608800,4.3534440000000005
1990-01-16,45.0,45.25,44.25,44.875,3499200,4.28188
1990-01-17,45.0,45.125,44.0,44.0,1042800,4.19839
1990-01-18,44.125,44.125,42.625,43.0,626000,4.102972
1990-01-19,43.0,43.375,42.625,42.625,1400400,4.06719
1990-01-22,42.75,42.875,41.125,41.25,1501200,3.9359900000000003
1990-01-23,41.5,41.625,41.0,41.0,1267600,3.9121360000000003
1990-01-24,40.25,43.0,40.25,42.375,1967600,4.043335
1990-01-25,42.625,42.875,42.125,42.25,514000,4.031408
1990-01-26,42.375,43.25,42.25,43.125,550000,4.114898999999999
1990-01-29,43.25,43.75,43.25,43.375,770800,4.1387529999999995
1990-01-30,43.25,43.625,42.75,42.875,810000,4.091044
1990-01-31,43.125,43.25,43.0,43.25,651200,4.126826
1990-02-01,43.75,43.75,43.375,43.5,245200,4.150681
1990-02-02,43.375,43.75,43.125,43.5,849600,4.150681
1990-02-05,43.125,43.125,41.25,41.75,700800,3.9836989999999997
1990-02-06,41.5,41.875,40.5,41.875,3653200,3.995627
1990-02-07,42.25,44.0,42.25,43.75,1192000,4.174535
1990-02-08,43.625,43.75,42.75,42.75,1602400,4.079117
1990-02-09,42.75,43.75,42.75,43.75,706000,4.174535
1990-02-12,43.5,44.0,43.25,43.5,457200,4.150681
1990-02-13,43.625,43.875,43.25,43.75,242400,4.174535
1990-02-14,43.625,43.875,43.5,43.625,557200,4.1626080000000005
1990-02-15,43.625,44.25,43.5,44.0,348400,4.19839
1990-02-16,43.875,44.0,43.375,43.875,369600,4.215202
1990-02-20,43.625,43.625,42.25,42.625,848400,4.095111
1990-02-21,42.5,43.5,42.375,43.5,493600,4.179175
1990-02-22,43.5,45.25,43.375,44.0,591200,4.2272110000000005
1990-02-23,43.5,43.625,42.875,43.25,320800,4.155157
1990-02-26,43.25,44.125,43.125,44.125,402400,4.239221
1990-02-27,44.0,45.25,43.875,44.25,569600,4.2512300000000005
1990-02-28,44.25,45.125,44.25,44.875,790800,4.311275
1990-03-01,44.75,45.5,44.625,45.375,992800,4.359312
1990-03-02,45.375,45.625,45.125,45.375,285600,4.359312
1990-03-05,45.375,45.5,45.125,45.25,346000,4.347303
1990-03-06,45.375,45.625,45.0,45.375,549600,4.359312
1990-03-07,45.625,46.625,45.625,46.125,778400,4.431367
1990-03-08,46.125,47.125,46.0,47.125,574800,4.527439
1990-03-09,47.0,47.0,46.0,46.25,459600,4.443376
1990-03-12,46.25,46.25,45.375,46.0,294400,4.419357
1990-03-13,46.0,46.75,45.625,45.625,795200,4.38333
1990-03-14,45.625,46.0,45.375,45.625,336800,4.38333
1990-03-15,45.5,46.5,45.5,46.0,516800,4.419357
1990-03-16,46.5,46.5,46.125,46.375,423600,4.455385
1990-03-19,46.375,47.0,45.875,46.625,308800,4.479403
1990-03-20,46.875,47.5,46.875,47.375,424400,4.551458
1990-03-21,47.25,47.375,46.875,47.0,508000,4.51543
1990-03-22,46.875,47.0,46.25,46.375,319600,4.455385
1990-03-23,46.5,46.75,45.25,46.25,456000,4.443376
1990-03-26,46.75,46.75,46.0,46.5,356400,4.4673940000000005
1990-03-27,46.625,48.25,46.5,47.625,518400,4.575476
1990-03-28,47.625,47.875,47.125,47.75,280400,4.587485
1990-03-29,47.625,47.75,47.125,47.375,231600,4.551458
1990-03-30,47.125,47.25,46.375,46.75,317200,4.491412
1990-04-02,46.25,47.5,46.25,47.5,227200,4.563467
1990-04-03,47.25,47.75,47.125,47.375,394000,4.551458
1990-04-04,47.0,47.125,46.25,46.5,860800,4.4673940000000005
1990-04-05,46.75,46.75,45.875,46.375,369200,4.455385
1990-04-06,46.125,46.5,46.125,46.125,229600,4.431367
1990-04-09,46.25,46.875,46.125,46.875,202000,4.503421
1990-04-10,46.875,47.75,46.75,47.75,252400,4.587485
1990-04-11,47.625,48.125,46.875,46.875,369200,4.503421
1990-04-12,47.0,48.625,47.0,48.625,363600,4.671549
1990-04-16,49.125,49.25,48.75,48.75,179200,4.6835580000000006
1990-04-17,47.75,48.0,47.125,47.5,549600,4.563467
1990-04-18,47.25,47.5,47.0,47.125,326800,4.527439
1990-04-19,46.875,47.0,46.5,46.5,471200,4.4673940000000005
1990-04-20,46.75,47.0,46.25,46.5,558000,4.4673940000000005
1990-04-23,46.0,46.125,45.75,45.875,321200,4.407348000000001
1990-04-24,45.875,46.5,45.5,45.875,486400,4.407348000000001
1990-04-25,46.25,47.375,46.25,47.375,820800,4.551458
1990-04-26,47.375,47.625,46.5,47.125,794000,4.527439
1990-04-27,47.0,47.125,46.75,46.875,552800,4.503421
1990-04-30,46.75,47.125,46.75,47.0,348000,4.51543
1990-05-01,46.875,47.125,46.625,47.125,246800,4.527439
1990-05-02,47.125,47.125,46.625,47.0,254000,4.51543
1990-05-03,47.125,47.5,46.75,47.0,1340400,4.51543
1990-05-04,47.125,47.125,46.25,46.875,841600,4.503421
1990-05-07,47.0,47.0,46.5,46.625,866800,4.479403
1990-05-08,46.5,47.0,46.5,47.0,553600,4.51543
1990-05-09,46.75,47.5,46.75,47.375,948000,4.551458
1990-05-10,47.375,47.75,47.25,47.375,648000,4.551458
1990-05-11,47.625,47.875,47.375,47.875,1102800,4.599494
1990-05-14,48.0,49.0,47.875,48.875,815600,4.695567
1990-05-15,48.75,49.375,48.625,49.0,707600,4.707576
1990-05-16,49.0,49.375,48.625,49.375,450400,4.743604
1990-05-17,49.375,49.75,48.5,48.625,320400,4.671549
1990-05-18,48.5,48.875,48.375,48.875,364400,4.695567
1990-05-21,48.375,49.75,48.375,48.75,363600,4.712484
1990-05-22,49.0,49.625,48.625,49.625,556000,4.797067
1990-05-23,49.875,50.25,49.5,50.25,418000,4.857483
1990-05-24,50.375,50.5,49.875,50.125,446800,4.8454
1990-05-25,50.125,50.75,49.875,50.625,266400,4.893733
1990-05-29,50.5,51.875,50.125,51.875,464000,5.014566
1990-05-30,51.875,52.0,51.75,52.0,362800,5.026649
1990-05-31,51.875,52.125,51.75,52.0,352400,5.026649
1990-06-01,52.25,52.5,52.0,52.375,630400,5.062899
1990-06-04,52.375,53.375,52.25,53.0,499200,5.123316
1990-06-05,52.75,53.5,52.625,52.75,393200,5.099149
1990-06-06,52.5,53.125,52.5,53.0,535600,5.123316
1990-06-07,52.75,53.5,52.25,53.0,1813600,5.123316
1990-06-08,52.5,52.75,51.625,51.75,286800,5.002483
1990-06-11,51.625,52.0,51.25,51.375,346800,4.966233
1990-06-12,51.25,52.0,51.25,51.875,433600,5.014566
1990-06-13,51.75,51.75,50.625,50.75,516000,4.905817
1990-06-14,50.5,50.625,50.0,50.5,479600,4.88165
1990-06-15,49.75,50.125,49.75,49.875,833200,4.821234
1990-06-18,50.0,50.0,48.625,49.375,430000,4.7729
1990-06-19,49.375,50.375,49.125,50.125,717600,4.8454
1990-06-20,50.25,50.25,49.375,49.5,373200,4.784984
1990-06-21,49.625,49.625,49.0,49.5,458000,4.784984
1990-06-22,49.5,49.5,48.375,48.5,678800,4.688317
1990-06-25,48.75,49.0,48.25,48.625,238000,4.700401
1990-06-26,48.875,49.125,47.0,47.125,1554000,4.555401
1990-06-27,47.375,48.625,47.25,48.0,733600,4.639983999999999
1990-06-28,47.75,48.875,47.75,48.875,327200,4.7245669999999995
1990-06-29,48.625,49.625,48.625,49.25,533200,4.760816999999999
1990-07-02,49.5,49.875,49.125,49.625,356000,4.797067
1990-07-03,50.25,50.25,49.75,50.0,344800,4.833317
1990-07-05,49.875,49.875,48.375,49.0,441600,4.73665
1990-07-06,48.625,49.75,48.625,49.625,488000,4.797067
1990-07-09,49.625,49.875,49.5,49.875,321600,4.821234
1990-07-10,45.0,45.125,43.5,43.5,6557600,4.204986
1990-07-11,43.625,44.625,43.625,44.25,2733200,4.2774849999999995
1990-07-12,44.125,44.75,44.0,44.5,1403200,4.301652
1990-07-13,44.25,44.25,43.5,43.75,2571600,4.229152
1990-07-16,43.875,44.0,43.625,43.75,1562800,4.229152
1990-07-17,43.75,44.0,43.625,43.75,1538800,4.229152
1990-07-18,43.75,44.0,43.625,43.875,733600,4.241235
1990-07-19,43.625,44.375,43.625,44.125,737600,4.265402
1990-07-20,43.875,43.875,43.625,43.75,1174400,4.229152
1990-07-23,43.625,43.625,42.625,43.0,1002800,4.156651999999999
1990-07-24,42.75,43.125,42.25,42.625,1255200,4.120403
1990-07-25,42.5,42.5,41.125,41.625,1715200,4.023736
1990-07-26,41.875,42.125,41.5,42.0,1329600,4.059986
1990-07-27,41.75,43.0,41.75,42.875,921600,4.144569000000001
1990-07-30,42.875,43.125,42.625,43.125,1008000,4.168736
1990-07-31,43.25,43.375,42.5,42.625,740400,4.120403
1990-08-01,42.25,43.125,42.25,43.0,1210800,4.156651999999999
1990-08-02,42.5,42.625,42.25,42.375,728400,4.096236
1990-08-03,42.25,42.625,42.0,42.125,1174800,4.072069
1990-08-06,41.5,41.5,40.625,40.75,793600,3.9391529999999997
1990-08-07,40.625,40.875,39.75,39.875,1071600,3.85457
1990-08-08,40.0,40.75,40.0,40.75,768800,3.9391529999999997
1990-08-09,40.625,41.375,40.5,41.25,568800,3.987486
1990-08-10,41.125,41.25,40.0,40.0,1301200,3.866653
1990-08-13,39.75,40.875,39.5,40.5,664800,3.9149870000000004
1990-08-14,40.625,41.0,40.375,40.625,493600,3.9270699999999996
1990-08-15,40.875,41.25,40.25,40.5,406000,3.9149870000000004
1990-08-16,40.25,40.375,39.75,40.0,313200,3.866653
1990-08-17,39.25,39.5,39.25,39.375,636400,3.8062370000000003
1990-08-20,39.25,39.875,39.25,39.75,1760000,3.842487
1990-08-21,39.25,39.25,38.25,38.375,1154800,3.7377800000000003
1990-08-22,38.375,38.375,36.75,36.75,1340400,3.579503
1990-08-23,36.0,36.25,35.375,35.875,1380800,3.494277
1990-08-24,36.0,36.25,35.0,35.625,414800,3.469926
1990-08-27,36.75,37.25,36.375,37.0,652800,3.603853
1990-08-28,37.125,37.75,37.125,37.375,514800,3.6403790000000003
1990-08-29,37.25,38.25,37.25,38.25,312000,3.7256050000000003
1990-08-30,38.5,38.625,37.5,37.625,674800,3.664729
1990-08-31,38.25,38.375,37.625,37.75,362800,3.676904
1990-09-04,37.5,37.625,37.25,37.625,324400,3.664729
1990-09-05,37.625,37.75,37.375,37.75,295600,3.676904
1990-09-06,37.875,37.875,37.375,37.5,269600,3.6525540000000003
1990-09-07,37.375,38.125,37.375,38.125,435600,3.7134300000000002
1990-09-10,38.0,38.25,37.375,37.5,840800,3.6525540000000003
1990-09-11,37.5,37.625,36.75,37.0,1304800,3.603853
1990-09-12,37.125,37.125,37.0,37.125,503600,3.616028
1990-09-13,37.125,37.125,36.375,36.625,654000,3.567328
1990-09-14,36.5,36.75,36.0,36.125,553200,3.5186269999999995
1990-09-17,36.625,36.625,35.25,35.625,734400,3.469926
1990-09-18,35.625,35.625,33.75,34.25,1468400,3.3359989999999997
1990-09-19,32.5,32.5,29.5,30.125,2066400,2.934218
1990-09-20,30.0,30.25,29.25,29.5,1648800,2.8733419999999996
1990-09-21,29.75,29.75,29.25,29.5,1399200,2.8733419999999996
1990-09-24,29.375,29.5,28.75,28.75,666000,2.800291
1990-09-25,28.75,29.25,28.625,29.0,840400,2.824642
1990-09-26,29.25,29.5,29.25,29.375,519200,2.861167
1990-09-27,29.25,29.5,28.125,28.25,601600,2.751591
1990-09-28,28.25,28.625,27.0,28.375,1519600,2.763766
1990-10-01,28.625,30.0,28.625,30.0,1488400,2.922043
1990-10-02,31.25,31.375,30.375,30.75,1753600,2.995094
1990-10-03,30.75,30.75,30.5,30.5,624400,2.970744
1990-10-04,30.75,31.25,30.375,31.25,1333600,3.0437950000000003
1990-10-05,30.25,32.0,30.25,31.75,1033600,3.092496
1990-10-08,32.125,32.125,31.25,31.625,411600,3.080321
1990-10-09,31.375,31.5,30.875,31.125,286000,3.03162
1990-10-10,31.125,31.625,30.375,31.625,362000,3.080321
1990-10-11,31.875,32.25,31.625,31.625,1670400,3.080321
1990-10-12,32.375,33.375,32.375,32.875,787600,3.2020720000000003
1990-10-15,32.875,33.125,32.5,33.0,712800,3.214248
1990-10-16,33.125,33.25,32.875,32.875,484800,3.2020720000000003
1990-10-17,33.125,33.125,32.75,32.75,1376400,3.189897
1990-10-18,32.75,32.875,31.875,32.5,1034400,3.165547
1990-10-19,32.5,32.875,32.375,32.75,624000,3.189897
1990-10-22,33.0,33.875,32.875,33.0,1234800,3.214248
1990-10-23,32.25,32.75,32.125,32.5,452000,3.165547
