Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,22.0,22.0,21.375,21.75,503400,7.590972
1990-01-03,21.875,21.875,21.625,21.75,375900,7.590972
1990-01-04,21.75,21.875,21.375,21.5,376100,7.503719
1990-01-05,21.375,21.5,20.875,21.0,521800,7.329214
1990-01-08,21.0,21.25,20.875,21.125,387200,7.372839999999999
1990-01-09,21.0,21.25,20.625,20.625,291900,7.198335
1990-01-10,20.625,21.0,20.5,21.0,395900,7.329214
1990-01-11,21.125,21.25,21.0,21.125,800300,7.372839999999999
1990-01-12,21.0,21.25,20.375,20.5,1263500,7.1547089999999995
1990-01-15,20.375,20.5,20.0,20.375,656000,7.111083
1990-01-16,20.25,20.875,20.125,20.875,620000,7.285588000000001
1990-01-17,20.875,21.125,20.75,20.75,502500,7.241961999999999
1990-01-18,20.75,21.375,20.75,21.375,972500,7.460093
1990-01-19,21.375,21.625,21.25,21.5,867000,7.503719
1990-01-22,21.625,21.625,20.75,20.875,439200,7.285588000000001
1990-01-23,21.0,21.375,20.875,21.25,485700,7.416467
1990-01-24,20.75,21.375,20.625,21.25,410200,7.416467
1990-01-25,21.25,21.5,21.0,21.0,339500,7.329214
1990-01-26,21.0,21.5,21.0,21.5,677900,7.503719
1990-01-29,21.375,21.5,21.0,21.25,852300,7.416467
1990-01-30,21.25,21.375,21.125,21.25,432700,7.416467
1990-01-31,21.25,21.75,21.25,21.75,379700,7.590972
1990-02-01,21.75,21.75,21.5,21.625,261100,7.547346000000001
1990-02-02,21.625,21.75,21.5,21.625,506800,7.547346000000001
1990-02-05,21.625,21.625,21.25,21.5,476300,7.503719
1990-02-06,21.375,21.5,21.25,21.5,354600,7.503719
1990-02-07,21.25,21.625,21.25,21.375,690800,7.460093
1990-02-08,21.5,21.5,21.375,21.375,298200,7.460093
1990-02-09,21.625,21.875,21.625,21.875,435500,7.6345979999999996
1990-02-12,21.75,22.0,21.625,21.75,437700,7.590972
1990-02-13,21.75,22.0,21.625,22.0,463400,7.678224
1990-02-14,22.0,22.125,21.75,22.0,436500,7.678224
1990-02-15,21.875,22.25,21.875,22.25,563700,7.765477000000001
1990-02-16,22.125,22.375,22.125,22.375,485200,7.8091029999999995
1990-02-20,22.125,22.25,22.0,22.0,344600,7.678224
1990-02-21,22.0,22.125,21.875,22.125,904900,7.721850999999999
1990-02-22,22.0,22.25,22.0,22.0,752200,7.678224
1990-02-23,22.0,22.125,21.875,22.0,1140900,7.678224
1990-02-26,22.0,22.375,22.0,22.375,469500,7.8091029999999995
1990-02-27,22.25,22.5,22.25,22.5,695700,7.852728999999999
1990-02-28,22.375,22.75,22.375,22.625,496700,7.896356
1990-03-01,22.5,22.625,22.375,22.5,978900,7.852728999999999
1990-03-02,22.5,22.875,22.5,22.875,577200,7.983608
1990-03-05,22.625,22.75,22.25,22.25,1052000,7.765477000000001
1990-03-06,22.25,22.5,22.25,22.5,292500,7.852728999999999
1990-03-07,22.5,22.5,22.25,22.25,174900,7.765477000000001
1990-03-08,22.375,22.375,22.0,22.375,997700,7.8091029999999995
1990-03-09,21.625,21.875,21.625,21.75,1353000,7.722117999999999
1990-03-12,21.625,21.75,21.625,21.75,784200,7.722117999999999
1990-03-13,21.625,21.75,21.25,21.375,724100,7.588978
1990-03-14,21.375,21.5,21.375,21.5,297600,7.633358
1990-03-15,21.375,21.5,21.375,21.5,343600,7.633358
1990-03-16,21.625,21.625,21.5,21.5,617400,7.633358
1990-03-19,21.375,21.5,21.25,21.375,281000,7.588978
1990-03-20,21.375,21.5,21.25,21.375,482600,7.588978
1990-03-21,21.375,21.625,21.25,21.25,416500,7.544598
1990-03-22,21.25,21.375,21.0,21.0,289200,7.455838000000001
1990-03-23,21.25,21.375,21.125,21.25,285300,7.544598
1990-03-26,21.25,21.625,21.25,21.25,413600,7.544598
1990-03-27,21.25,21.625,21.25,21.625,260900,7.677738000000001
1990-03-28,21.625,21.875,21.5,21.75,965700,7.722117999999999
1990-03-29,21.625,21.875,21.625,21.75,549300,7.722117999999999
1990-03-30,21.625,21.875,21.625,21.875,898300,7.7664979999999995
1990-04-02,21.875,21.875,21.625,21.75,228400,7.722117999999999
1990-04-03,21.75,22.125,21.625,22.0,491800,7.810878
1990-04-04,21.875,22.0,21.875,22.0,361400,7.810878
1990-04-05,22.0,22.125,21.875,21.875,488600,7.7664979999999995
1990-04-06,21.875,22.125,21.875,22.0,457100,7.810878
1990-04-09,21.875,22.0,21.625,21.75,466800,7.722117999999999
1990-04-10,21.875,21.875,21.75,21.75,315400,7.722117999999999
1990-04-11,21.75,21.875,21.75,21.875,233400,7.7664979999999995
1990-04-12,21.875,22.25,21.875,21.875,470700,7.7664979999999995
1990-04-16,22.0,22.0,21.75,21.875,461300,7.7664979999999995
1990-04-17,21.875,22.0,21.75,21.875,620300,7.7664979999999995
1990-04-18,21.875,21.875,21.625,21.625,343200,7.677738000000001
1990-04-19,21.625,22.0,21.625,21.875,483600,7.7664979999999995
1990-04-20,21.75,21.875,21.5,21.625,415300,7.677738000000001
1990-04-23,21.5,21.625,21.5,21.5,421800,7.633358
1990-04-24,21.5,21.625,21.375,21.375,177200,7.588978
1990-04-25,21.5,21.625,21.25,21.625,315100,7.677738000000001
1990-04-26,21.5,21.625,21.25,21.375,559700,7.588978
1990-04-27,21.375,21.5,21.25,21.25,303000,7.544598
1990-04-30,21.25,21.375,21.125,21.25,324600,7.544598
1990-05-01,21.25,21.625,21.25,21.5,566600,7.633358
1990-05-02,21.375,21.625,21.375,21.625,281800,7.677738000000001
1990-05-03,21.5,21.75,21.5,21.75,249000,7.722117999999999
1990-05-04,21.75,21.875,21.625,21.875,250500,7.7664979999999995
1990-05-07,21.75,22.0,21.75,21.875,208100,7.7664979999999995
1990-05-08,21.875,22.0,21.75,22.0,299000,7.810878
1990-05-09,21.875,22.0,21.75,21.875,564900,7.7664979999999995
1990-05-10,21.75,22.125,21.75,22.0,562200,7.810878
