Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,29.25,29.75,28.875,29.75,449600,3.581381
1990-01-03,29.25,29.25,28.75,29.0,453800,3.4910940000000004
1990-01-04,28.875,29.0,28.25,28.5,263600,3.4309019999999997
1990-01-05,28.25,28.625,27.625,27.75,312600,3.340615
1990-01-08,27.625,28.0,27.625,28.0,283800,3.370711
1990-01-09,28.0,28.125,27.75,27.75,217600,3.340615
1990-01-10,27.875,28.25,27.625,28.125,971600,3.3857589999999997
1990-01-11,28.375,28.375,28.0,28.125,238800,3.3857589999999997
1990-01-12,28.0,28.0,27.75,27.875,375600,3.355663
1990-01-15,27.75,27.875,27.25,27.375,286000,3.295472
1990-01-16,27.125,27.875,27.125,27.875,301800,3.355663
1990-01-17,27.875,27.875,27.625,27.625,246400,3.325568
1990-01-18,27.625,28.0,27.375,28.0,400200,3.370711
1990-01-19,28.0,28.0,27.625,27.625,1254800,3.325568
1990-01-22,27.75,27.875,27.25,27.375,354800,3.295472
1990-01-23,27.25,27.75,27.25,27.375,294200,3.295472
1990-01-24,27.375,27.375,26.625,27.375,787600,3.295472
1990-01-25,27.25,27.25,26.625,26.625,386000,3.2051849999999997
1990-01-26,26.625,27.125,26.375,26.875,675000,3.235281
1990-01-29,26.875,27.0,26.5,26.625,347600,3.2051849999999997
1990-01-30,26.875,27.0,26.625,26.875,278400,3.235281
1990-01-31,26.875,27.375,26.875,27.25,540400,3.280424
1990-02-01,27.125,27.375,26.875,27.125,455800,3.265376
1990-02-02,26.875,27.25,26.875,27.25,514800,3.280424
1990-02-05,27.25,27.375,27.125,27.25,306800,3.280424
1990-02-06,27.125,27.25,26.75,27.125,277200,3.265376
1990-02-07,27.0,27.5,26.875,27.375,490800,3.295472
1990-02-08,27.25,27.375,27.0,27.125,303800,3.265376
1990-02-09,27.375,27.375,27.125,27.375,186400,3.295472
1990-02-12,27.375,27.375,26.875,27.0,587600,3.2503290000000002
1990-02-13,26.875,27.5,26.75,27.25,1175000,3.280424
1990-02-14,27.375,27.625,27.25,27.5,365200,3.31052
1990-02-15,27.5,27.625,27.375,27.5,157400,3.31052
1990-02-16,27.625,27.75,27.5,27.625,459000,3.325568
1990-02-20,27.375,27.5,27.375,27.5,432200,3.31052
1990-02-21,27.25,27.5,27.25,27.5,351600,3.31052
1990-02-22,27.75,27.75,27.375,27.375,271400,3.295472
1990-02-23,27.5,27.5,27.25,27.375,359200,3.295472
1990-02-26,27.25,27.5,27.125,27.5,360000,3.31052
1990-02-27,27.375,27.625,27.375,27.5,514000,3.31052
1990-02-28,27.625,27.75,27.375,27.625,729400,3.325568
1990-03-01,27.125,27.125,26.875,27.125,440800,3.328021
1990-03-02,27.125,27.25,26.875,27.125,927800,3.328021
1990-03-05,27.0,27.25,26.875,26.875,405200,3.2973480000000004
1990-03-06,27.0,27.25,26.75,27.25,392600,3.3433580000000003
1990-03-07,27.0,27.25,26.75,26.875,367400,3.2973480000000004
1990-03-08,26.75,27.0,26.625,27.0,377000,3.3126849999999997
1990-03-09,27.0,27.0,26.5,26.625,475800,3.266675
1990-03-12,26.5,26.5,26.25,26.5,496200,3.2513389999999998
1990-03-13,26.375,26.375,26.0,26.125,991000,3.205329
1990-03-14,26.125,26.25,26.0,26.125,390000,3.205329
1990-03-15,26.125,26.125,25.875,26.0,790000,3.189993
1990-03-16,26.125,26.375,26.0,26.25,636200,3.220666
1990-03-19,26.25,26.375,25.875,26.25,278800,3.220666
1990-03-20,26.25,26.5,26.125,26.5,368400,3.2513389999999998
1990-03-21,26.75,26.75,26.25,26.25,258800,3.220666
1990-03-22,26.375,26.375,25.5,25.75,565000,3.15932
1990-03-23,25.75,26.0,25.5,26.0,281800,3.189993
1990-03-26,26.0,26.125,25.75,26.0,293800,3.189993
1990-03-27,26.0,26.375,25.875,26.375,684400,3.236002
1990-03-28,26.25,26.375,26.125,26.25,230800,3.220666
1990-03-29,26.125,26.5,25.875,26.5,1276600,3.2513389999999998
1990-03-30,26.375,26.625,26.25,26.5,664000,3.2513389999999998
1990-04-02,26.375,26.5,26.125,26.25,360000,3.220666
1990-04-03,26.125,26.625,26.125,26.625,468600,3.266675
1990-04-04,26.5,26.75,26.5,26.5,746000,3.2513389999999998
1990-04-05,26.625,26.625,26.125,26.25,335800,3.220666
1990-04-06,26.25,26.375,26.0,26.25,188200,3.220666
1990-04-09,26.0,26.375,26.0,26.0,218200,3.189993
1990-04-10,26.0,26.125,25.875,26.0,324400,3.189993
1990-04-11,25.875,26.25,25.875,26.0,195000,3.189993
1990-04-12,26.0,26.125,25.875,26.0,213800,3.189993
1990-04-16,26.125,26.25,26.0,26.25,397000,3.220666
1990-04-17,26.125,26.25,26.0,26.0,353200,3.189993
1990-04-18,26.25,26.25,25.75,25.75,387600,3.15932
1990-04-19,25.75,26.125,25.75,25.875,298600,3.174656
1990-04-20,25.875,25.875,25.0,25.25,522600,3.0979740000000002
1990-04-23,25.0,25.125,24.375,25.0,810200,3.067301
1990-04-24,24.875,25.125,24.75,24.875,587000,3.051964
1990-04-25,24.75,25.25,24.5,24.625,401800,3.021291
1990-04-26,24.75,24.875,24.5,24.625,484200,3.021291
1990-04-27,24.625,24.625,24.375,24.5,410600,3.0059549999999997
1990-04-30,24.5,24.625,24.375,24.625,387600,3.021291
1990-05-01,24.625,25.0,24.5,25.0,382600,3.067301
1990-05-02,25.0,25.25,24.875,25.25,467800,3.0979740000000002
1990-05-03,25.25,25.5,25.125,25.25,238800,3.0979740000000002
1990-05-04,25.5,25.625,25.375,25.5,200400,3.128647
1990-05-07,25.375,26.0,25.375,25.875,398600,3.174656
1990-05-08,25.875,26.375,25.75,26.375,295800,3.236002
1990-05-09,26.375,26.375,26.0,26.375,370800,3.236002
