Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,34.25,34.625,33.875,34.5,156800,5.392327
1990-01-03,34.75,34.75,34.0,34.125,236800,5.333715
1990-01-04,34.25,34.375,33.75,34.125,378000,5.333715
1990-01-05,34.0,34.75,33.875,34.375,597600,5.37279
1990-01-08,34.375,34.75,34.25,34.75,408800,5.431401999999999
1990-01-09,34.625,35.25,34.625,34.875,439200,5.450939
1990-01-10,34.875,35.0,34.75,34.875,198000,5.450939
1990-01-11,35.0,35.0,34.75,34.875,369200,5.450939
1990-01-12,34.5,34.5,34.25,34.375,342400,5.402221
1990-01-15,34.375,34.375,34.25,34.375,173200,5.402221
1990-01-16,34.25,34.5,34.25,34.5,96000,5.4218660000000005
1990-01-17,34.5,34.75,34.375,34.625,114800,5.44151
1990-01-18,34.625,34.875,34.5,34.75,155600,5.461155000000001
1990-01-19,34.875,35.125,34.75,35.0,243200,5.500444
1990-01-22,35.0,35.25,34.875,34.875,344800,5.480799
1990-01-23,35.0,35.375,34.875,35.125,487600,5.520087999999999
1990-01-24,34.75,35.25,34.5,35.0,532000,5.500444
1990-01-25,35.25,35.5,35.125,35.25,399600,5.539732
1990-01-26,35.25,35.875,35.25,35.5,396000,5.579021
1990-01-29,35.375,35.5,35.25,35.375,287600,5.559377
1990-01-30,35.375,35.625,35.25,35.5,331200,5.579021
1990-01-31,35.5,35.625,35.5,35.625,125600,5.598666000000001
1990-02-01,35.625,35.625,35.375,35.375,134400,5.559377
1990-02-02,35.375,35.625,35.375,35.625,85200,5.598666000000001
1990-02-05,35.5,35.75,35.5,35.625,126400,5.598666000000001
1990-02-06,35.5,35.625,35.375,35.375,102800,5.559377
1990-02-07,35.25,35.5,35.25,35.5,258400,5.579021
1990-02-08,35.5,35.75,35.375,35.5,374800,5.579021
1990-02-09,35.75,35.875,35.625,35.875,352400,5.637955000000001
1990-02-12,35.75,35.75,35.5,35.5,104800,5.579021
1990-02-13,35.5,35.75,35.375,35.625,126400,5.598666000000001
1990-02-14,35.625,35.75,35.625,35.75,148800,5.61831
1990-02-15,35.625,35.75,35.5,35.625,73200,5.598666000000001
1990-02-16,35.5,35.625,35.25,35.375,405600,5.559377
1990-02-20,35.25,35.375,35.0,35.125,284000,5.520087999999999
1990-02-21,35.0,35.375,34.875,35.375,228400,5.559377
1990-02-22,35.375,35.5,35.25,35.375,123200,5.559377
1990-02-23,35.25,35.375,35.0,35.0,236400,5.500444
1990-02-26,35.0,35.5,35.0,35.5,155200,5.579021
1990-02-27,35.375,35.875,35.375,35.625,203600,5.598666000000001
1990-02-28,35.75,36.25,35.75,35.875,253200,5.637955000000001
1990-03-01,35.75,36.75,35.75,36.625,262800,5.755821
1990-03-02,36.625,37.5,36.625,36.75,285200,5.775466000000001
1990-03-05,37.0,37.125,36.875,36.875,158400,5.79511
1990-03-06,37.125,37.625,37.0,37.5,280800,5.893332
1990-03-07,37.25,37.75,37.25,37.625,297200,5.912977
1990-03-08,37.625,38.5,37.625,38.5,251200,6.050488
1990-03-09,38.25,38.375,38.0,38.0,278800,5.97191
1990-03-12,38.125,38.5,38.0,38.5,195600,6.050488
1990-03-13,38.375,40.0,38.25,39.25,553200,6.168355
1990-03-14,39.375,39.5,38.375,38.75,166400,6.089777
1990-03-15,38.75,38.875,38.5,38.625,144000,6.070132
1990-03-16,39.0,39.125,38.75,39.125,284800,6.1487099999999995
1990-03-19,39.0,39.375,38.875,39.375,209200,6.187999
1990-03-20,39.0,39.375,38.75,38.75,440800,6.089777
1990-03-21,39.0,39.0,38.5,38.625,334400,6.070132
1990-03-22,38.75,38.875,38.375,38.5,352000,6.050488
1990-03-23,38.75,39.625,38.625,39.375,424400,6.187999
1990-03-26,39.625,40.0,39.375,40.0,575600,6.286221
1990-03-27,40.0,40.0,39.5,39.875,141200,6.266577
1990-03-28,39.875,39.875,39.375,39.625,162000,6.227288
1990-03-29,39.375,39.375,37.625,38.0,415600,5.97191
1990-03-30,38.0,38.0,37.0,37.375,441600,5.873688
1990-04-02,37.125,37.125,36.75,36.875,248800,5.79511
1990-04-03,36.875,37.625,36.625,37.5,341600,5.893332
1990-04-04,37.5,37.625,36.75,37.25,383200,5.854043
1990-04-05,37.25,37.375,36.75,36.75,280000,5.775466000000001
1990-04-06,36.75,36.875,36.625,36.875,274800,5.79511
1990-04-09,36.75,37.625,36.75,36.875,121600,5.79511
1990-04-10,36.75,37.25,36.75,37.125,386800,5.8343989999999994
1990-04-11,37.125,37.5,37.125,37.5,388800,5.893332
1990-04-12,37.5,37.625,37.25,37.375,330000,5.873688
1990-04-16,37.125,37.625,37.125,37.375,320000,5.9037
1990-04-17,37.25,37.375,37.125,37.375,209200,5.9037
1990-04-18,37.25,37.375,37.0,37.0,98000,5.8444650000000005
1990-04-19,37.0,37.125,36.25,36.375,127600,5.745741000000001
1990-04-20,36.25,36.625,36.25,36.25,144400,5.725996
1990-04-23,36.0,36.25,36.0,36.0,272000,5.686507
1990-04-24,35.875,35.875,35.25,35.25,406000,5.568038
1990-04-25,35.25,35.625,35.25,35.625,156800,5.6272720000000005
1990-04-26,35.5,35.625,35.5,35.5,72800,5.607528
1990-04-27,35.625,35.625,35.375,35.375,346000,5.587783
1990-04-30,35.375,36.25,35.25,36.25,254400,5.725996
1990-05-01,36.375,37.0,36.375,37.0,249600,5.8444650000000005
1990-05-02,36.875,37.125,36.875,37.125,82400,5.86421
1990-05-03,37.125,37.625,37.125,37.625,99600,5.943189
1990-05-04,37.75,38.5,37.75,38.5,357200,6.081403
1990-05-07,38.625,38.75,38.5,38.625,304800,6.101148
1990-05-08,38.625,38.75,38.375,38.5,172400,6.081403
1990-05-09,38.375,38.5,38.25,38.375,188000,6.061658
1990-05-10,38.25,38.875,38.25,38.5,170400,6.081403
1990-05-11,39.0,40.25,38.875,40.0,452000,6.318341
1990-05-14,39.875,41.0,39.75,40.875,808800,6.456555000000001
1990-05-15,40.75,40.875,39.75,40.125,537200,6.338086
1990-05-16,39.875,39.875,39.0,39.75,199600,6.278851
1990-05-17,39.5,39.75,39.0,39.0,169200,6.160382
1990-05-18,39.125,39.25,39.0,39.25,221600,6.199872
1990-05-21,39.25,39.625,39.0,39.5,807200,6.239362
1990-05-22,39.5,39.625,39.375,39.375,410800,6.2196169999999995
1990-05-23,39.5,39.5,39.125,39.375,264400,6.2196169999999995
1990-05-24,39.25,39.25,39.0,39.125,418400,6.180127
1990-05-25,39.0,39.0,38.75,38.75,430400,6.120893
1990-05-29,38.75,39.25,38.75,39.125,74000,6.180127
1990-05-30,39.375,39.5,39.25,39.375,477200,6.2196169999999995
1990-05-31,39.375,39.625,39.375,39.625,194000,6.259106
1990-06-01,39.5,39.875,39.5,39.875,263600,6.298596
1990-06-04,39.875,40.375,39.75,40.375,236400,6.377575
1990-06-05,40.25,40.25,39.875,40.0,490400,6.318341
1990-06-06,40.0,40.125,39.875,40.0,160000,6.318341
1990-06-07,40.0,40.25,39.75,39.875,265600,6.298596
1990-06-08,39.75,39.875,39.625,39.75,164000,6.278851
1990-06-11,39.625,39.75,39.5,39.625,98000,6.259106
1990-06-12,39.625,39.875,39.5,39.625,141200,6.259106
1990-06-13,39.75,39.75,39.25,39.25,102400,6.199872
1990-06-14,39.5,39.625,39.0,39.375,97600,6.2196169999999995
1990-06-15,38.875,39.0,38.625,38.75,250800,6.120893
1990-06-18,38.5,38.5,37.25,37.5,366000,5.923445
1990-06-19,37.75,38.25,37.5,38.25,86800,6.041913
1990-06-20,38.125,38.375,37.625,38.0,82400,6.0024239999999995
1990-06-21,38.0,38.125,37.75,37.875,122400,5.982679
1990-06-22,38.0,38.75,37.875,38.25,230000,6.041913
1990-06-25,38.5,38.5,37.375,37.375,232800,5.9037
1990-06-26,37.375,38.0,37.25,37.75,890800,5.962934
1990-06-27,37.875,38.125,37.75,38.0,97200,6.0024239999999995
1990-06-28,38.0,38.375,38.0,38.125,136400,6.022169
1990-06-29,38.0,38.0,37.75,37.875,186800,5.982679
1990-07-02,37.875,38.0,37.5,38.0,580000,6.0024239999999995
1990-07-03,38.125,38.125,37.75,37.75,176000,5.962934
1990-07-05,37.75,37.75,37.625,37.625,95600,5.943189
