Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,40.0,40.75,39.125,40.375,791600,4.850129
1990-01-03,40.125,41.75,40.125,41.5,650800,4.985272
1990-01-04,41.5,41.75,40.375,41.125,493200,4.940224
1990-01-05,40.75,41.125,40.375,40.625,1561200,4.880161
1990-01-08,40.375,41.25,40.125,41.25,863200,4.95524
1990-01-09,41.25,41.25,40.75,41.0,780400,4.9252080000000005
1990-01-10,40.75,40.875,39.875,40.625,640000,4.880161
1990-01-11,40.625,40.75,40.25,40.5,662400,4.865145
1990-01-12,40.0,40.5,39.625,39.875,707600,4.790065
1990-01-15,39.75,40.0,39.75,40.0,470800,4.8050809999999995
1990-01-16,39.75,40.5,39.75,40.5,604800,4.865145
1990-01-17,40.25,40.375,39.875,40.0,423200,4.8050809999999995
1990-01-18,39.875,40.875,39.875,40.625,468800,4.880161
1990-01-19,40.625,40.625,39.625,39.75,1023200,4.775049
1990-01-22,39.875,40.125,38.5,38.5,488800,4.624891000000001
1990-01-23,38.625,39.875,38.625,39.375,528400,4.730002
1990-01-24,39.125,40.375,39.0,40.0,529200,4.8050809999999995
1990-01-25,40.0,40.25,39.5,39.5,532000,4.745018
1990-01-26,39.75,39.875,39.0,39.5,682800,4.745018
1990-01-29,39.5,40.375,39.375,39.625,727200,4.760033999999999
1990-01-30,39.625,39.875,39.25,39.5,592000,4.745018
1990-01-31,39.75,39.875,39.625,39.75,305200,4.775049
1990-02-01,39.75,39.875,39.25,39.25,428000,4.714986
1990-02-02,39.375,39.75,39.125,39.5,263200,4.745018
1990-02-05,39.5,39.75,39.375,39.5,630400,4.745018
1990-02-06,39.25,39.75,38.875,39.75,341600,4.775049
1990-02-07,39.75,39.875,39.5,39.625,580400,4.760033999999999
1990-02-08,39.75,39.875,39.5,39.5,654000,4.745018
1990-02-09,39.75,39.875,39.5,39.875,345600,4.790065
1990-02-12,39.75,39.875,39.5,39.5,211200,4.745018
1990-02-13,39.0,39.5,39.0,39.5,425600,4.791109
1990-02-14,39.75,39.875,39.625,39.875,256000,4.836595
1990-02-15,39.875,40.0,39.5,39.625,230000,4.806271
1990-02-16,39.75,39.75,39.5,39.625,677200,4.806271
1990-02-20,39.5,39.5,39.0,39.0,602000,4.730462
1990-02-21,39.0,39.625,38.875,39.125,722400,4.745623999999999
1990-02-22,39.25,39.375,38.625,38.625,537200,4.684977
1990-02-23,38.875,39.125,38.75,39.0,732400,4.730462
1990-02-26,39.25,39.375,38.625,39.125,976000,4.745623999999999
