Date,Open,High,Low,Close,Volume,Adj Close
1991-12-17,20.0,23.5,20.0,23.25,15815400,10.74974
1991-12-18,23.0,23.25,22.75,23.0,2662600,10.634151
1991-12-19,22.75,23.0,22.25,22.5,1017600,10.402974
1991-12-20,23.0,23.25,22.5,23.0,513800,10.634151
1991-12-23,22.75,23.75,22.75,23.75,493200,10.980917
1991-12-24,23.75,24.25,23.25,24.0,492400,11.096505
1991-12-26,23.75,27.5,23.75,27.0,582600,12.483569000000001
1991-12-27,27.0,27.25,25.75,27.0,720800,12.483569000000001
1991-12-30,26.75,30.75,26.75,28.5,1435000,13.1771
1991-12-31,29.0,29.75,28.5,29.75,440800,13.755042999999999
1992-01-02,29.0,29.5,27.75,28.5,1389600,13.1771
1992-01-03,28.5,30.5,28.5,30.25,353800,13.986220000000001
1992-01-06,30.25,31.0,29.75,31.0,442800,14.332985999999998
1992-01-07,30.75,30.75,29.75,30.0,666200,13.870632
1992-01-08,29.5,30.75,29.25,30.0,975000,13.870632
1992-01-09,30.25,30.25,29.0,29.0,376800,13.408276999999998
1992-01-10,29.5,29.75,29.0,29.75,426600,13.755042999999999
1992-01-13,30.0,30.5,29.25,30.5,62600,14.101809
1992-01-14,30.5,30.625,29.75,30.25,56800,13.986220000000001
1992-01-15,30.0,30.5,29.75,30.0,251600,13.870632
1992-01-16,29.75,30.25,28.75,29.5,801000,13.639454999999998
1992-01-17,29.0,29.25,28.5,28.75,288400,13.292689000000001
1992-01-20,28.75,29.25,27.25,27.25,242800,12.599157
1992-01-21,27.0,27.25,24.25,27.0,823200,12.483569000000001
1992-01-22,26.75,27.75,26.75,27.5,171400,12.714746
1992-01-23,28.5,29.75,28.0,29.5,578800,13.639454999999998
1992-01-24,30.0,31.25,29.25,31.0,591600,14.332985999999998
1992-01-27,30.75,31.5,30.75,31.0,484800,14.332985999999998
1992-01-28,31.5,31.5,30.75,31.25,556200,14.448575
1992-01-29,31.5,32.5,31.25,31.75,410000,14.679751999999999
1992-01-30,31.25,32.0,31.25,31.875,195000,14.737546
1992-01-31,31.5,32.5,31.5,32.0,194600,14.795341
1992-02-03,32.0,32.5,32.0,32.5,70600,15.026518
1992-02-04,32.5,33.25,32.0,32.75,494600,15.142106
1992-02-05,32.75,33.0,32.5,32.5,196400,15.026518
1992-02-06,32.5,33.0,32.5,33.0,524000,15.257695000000002
1992-02-07,33.0,33.25,32.5,33.25,183600,15.373284
1992-02-10,33.25,33.75,32.75,33.75,125000,15.604460999999999
1992-02-11,33.75,34.25,32.0,33.25,517400,15.373284
