Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,10.875,11.0,10.875,11.0,10400,3.3435629999999996
1990-01-03,11.0,11.125,11.0,11.125,14900,3.381558
1990-01-04,11.0,11.125,10.75,11.125,23600,3.381558
1990-01-05,11.0,11.125,10.875,11.0,4900,3.3435629999999996
1990-01-08,11.0,11.375,11.0,11.375,15000,3.4575480000000005
1990-01-09,11.375,11.375,11.25,11.375,8100,3.4575480000000005
1990-01-10,11.375,11.375,11.125,11.125,11400,3.381558
1990-01-11,11.25,11.25,11.125,11.25,4300,3.419553
1990-01-12,11.125,11.125,11.0,11.0,19400,3.3435629999999996
1990-01-15,11.0,11.125,10.875,11.0,6000,3.3435629999999996
1990-01-16,11.0,11.0,10.875,11.0,13200,3.3435629999999996
1990-01-17,11.0,11.125,10.875,11.125,14300,3.381558
1990-01-18,11.0,11.125,10.875,11.0,8200,3.3435629999999996
1990-01-19,11.0,11.0,10.875,10.875,22100,3.305568
1990-01-22,10.875,11.0,10.75,11.0,10400,3.3435629999999996
1990-01-23,10.875,10.875,10.75,10.75,5400,3.267573
1990-01-24,10.75,10.875,10.75,10.75,12100,3.267573
1990-01-25,10.75,10.875,10.625,10.625,11900,3.229578
1990-01-26,10.625,10.75,10.625,10.75,13300,3.267573
1990-01-29,10.625,10.625,10.5,10.5,8600,3.191583
1990-01-30,10.5,10.625,10.5,10.625,8900,3.229578
1990-01-31,10.75,10.875,10.5,10.75,8200,3.267573
1990-02-01,10.75,11.0,10.75,10.875,6100,3.305568
1990-02-02,11.0,11.0,10.75,10.875,9400,3.305568
1990-02-05,10.75,10.875,10.75,10.875,10300,3.305568
1990-02-06,11.0,11.0,10.75,10.75,7100,3.267573
1990-02-07,10.875,11.0,10.75,10.875,6300,3.305568
1990-02-08,10.875,10.875,10.625,10.875,6500,3.305568
1990-02-09,10.875,11.0,10.75,10.875,3700,3.305568
1990-02-12,10.875,10.875,10.625,10.625,13200,3.229578
1990-02-13,10.625,10.875,10.625,10.75,19700,3.267573
1990-02-14,10.75,10.75,10.625,10.625,4800,3.229578
1990-02-15,10.625,10.75,10.5,10.5,15600,3.191583
1990-02-16,10.625,10.625,10.0,10.0,37400,3.039603
1990-02-20,10.125,10.125,9.5,9.75,40000,2.963613
1990-02-21,9.875,10.125,9.625,10.125,35900,3.077598
1990-02-22,10.0,10.0,9.875,9.875,49700,3.001608
1990-02-23,9.875,10.0,9.75,9.75,28300,2.963613
1990-02-26,9.75,9.75,9.5,9.5,39700,2.887623
1990-02-27,9.375,9.625,9.25,9.625,29600,2.925618
1990-02-28,8.75,8.75,7.5,7.875,182100,2.393687
1990-03-01,7.75,7.875,7.0,7.625,203400,2.317697
1990-03-02,7.625,7.875,7.625,7.75,84100,2.355692
1990-03-05,7.875,8.125,7.875,8.0,64300,2.431682
1990-03-06,8.0,8.125,7.875,8.0,15500,2.446976
1990-03-07,8.0,8.125,7.875,8.0,54000,2.446976
1990-03-08,8.0,8.125,8.0,8.0,24000,2.446976
1990-03-09,8.0,8.25,8.0,8.125,22000,2.48521
1990-03-12,8.125,8.25,8.0,8.0,15700,2.446976
1990-03-13,8.0,8.125,8.0,8.0,19700,2.446976
1990-03-14,8.0,8.125,8.0,8.125,11400,2.48521
1990-03-15,8.0,8.125,8.0,8.0,30600,2.446976
1990-03-16,8.125,8.125,7.875,7.875,25200,2.4087419999999997
1990-03-19,8.0,8.0,7.75,7.75,24000,2.370508
1990-03-20,7.75,7.875,7.75,7.875,13000,2.4087419999999997
1990-03-21,7.75,7.875,7.75,7.75,28900,2.370508
1990-03-22,7.75,7.875,7.625,7.625,31000,2.332274
1990-03-23,7.625,7.75,7.625,7.625,20200,2.332274
1990-03-26,7.75,7.75,7.625,7.625,18900,2.332274
1990-03-27,7.5,7.75,7.5,7.625,24300,2.332274
1990-03-28,7.625,7.75,7.625,7.625,14200,2.332274
1990-03-29,7.75,7.75,7.5,7.5,20100,2.2940400000000003
1990-03-30,7.5,7.625,7.5,7.625,34100,2.332274
1990-04-02,7.625,7.875,7.625,7.625,12700,2.332274
1990-04-03,7.625,7.75,7.625,7.75,11000,2.370508
1990-04-04,7.75,7.875,7.625,7.625,18900,2.332274
1990-04-05,7.625,7.75,7.625,7.625,14500,2.332274
1990-04-06,7.625,7.875,7.5,7.875,13800,2.4087419999999997
1990-04-09,8.0,8.125,8.0,8.0,104500,2.446976
1990-04-10,8.125,8.125,8.0,8.0,29100,2.446976
1990-04-11,8.0,8.125,7.875,7.875,25700,2.4087419999999997
1990-04-12,8.0,8.0,7.75,7.75,9000,2.370508
1990-04-16,7.875,7.875,7.625,7.75,9700,2.370508
1990-04-17,7.875,7.875,7.625,7.875,15000,2.4087419999999997
1990-04-18,7.75,7.875,7.625,7.625,49800,2.332274
1990-04-19,7.75,7.875,7.625,7.75,19800,2.370508
1990-04-20,7.75,8.625,7.75,8.5,71800,2.599912
1990-04-23,8.625,8.625,8.25,8.375,18600,2.5616779999999997
1990-04-24,8.375,8.5,8.25,8.25,14700,2.523444
1990-04-25,8.25,8.5,8.25,8.5,25800,2.599912
1990-04-26,8.5,8.5,8.375,8.5,4200,2.599912
1990-04-27,8.5,8.5,8.25,8.25,12800,2.523444
1990-04-30,8.25,8.375,8.125,8.25,10100,2.523444
1990-05-01,8.125,8.25,8.0,8.125,16000,2.48521
1990-05-02,8.125,8.125,8.0,8.125,11300,2.48521
1990-05-03,8.0,8.125,8.0,8.0,7900,2.446976
1990-05-04,8.0,8.25,8.0,8.25,9500,2.523444
1990-05-07,8.25,8.25,8.125,8.25,8200,2.523444
1990-05-08,8.125,8.125,8.0,8.125,6900,2.48521
1990-05-09,8.125,8.125,8.0,8.0,16800,2.446976
1990-05-10,8.0,8.0,8.0,8.0,10200,2.446976
1990-05-11,8.0,8.0,7.875,7.875,15300,2.4087419999999997
1990-05-14,8.0,8.125,8.0,8.125,21900,2.48521
1990-05-15,7.875,8.0,7.875,7.875,10100,2.4087419999999997
1990-05-16,7.875,8.25,7.875,8.0,19300,2.446976
1990-05-17,8.125,8.25,8.0,8.0,12000,2.446976
