Date,Open,High,Low,Close,Volume,Adj Close
1992-06-17,17.0,17.5,15.5,15.875,902000,5.436275
1992-06-18,15.875,15.875,15.0,15.625,421400,5.350665
1992-06-19,15.625,15.875,15.5,15.75,453400,5.39347
1992-06-22,15.75,15.75,15.125,15.25,597200,5.222249
1992-06-23,15.25,15.5,15.25,15.375,853800,5.265054
1992-06-24,15.375,15.5,15.0,15.125,357600,5.179443
1992-06-25,15.375,15.625,15.375,15.375,785000,5.265054
1992-06-26,15.375,15.5,15.25,15.5,435000,5.307859
1992-06-29,15.375,15.625,15.25,15.625,386600,5.350665
1992-06-30,15.625,16.125,15.625,16.125,884400,5.521886
1992-07-01,15.75,15.875,15.625,15.75,552600,5.39347
1992-07-02,15.875,16.125,15.375,16.125,1788200,5.521886
1992-07-06,15.875,15.875,15.375,15.5,580400,5.307859
1992-07-07,15.625,15.625,14.375,14.625,1147000,5.008222
1992-07-08,14.75,14.75,13.625,13.875,1192800,4.75139
1992-07-09,13.875,14.625,13.875,14.625,2136600,5.008222
1992-07-10,14.375,14.5,14.125,14.25,866200,4.879805999999999
1992-07-13,14.25,14.5,14.25,14.375,846600,4.922612
1992-07-14,14.25,14.5,14.25,14.5,990000,4.9654169999999995
1992-07-15,14.5,14.75,14.5,14.625,1080400,5.008222
1992-07-16,14.5,14.625,14.25,14.375,2689000,4.922612
1992-07-17,14.125,14.625,14.125,14.625,840400,5.008222
1992-07-20,13.875,14.375,13.75,14.25,1228200,4.879805999999999
1992-07-21,14.0,14.5,14.0,14.25,1279600,4.879805999999999
1992-07-22,13.875,15.125,13.875,14.75,2743000,5.0510269999999995
1992-07-23,14.625,15.0,14.625,14.625,2203800,5.008222
1992-07-24,14.5,15.0,14.5,14.875,1404000,5.093833
1992-07-27,14.875,15.125,14.625,15.0,1308000,5.136638
1992-07-28,14.875,15.125,14.75,15.0,1134400,5.136638
1992-07-29,15.0,15.125,14.5,14.75,1697600,5.0510269999999995
1992-07-30,14.875,15.0,14.5,15.0,912800,5.136638
1992-07-31,14.875,15.125,14.875,15.125,1303000,5.179443
1992-08-03,15.0,15.375,14.875,15.375,1616800,5.265054
1992-08-04,15.375,15.625,15.375,15.5,1457000,5.307859
1992-08-05,15.5,15.625,15.5,15.5,492000,5.307859
1992-08-06,15.375,15.5,15.0,15.25,1277800,5.222249
1992-08-07,14.875,15.125,14.875,15.0,306200,5.136638
1992-08-10,14.625,15.0,14.5,14.875,593000,5.093833
1992-08-11,14.875,14.875,14.5,14.5,1804800,4.9654169999999995
1992-08-12,14.875,15.0,14.25,14.5,1591600,4.9654169999999995
1992-08-13,14.625,15.125,14.625,15.0,1100600,5.136638
1992-08-14,15.0,15.875,15.0,15.75,1476600,5.39347
1992-08-17,15.5,16.0,15.5,15.875,1461000,5.436275
1992-08-18,16.0,16.375,15.875,16.0,1660200,5.479081
1992-08-19,16.0,16.25,15.75,15.875,928000,5.436275
1992-08-20,16.0,16.125,16.0,16.125,370400,5.521886
1992-08-21,16.0,16.625,16.0,16.5,3771600,5.650302
1992-08-24,15.875,16.375,15.875,16.125,2085000,5.521886
1992-08-25,16.25,16.375,15.875,16.25,1168800,5.564691000000001
1992-08-26,16.125,16.375,16.0,16.375,1347000,5.607497
1992-08-27,16.375,16.5,16.25,16.25,764400,5.564691000000001
1992-08-28,16.125,16.25,16.0,16.125,516800,5.521886
1992-08-31,16.25,16.25,16.125,16.125,304000,5.521886
1992-09-01,16.0,16.25,15.875,16.0,1067400,5.500229
1992-09-02,15.875,16.0,15.625,15.75,1153600,5.414288
1992-09-03,15.75,15.875,15.625,15.625,474800,5.3713169999999995
1992-09-04,15.75,15.75,15.375,15.375,461600,5.285376
1992-09-08,15.5,15.625,15.375,15.375,693800,5.285376
1992-09-09,15.5,15.875,15.5,15.875,474200,5.457258
1992-09-10,16.0,16.125,15.75,15.875,867200,5.457258
1992-09-11,16.0,16.125,15.75,15.875,856600,5.457258
1992-09-14,16.125,16.5,16.125,16.5,1092800,5.672111
1992-09-15,16.125,16.375,16.125,16.125,1036400,5.5431989999999995
1992-09-16,16.0,16.25,15.75,16.25,864000,5.58617
1992-09-17,16.25,16.25,16.0,16.25,660000,5.58617
1992-09-18,16.25,16.375,16.125,16.375,1351400,5.6291400000000005
1992-09-21,16.25,16.375,16.125,16.25,491200,5.58617
1992-09-22,16.25,16.375,16.125,16.125,1030000,5.5431989999999995
1992-09-23,16.0,16.125,15.625,15.875,714800,5.457258
1992-09-24,15.875,16.375,15.875,16.25,639400,5.58617
1992-09-25,16.25,16.25,16.0,16.25,438800,5.58617
1992-09-28,16.125,16.375,16.125,16.375,217600,5.6291400000000005
1992-09-29,16.375,16.375,16.125,16.125,313000,5.5431989999999995
1992-09-30,16.25,16.25,15.875,16.0,675200,5.500229
1992-10-01,15.875,16.0,15.5,15.75,727800,5.414288
1992-10-02,15.75,16.0,15.5,15.75,376000,5.414288
1992-10-05,15.625,15.75,14.875,15.625,815800,5.3713169999999995
1992-10-06,15.5,15.625,15.0,15.5,600800,5.328347
1992-10-07,15.625,16.0,15.5,15.875,491400,5.457258
1992-10-08,15.875,16.125,15.875,16.0,327400,5.500229
1992-10-09,15.875,15.875,15.25,15.25,628200,5.242406
1992-10-12,15.375,15.5,15.0,15.125,629600,5.199435
1992-10-13,15.125,15.5,15.125,15.375,1432200,5.285376
1992-10-14,15.25,15.625,15.125,15.375,941200,5.285376
1992-10-15,15.25,15.5,15.125,15.125,944000,5.199435
1992-10-16,15.125,15.25,15.125,15.25,404800,5.242406
1992-10-19,15.25,15.75,15.25,15.75,336200,5.414288
1992-10-20,15.875,16.125,15.625,15.75,1016800,5.414288
1992-10-21,15.75,15.75,15.625,15.75,297000,5.414288
1992-10-22,15.75,15.875,15.25,15.5,648800,5.328347
1992-10-23,15.25,15.5,15.25,15.5,455400,5.328347
1992-10-26,15.5,15.75,15.5,15.625,757600,5.3713169999999995
1992-10-27,15.75,16.0,15.625,15.875,611600,5.457258
1992-10-28,15.875,16.0,15.75,16.0,1490800,5.500229
1992-10-29,15.875,15.875,15.625,15.625,442000,5.3713169999999995
1992-10-30,15.75,15.875,15.625,15.75,786200,5.414288
1992-11-02,15.875,16.0,15.75,15.875,529000,5.457258
1992-11-03,15.875,16.125,15.875,15.875,1005000,5.457258
1992-11-04,15.875,15.875,15.75,15.875,338000,5.457258
1992-11-05,15.75,16.125,15.75,16.125,1018800,5.5431989999999995
1992-11-06,15.875,16.5,15.875,16.25,1850000,5.58617
1992-11-09,16.125,16.875,16.125,16.5,1272200,5.672111
1992-11-10,16.5,17.125,16.5,16.75,2574600,5.758051999999999
1992-11-11,16.875,17.0,16.75,17.0,974400,5.843993
1992-11-12,16.875,16.875,16.5,16.625,1504400,5.715082
1992-11-13,16.5,16.75,16.375,16.75,654600,5.758051999999999
1992-11-16,16.75,16.75,16.125,16.25,2219600,5.58617
1992-11-17,16.25,16.375,16.0,16.125,2032000,5.5431989999999995
1992-11-18,16.125,16.625,16.125,16.5,807200,5.672111
1992-11-19,16.375,16.625,16.25,16.5,1040000,5.672111
1992-11-20,16.625,16.625,16.25,16.5,1954000,5.672111
1992-11-23,16.375,16.5,16.0,16.0,1565400,5.500229
1992-11-24,16.125,16.5,16.125,16.25,470400,5.58617
1992-11-25,16.5,16.75,16.375,16.625,1022000,5.715082
1992-11-27,16.625,16.75,16.625,16.75,747800,5.758051999999999
1992-11-30,16.75,16.875,16.5,16.5,998000,5.672111
1992-12-01,16.5,16.75,16.25,16.375,2407000,5.650372
1992-12-02,16.375,16.75,16.25,16.625,1942400,5.736637
1992-12-03,16.625,16.875,16.5,16.5,1448200,5.693505
1992-12-04,16.75,16.875,16.625,16.75,1611400,5.77977
1992-12-07,16.625,16.875,16.5,16.75,884800,5.77977
1992-12-08,16.5,16.625,16.5,16.625,1178000,5.736637
1992-12-09,16.625,16.75,16.5,16.5,815000,5.693505
1992-12-10,16.5,17.0,16.5,16.875,1170600,5.822902
1992-12-11,16.625,16.75,16.5,16.625,461600,5.736637
1992-12-14,16.625,16.75,16.25,16.25,967400,5.607239
1992-12-15,15.75,16.0,15.625,16.0,2203000,5.520974
1992-12-16,16.0,16.375,16.0,16.25,834600,5.607239
1992-12-17,16.125,16.875,16.125,16.75,1126000,5.77977
1992-12-18,16.75,16.75,16.375,16.625,1563200,5.736637
1992-12-21,16.75,16.75,16.5,16.5,901000,5.693505
1992-12-22,16.625,16.875,16.375,16.5,1963800,5.693505
1992-12-23,16.625,16.75,16.5,16.5,474600,5.693505
1992-12-24,16.5,16.625,16.375,16.5,447800,5.693505
1992-12-28,16.25,16.375,15.875,16.25,1947200,5.607239
1992-12-29,16.25,16.5,16.25,16.25,482400,5.607239
1992-12-30,16.25,16.5,16.25,16.5,591000,5.693505
1992-12-31,16.375,16.75,16.375,16.75,1022000,5.77977
1993-01-04,16.625,16.75,16.375,16.375,1185200,5.650372
1993-01-05,16.375,16.75,16.25,16.5,878600,5.693505
1993-01-06,16.625,17.0,16.5,16.875,564400,5.822902
1993-01-07,16.875,17.5,16.875,17.125,3073800,5.909168
1993-01-08,17.0,17.375,16.75,16.875,1084000,5.822902
