Date,Open,High,Low,Close,Volume,Adj Close
1999-06-01,32.125,34.0,32.125,32.125,1863200,1.410939
1999-06-02,32.125,32.125,31.25,32.125,2673600,1.410939
1999-06-03,32.125,32.375,32.125,32.25,1793600,1.4164290000000002
1999-06-04,32.25,32.5,32.25,32.5,4088000,1.427409
1999-06-07,32.5,32.75,32.375,32.5,1609600,1.427409
1999-06-08,32.375,32.375,32.0,32.125,9968800,1.410939
1999-06-09,32.5,32.875,32.5,32.625,3097600,1.432899
1999-06-10,32.625,33.875,32.625,33.25,2355200,1.460349
1999-06-11,33.25,33.5,32.75,33.125,1560000,1.4548590000000001
1999-06-14,33.125,33.125,31.5,32.125,34048800,1.410939
1999-06-15,32.125,32.75,31.875,32.375,35851200,1.4219190000000002
1999-06-16,32.5625,32.625,31.6875,32.25,14152800,1.4164290000000002
1999-06-17,32.0,32.375,31.8125,32.25,6240000,1.4164290000000002
1999-06-18,32.0625,32.125,31.75,31.875,5632000,1.399959
1999-06-21,31.5,31.8125,31.3125,31.625,13520000,1.3889790000000002
1999-06-22,31.625,31.6875,30.375,30.5,30824800,1.339568
1999-06-23,30.5,32.125,30.375,31.625,17687200,1.3889790000000002
1999-06-24,31.625,32.125,31.375,31.8125,4419200,1.397214
1999-06-25,31.8125,32.3125,31.75,32.25,6022400,1.4164290000000002
1999-06-28,32.125,32.9375,32.125,32.5625,6233600,1.4301540000000001
1999-06-29,31.75,32.125,31.5,32.0,11170400,1.405449
1999-06-30,32.0,32.125,31.375,31.75,12585600,1.394469
1999-07-01,31.6875,32.5,31.625,32.5,6097600,1.427409
1999-07-02,32.875,32.875,32.3125,32.375,3256800,1.4219190000000002
1999-07-06,32.5,32.5625,31.9375,32.0625,3855200,1.408194
1999-07-07,31.625,31.75,30.25,30.875,6241600,1.3560379999999999
1999-07-08,29.0,30.1875,29.0,30.125,7117600,1.3230979999999999
1999-07-09,30.25,30.25,28.625,29.0,7378400,1.273688
1999-07-12,29.0,29.125,28.75,28.75,5721600,1.262708
