Date,Open,High,Low,Close,Volume,Adj Close
1993-04-28,18.25,18.75,18.0,18.25,7821000,6.531479
1993-04-29,18.25,18.625,18.25,18.625,2118800,6.665688
1993-04-30,18.75,18.75,18.25,18.375,536800,6.5762149999999995
1993-05-03,18.25,18.375,18.125,18.375,509600,6.5762149999999995
1993-05-04,18.375,18.375,17.875,18.125,787400,6.486743
1993-05-05,18.0,18.125,17.75,17.75,747200,6.3525339999999995
1993-05-06,17.875,18.0,17.625,17.625,392800,6.307798
1993-05-07,17.75,17.875,17.625,17.75,180000,6.3525339999999995
1993-05-10,17.875,18.125,17.75,17.75,269600,6.3525339999999995
1993-05-11,17.875,17.875,17.75,17.875,109400,6.397271
1993-05-12,17.75,17.75,17.375,17.625,110800,6.307798
1993-05-13,17.625,17.625,17.5,17.5,171000,6.263062000000001
1993-05-14,17.5,17.75,17.5,17.5,166800,6.263062000000001
1993-05-17,17.5,17.5,17.125,17.25,132000,6.17359
1993-05-18,17.25,17.25,16.0,16.5,534400,5.9051730000000004
1993-05-19,16.75,17.125,16.75,16.875,203600,6.039381
1993-05-20,16.625,16.75,15.875,16.25,1189000,5.815701
1993-05-21,16.375,16.5,16.0,16.375,475600,5.860437
1993-05-24,16.5,16.5,16.0,16.25,719200,5.815701
1993-05-25,16.0,16.125,15.625,15.875,326600,5.6814919999999995
1993-05-26,16.0,16.625,16.0,16.5,209200,5.9051730000000004
1993-05-27,16.75,17.125,16.5,17.0,307800,6.084118
1993-05-28,17.25,17.625,16.875,17.375,986400,6.218326
1993-06-01,17.5,17.5,16.875,17.0,116800,6.084118
1993-06-02,17.0,17.375,16.875,17.375,205200,6.218326
1993-06-03,17.375,17.375,17.0,17.0,92000,6.084118
1993-06-04,17.125,17.25,17.0,17.125,118200,6.1288540000000005
1993-06-07,17.0,17.375,17.0,17.25,60000,6.17359
1993-06-08,17.25,17.25,17.0,17.125,298200,6.1288540000000005
1993-06-09,17.125,17.125,16.875,16.875,27400,6.039381
1993-06-10,16.875,17.25,16.875,17.125,153600,6.1288540000000005
1993-06-11,17.375,17.625,17.125,17.625,84200,6.307798
1993-06-14,17.875,18.0,17.5,17.875,434000,6.397271
1993-06-15,17.75,18.25,17.625,17.75,169600,6.3525339999999995
1993-06-16,17.75,18.125,17.75,17.875,288200,6.397271
1993-06-17,18.0,18.0,17.625,17.875,165400,6.397271
1993-06-18,17.875,18.0,17.625,17.75,89400,6.3525339999999995
1993-06-21,17.625,17.875,17.625,17.75,34200,6.3525339999999995
1993-06-22,17.875,18.125,17.625,17.75,143000,6.3525339999999995
1993-06-23,17.75,18.0,17.5,17.5,23600,6.263062000000001
1993-06-24,17.5,18.0,17.5,17.625,58200,6.307798
1993-06-25,17.625,18.5,17.625,18.375,370000,6.5762149999999995
1993-06-28,18.375,19.25,18.125,19.125,135200,6.844632000000001
1993-06-29,19.5,19.5,18.875,19.0,575600,6.799896
1993-06-30,19.0,19.0,18.75,19.0,132000,6.799896
1993-07-01,19.0,19.25,18.875,19.25,120800,6.889367999999999
1993-07-02,19.25,19.5,19.0,19.0,239400,6.799896
1993-07-06,19.0,19.25,18.625,18.625,87200,6.665688
1993-07-07,18.75,18.75,18.375,18.5,74400,6.620951
1993-07-08,18.625,19.125,18.5,19.0,104000,6.799896
1993-07-09,19.0,19.125,18.875,19.0,302600,6.799896
1993-07-12,19.125,19.125,18.875,19.0,98200,6.799896
1993-07-13,19.0,19.125,18.875,19.0,212400,6.799896
1993-07-14,19.0,19.5,19.0,19.5,153200,6.978841
1993-07-15,19.5,19.5,19.375,19.5,133800,6.978841
1993-07-16,19.5,19.5,19.25,19.5,126000,6.978841
1993-07-19,19.375,19.625,19.375,19.5,244800,6.978841
1993-07-20,19.5,19.5,19.375,19.5,111000,6.978841
1993-07-21,19.625,19.875,19.5,19.875,117400,7.113049
1993-07-22,19.875,20.25,19.875,20.125,240600,7.202521000000001
1993-07-23,20.125,20.25,19.75,19.75,138200,7.068313000000001
1993-07-26,19.75,20.125,19.5,20.125,236200,7.202521000000001
1993-07-27,20.25,20.625,20.25,20.5,259200,7.33673
1993-07-28,21.5,22.375,21.375,22.125,583200,7.9183
1993-07-29,22.375,23.375,22.25,22.875,344800,8.186717
1993-07-30,23.0,23.375,22.875,23.375,217800,8.365662
1993-08-02,23.375,23.75,23.25,23.25,511400,8.320925
1993-08-03,23.25,23.25,22.25,23.0,161000,8.231453
1993-08-04,22.75,23.75,22.75,23.625,129200,8.455134
1993-08-05,23.75,24.625,23.75,24.375,270200,8.723550999999999
1993-08-06,24.125,24.25,23.75,23.875,397600,8.544606
1993-08-09,23.875,24.125,23.75,24.0,148200,8.589342
1993-08-10,24.0,24.0,23.25,23.375,104000,8.365662
1993-08-11,23.375,23.75,23.375,23.5,77400,8.410397999999999
1993-08-12,23.5,23.5,22.875,23.5,64000,8.410397999999999
1993-08-13,23.5,23.5,23.125,23.375,17600,8.365662
1993-08-16,23.375,23.5,23.0,23.5,119600,8.410397999999999
1993-08-17,23.25,23.875,23.25,23.875,82800,8.544606
1993-08-18,24.0,24.5,24.0,24.0,98800,8.589342
1993-08-19,24.0,24.25,23.625,24.25,96600,8.678815
1993-08-20,24.0,24.125,23.625,24.0,43600,8.589342
1993-08-23,23.875,24.0,23.75,24.0,280200,8.589342
1993-08-24,24.0,24.375,24.0,24.125,279000,8.634079
1993-08-25,24.125,24.625,24.125,24.625,97600,8.813023
1993-08-26,24.375,24.375,23.875,24.0,258600,8.65259
1993-08-27,24.125,24.125,22.875,23.125,315800,8.337131
1993-08-30,23.0,23.625,23.0,23.625,31600,8.517392999999998
1993-08-31,23.75,23.875,23.625,23.75,58600,8.562458
1993-09-01,23.75,24.25,23.5,24.125,104000,8.697655000000001
1993-09-02,24.125,24.875,24.125,24.875,174600,8.968049
1993-09-03,24.875,25.0,24.375,24.5,349000,8.832852
1993-09-07,24.125,24.5,24.125,24.375,86200,8.787786
1993-09-08,24.375,24.375,24.0,24.125,123000,8.697655000000001
1993-09-09,23.875,24.125,23.75,23.875,41200,8.607524
1993-09-10,23.625,23.75,23.375,23.5,126000,8.472327
1993-09-13,23.75,23.75,23.5,23.625,143600,8.517392999999998
1993-09-14,23.5,23.5,22.625,22.875,412400,8.246999
1993-09-15,22.625,22.875,22.5,22.875,195200,8.246999
1993-09-16,22.875,23.25,22.75,23.125,125400,8.337131
1993-09-17,23.0,23.25,23.0,23.125,227600,8.337131
1993-09-20,23.375,23.75,23.375,23.75,48200,8.562458
1993-09-21,23.625,23.875,23.125,23.125,17600,8.337131
1993-09-22,23.125,23.375,23.0,23.375,47800,8.427261999999999
1993-09-23,23.5,24.25,23.5,24.0,218600,8.65259
1993-09-24,24.125,24.25,23.875,24.0,43600,8.65259
1993-09-27,24.125,24.25,23.75,23.875,44600,8.607524
1993-09-28,23.875,24.0,23.625,24.0,24200,8.65259
1993-09-29,24.25,24.25,24.0,24.25,16800,8.742721000000001
1993-09-30,24.125,24.75,24.125,24.5,36000,8.832852
1993-10-01,24.5,24.875,24.0,24.0,87200,8.65259
1993-10-04,24.0,24.125,23.875,23.875,87600,8.607524
1993-10-05,23.875,24.0,23.75,23.875,20400,8.607524
1993-10-06,24.0,24.5,24.0,24.5,29400,8.832852
1993-10-07,24.5,24.75,24.25,24.375,50400,8.787786
1993-10-08,24.375,24.375,23.5,23.625,287000,8.517392999999998
1993-10-11,23.75,24.125,23.75,24.0,9000,8.65259
1993-10-12,24.0,24.375,24.0,24.125,11000,8.697655000000001
1993-10-13,24.375,24.375,24.0,24.0,26200,8.65259
1993-10-14,24.0,24.0,23.375,23.625,50600,8.517392999999998
1993-10-15,23.625,23.625,23.125,23.5,146000,8.472327
1993-10-18,24.0,25.625,24.0,25.5,500800,9.193375999999999
1993-10-19,25.375,25.375,24.75,25.125,179400,9.05818
1993-10-20,25.0,25.0,24.375,24.5,159800,8.832852
1993-10-21,24.5,25.25,24.5,25.125,84200,9.05818
1993-10-22,25.125,25.5,25.0,25.5,157400,9.193375999999999
1993-10-25,25.5,27.0,25.5,26.25,230200,9.46377
1993-10-26,26.375,27.25,26.0,26.5,145400,9.553901
1993-10-27,26.75,27.5,26.75,27.0,426600,9.734163
1993-10-28,27.0,27.5,26.875,27.0,369800,9.734163
1993-10-29,27.0,27.0,26.5,26.5,81600,9.553901
1993-11-01,26.375,27.25,26.375,27.0,121600,9.734163
1993-11-02,26.75,26.875,26.0,26.375,98200,9.508835000000001
1993-11-03,26.375,26.375,26.0,26.125,16200,9.418704
1993-11-04,26.0,26.0,25.5,25.5,21200,9.193375999999999
1993-11-05,25.25,25.25,23.5,24.75,102000,8.922983
1993-11-08,24.75,25.125,24.75,24.875,35000,8.968049
1993-11-09,24.875,25.25,24.875,25.0,161200,9.013114
1993-11-10,25.0,25.625,24.875,25.5,175000,9.193375999999999
1993-11-11,25.625,25.75,25.5,25.625,116400,9.238442
1993-11-12,25.625,25.75,25.5,25.625,21000,9.238442
1993-11-15,25.625,26.125,25.375,26.125,17800,9.418704
1993-11-16,26.75,26.75,26.375,26.5,115600,9.553901
1993-11-17,26.625,26.75,26.25,26.5,53200,9.553901
1993-11-18,26.5,26.5,25.625,25.625,69200,9.238442
1993-11-19,25.75,25.75,25.375,25.625,16400,9.238442
1993-11-22,25.625,25.625,24.625,25.0,29600,9.013114
1993-11-23,25.0,25.0,24.75,24.75,7600,8.922983
1993-11-24,24.875,25.875,24.875,25.875,24600,9.362619
1993-11-26,25.875,25.875,25.875,25.875,2000,9.362619
1993-11-29,26.0,26.0,25.5,25.875,19600,9.362619
1993-11-30,25.625,25.875,25.625,25.75,7400,9.317389
1993-12-01,25.75,26.0,25.75,25.875,36400,9.362619
1993-12-02,25.875,25.875,25.625,25.75,30800,9.317389
1993-12-03,25.625,26.0,25.625,25.875,30600,9.362619
1993-12-06,26.0,26.0,25.125,25.375,27000,9.181699
1993-12-07,25.125,25.375,24.875,25.0,11000,9.046008
1993-12-08,25.0,25.375,24.875,25.375,10200,9.181699
1993-12-09,25.375,25.5,25.25,25.5,62400,9.226929
1993-12-10,25.5,25.5,25.125,25.5,20000,9.226929
1993-12-13,25.25,25.5,25.25,25.5,8000,9.226929
1993-12-14,25.25,25.25,24.875,25.125,13800,9.091238
1993-12-15,25.0,25.125,24.625,24.625,6000,8.910318
1993-12-16,24.5,24.5,23.5,24.25,126000,8.774628
1993-12-17,24.5,24.75,24.25,24.5,56800,8.865088
1993-12-20,24.25,25.0,24.25,24.75,46200,8.955548
1993-12-21,24.75,25.125,24.75,25.125,15200,9.091238
1993-12-22,25.0,25.0,24.75,24.875,199400,9.000778
1993-12-23,25.0,25.625,25.0,25.5,67400,9.226929
1993-12-27,25.5,25.875,25.5,25.875,18200,9.362619
1993-12-28,26.0,26.75,26.0,26.75,55800,9.679229
1993-12-29,26.375,26.75,26.25,26.25,41800,9.498308999999999
1993-12-30,26.375,26.5,26.25,26.5,10600,9.588769000000001
1993-12-31,26.75,27.0,26.75,26.75,33800,9.679229
1994-01-03,26.875,27.0,26.5,26.5,43800,9.588769000000001
1994-01-04,26.625,27.125,26.625,27.125,38200,9.814919
1994-01-05,26.875,27.125,26.375,26.5,19600,9.588769000000001
1994-01-06,26.5,26.625,26.375,26.375,25400,9.543538999999999
1994-01-07,26.5,26.75,26.25,26.375,92800,9.543538999999999
1994-01-10,26.5,27.125,26.375,27.125,80200,9.814919
1994-01-11,27.125,27.125,26.625,26.75,44600,9.679229
1994-01-12,26.625,27.0,26.625,26.875,11200,9.724459
1994-01-13,26.875,26.875,26.5,26.75,52200,9.679229
1994-01-14,26.875,26.875,26.625,26.875,10600,9.724459
1994-01-17,27.0,28.375,26.875,28.25,64400,10.22199
1994-01-18,28.25,28.375,28.0,28.0,66000,10.131528999999999
1994-01-19,28.125,28.125,27.5,27.5,15200,9.950609
1994-01-20,27.25,27.875,27.25,27.875,14400,10.086299
1994-01-21,27.875,28.0,27.5,28.0,70200,10.131528999999999
