Date,Open,High,Low,Close,Volume,Adj Close
1999-08-11,46.0,56.75,40.0,54.5,35766200,27.25
1999-08-12,58.0,77.875,58.0,72.625,30586000,36.3125
1999-08-13,85.125,90.6875,80.25,85.25,17781400,42.625
1999-08-16,85.75,86.25,73.625,74.5,12484200,37.25
1999-08-17,76.0,76.5,62.375,67.25,13335400,33.625
1999-08-18,66.5,75.75,61.0,71.5,8597800,35.75
1999-08-19,69.1875,75.3125,67.25,71.3125,3802800,35.65625
1999-08-20,73.875,74.875,67.1875,68.125,2502200,34.0625
1999-08-23,64.0,67.875,63.5,63.875,2767400,31.9375
1999-08-24,62.8125,70.8125,62.75,69.0,3739000,34.5
1999-08-25,73.75,76.5,70.25,73.5,3758200,36.75
1999-08-26,77.25,84.625,75.25,78.9375,5800000,39.46875
1999-08-27,83.25,83.5,76.5,79.8125,2640200,39.90625
1999-08-30,80.75,81.0625,75.0,75.5625,1304400,37.78125
1999-08-31,76.625,82.5,70.5,82.3125,2992800,41.15625
1999-09-01,83.875,86.0,78.625,79.625,2559600,39.8125
1999-09-02,77.625,81.5,75.0,80.0,1544400,40.0
1999-09-03,84.4375,85.25,80.625,84.9375,2243000,42.46875
1999-09-07,87.0,109.875,83.375,108.0,16456400,54.0
1999-09-08,106.25,135.25,106.0,116.75,24518400,58.375
1999-09-09,125.3125,131.5,123.25,123.25,10370800,61.625
1999-09-10,130.25,130.6875,117.125,119.75,5638200,59.875
1999-09-13,118.5,118.75,105.75,108.375,5396600,54.1875
1999-09-14,104.625,106.5,100.125,100.968758,5132000,50.484379
1999-09-15,106.0,106.625,96.0,96.843758,4708400,48.421879
1999-09-16,99.718758,113.5,92.5,113.4375,9433000,56.71875
1999-09-17,114.9375,120.8125,107.125,107.375,9204200,53.6875
1999-09-20,111.0,115.0,106.40624199999999,110.46875800000001,2877000,55.234379000000004
1999-09-21,109.125,117.25,108.5,112.375,3896200,56.1875
1999-09-22,115.0,115.0,107.5,108.25,2997400,54.125
1999-09-23,111.4375,112.5,100.0,101.0,2776400,50.5
