Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,34.125,34.75,34.0,34.5,523600,5.394205
1990-01-03,34.625,35.25,34.625,34.75,610800,5.433293
1990-01-04,34.875,34.875,34.125,34.25,264800,5.355116000000001
1990-01-05,34.375,34.875,34.375,34.5,322400,5.394205
1990-01-08,34.375,34.75,34.375,34.5,1381600,5.394205
1990-01-09,34.5,34.5,34.125,34.125,150800,5.335572
1990-01-10,34.125,34.25,33.75,34.0,618800,5.316028
1990-01-11,34.0,34.25,33.875,34.0,518400,5.316028
1990-01-12,34.0,34.0,33.75,33.75,1331200,5.276939
1990-01-15,33.75,33.75,33.375,33.625,192000,5.257395
1990-01-16,33.5,33.75,33.25,33.75,227600,5.276939
1990-01-17,33.625,33.75,33.5,33.625,227600,5.257395
1990-01-18,33.5,33.75,33.375,33.5,564000,5.237851
1990-01-19,33.5,33.875,33.25,33.25,233600,5.198762
1990-01-22,33.5,33.75,32.75,32.75,220800,5.120586
1990-01-23,32.75,33.125,32.625,32.75,244400,5.120586
1990-01-24,32.75,32.75,31.875,32.5,394400,5.081497
1990-01-25,32.5,32.625,32.375,32.5,384400,5.081497
1990-01-26,32.375,32.5,32.0,32.125,542800,5.022864
1990-01-29,32.25,32.375,32.0,32.0,269200,5.0033199999999995
1990-01-30,32.0,32.25,30.625,31.25,435600,4.886055000000001
1990-01-31,31.125,32.5,31.125,32.5,184800,5.081497
1990-02-01,32.5,32.625,32.375,32.625,530400,5.101041
1990-02-02,32.625,32.875,32.375,32.625,313600,5.101041
1990-02-05,32.5,32.5,31.5,32.125,321200,5.022864
1990-02-06,32.0,32.375,31.75,32.125,203200,5.022864
1990-02-07,32.0,32.5,31.75,32.5,314400,5.081497
1990-02-08,32.75,33.625,32.75,33.0,822400,5.159674
1990-02-09,33.0,33.25,33.0,33.25,304000,5.198762
1990-02-12,33.0,33.25,32.25,32.375,341600,5.061953
1990-02-13,32.125,32.375,32.125,32.25,320000,5.042408999999999
1990-02-14,32.25,32.625,32.125,32.5,691600,5.081497
1990-02-15,32.5,32.5,32.375,32.375,62000,5.061953
1990-02-16,32.375,32.5,32.0,32.0,570400,5.0033199999999995
1990-02-20,31.75,32.25,31.5,32.0,280800,5.0033199999999995
1990-02-21,31.75,32.0,31.625,32.0,341200,5.0033199999999995
1990-02-22,32.0,32.25,31.875,31.875,320000,4.983776
1990-02-23,31.5,32.625,31.5,32.375,270800,5.061953
1990-02-26,32.25,32.375,32.0,32.375,200800,5.061953
1990-02-27,32.25,32.75,32.125,32.625,1085600,5.131154
1990-02-28,32.375,32.5,32.375,32.375,302000,5.091835
1990-03-01,32.375,32.625,32.375,32.625,439200,5.131154
1990-03-02,32.875,32.875,32.625,32.625,279600,5.131154
1990-03-05,32.5,32.75,32.375,32.5,183600,5.111495
1990-03-06,32.5,32.625,32.375,32.625,188800,5.131154
1990-03-07,32.625,32.875,32.5,32.75,432000,5.150814
1990-03-08,32.625,33.625,32.625,33.625,296400,5.288431
1990-03-09,33.5,33.625,33.375,33.5,730800,5.268772
1990-03-12,33.375,33.875,33.375,33.625,121200,5.288431
1990-03-13,33.5,33.875,33.5,33.625,1020400,5.288431
1990-03-14,33.625,33.875,33.625,33.875,412800,5.32775
1990-03-15,33.625,34.0,33.625,33.75,163600,5.308091
1990-03-16,33.875,34.25,33.875,34.25,489200,5.386729
1990-03-19,34.0,34.5,33.375,34.5,290400,5.426048000000001
1990-03-20,34.375,35.75,34.375,35.375,471600,5.5636660000000004
1990-03-21,35.875,36.125,35.75,36.0,379600,5.661964
1990-03-22,36.0,36.0,35.375,35.75,262400,5.622644
1990-03-23,35.875,36.25,35.75,36.125,248000,5.681623
1990-03-26,36.375,36.375,35.5,35.625,474000,5.602984999999999
1990-03-27,35.625,36.25,35.125,36.25,180000,5.701283
1990-03-28,35.875,36.125,35.5,35.625,389200,5.602984999999999
1990-03-29,35.5,35.5,34.75,35.25,209600,5.5440059999999995
1990-03-30,35.125,35.375,34.625,35.375,234800,5.5636660000000004
1990-04-02,35.125,35.125,34.375,34.75,379200,5.465368
1990-04-03,35.0,36.125,34.875,36.125,210400,5.681623
1990-04-04,36.0,36.25,35.75,36.0,194800,5.661964
1990-04-05,36.125,36.5,35.625,35.625,317200,5.602984999999999
1990-04-06,35.875,36.0,35.5,35.625,226400,5.602984999999999
1990-04-09,35.75,35.75,35.375,35.5,120000,5.583325
1990-04-10,35.625,35.75,35.375,35.75,174800,5.622644
1990-04-11,35.5,35.875,35.375,35.375,376400,5.5636660000000004
1990-04-12,35.125,35.75,35.125,35.5,209200,5.583325
1990-04-16,35.75,36.375,35.5,35.625,370800,5.602984999999999
1990-04-17,35.75,35.75,35.25,35.375,457200,5.5636660000000004
1990-04-18,35.5,35.5,35.0,35.125,319600,5.5243459999999995
1990-04-19,35.0,35.0,34.625,35.0,381600,5.5046870000000006
1990-04-20,35.0,35.375,34.875,35.25,239600,5.5440059999999995
1990-04-23,35.25,35.25,35.0,35.125,274400,5.5243459999999995
1990-04-24,35.0,35.375,34.875,35.0,356000,5.5046870000000006
1990-04-25,35.125,35.25,35.0,35.125,112800,5.5243459999999995
1990-04-26,35.25,35.25,34.875,35.125,168400,5.5243459999999995
1990-04-27,35.0,35.125,34.375,34.5,302800,5.426048000000001
1990-04-30,34.5,35.125,34.375,35.0,114000,5.5046870000000006
1990-05-01,35.25,35.75,35.25,35.75,393200,5.622644
1990-05-02,35.75,36.0,35.625,36.0,82800,5.661964
1990-05-03,36.0,36.375,36.0,36.125,330400,5.681623
1990-05-04,36.375,36.75,36.25,36.75,374400,5.779921
1990-05-07,36.5,36.75,36.125,36.25,342400,5.701283
1990-05-08,36.125,36.375,35.875,36.125,346000,5.681623
1990-05-09,36.0,38.5,36.0,38.125,1277200,5.996176999999999
1990-05-10,38.125,40.0,38.125,38.375,1435600,6.035496
1990-05-11,38.625,38.75,38.375,38.5,825600,6.055155
1990-05-14,38.5,38.625,38.125,38.5,302000,6.055155
1990-05-15,38.125,38.625,38.0,38.625,496000,6.074815
1990-05-16,38.5,38.625,38.25,38.5,784800,6.055155
1990-05-17,38.5,38.5,37.75,37.75,411600,5.937198
1990-05-18,37.75,37.75,37.25,37.5,435600,5.897879
1990-05-21,37.25,38.625,37.25,38.625,436800,6.105751000000001
1990-05-22,38.75,38.875,38.5,38.875,312800,6.14527
1990-05-23,38.5,38.875,38.5,38.75,236800,6.12551
1990-05-24,38.75,39.25,38.375,39.0,446400,6.165030000000001
1990-05-25,39.0,39.0,37.875,37.875,151200,5.987191999999999
1990-05-29,38.125,38.25,37.75,38.0,220800,6.006952
1990-05-30,38.0,38.125,37.75,37.875,745200,5.987191999999999
1990-05-31,37.875,38.0,37.75,37.75,305600,5.967433
1990-06-01,37.75,38.25,37.625,38.25,366800,6.0464720000000005
1990-06-04,38.0,38.125,37.625,37.875,347200,5.987191999999999
1990-06-05,38.0,38.125,37.625,37.875,197200,5.987191999999999
1990-06-06,37.75,37.75,37.375,37.625,337200,5.947673
1990-06-07,37.75,37.75,37.125,37.5,108000,5.927912999999999
1990-06-08,37.5,37.875,37.25,37.75,268000,5.967433
1990-06-11,38.0,38.0,37.5,37.5,126400,5.927912999999999
1990-06-12,37.5,38.375,37.375,38.125,295200,6.026712
1990-06-13,38.375,39.125,38.375,38.875,342400,6.14527
1990-06-14,38.625,39.0,38.5,39.0,245200,6.165030000000001
1990-06-15,38.5,39.625,38.375,39.625,526800,6.263828
1990-06-18,39.5,39.625,38.75,38.75,937600,6.12551
1990-06-19,38.625,39.0,38.5,38.625,222400,6.105751000000001
1990-06-20,38.75,38.875,38.5,38.75,274400,6.12551
1990-06-21,38.625,39.25,38.625,39.125,216800,6.1847900000000005
1990-06-22,39.125,39.875,38.625,38.625,505600,6.105751000000001
1990-06-25,38.625,39.125,38.5,38.5,606400,6.085991
1990-06-26,38.75,39.5,38.75,39.125,214400,6.1847900000000005
1990-06-27,39.25,39.375,38.875,39.0,200800,6.165030000000001
1990-06-28,39.0,39.375,39.0,39.375,108000,6.224309
1990-06-29,39.375,40.25,39.375,39.875,322400,6.303348000000001
1990-07-02,39.625,40.0,39.25,40.0,270000,6.323107
1990-07-03,39.75,39.875,39.125,39.125,87600,6.1847900000000005
1990-07-05,39.125,39.375,39.0,39.0,164800,6.165030000000001
1990-07-06,39.0,39.375,38.875,39.125,161200,6.1847900000000005
1990-07-09,39.125,39.375,39.125,39.25,111600,6.204549
1990-07-10,39.125,39.25,38.5,38.5,775600,6.085991
1990-07-11,38.5,38.75,38.25,38.75,448400,6.12551
1990-07-12,39.25,39.625,39.125,39.25,1360000,6.204549
1990-07-13,39.875,41.375,39.875,40.75,645600,6.441666000000001
1990-07-16,40.75,42.125,40.75,41.375,636800,6.540464
1990-07-17,41.375,41.5,40.875,41.25,349200,6.520705
1990-07-18,41.0,41.0,40.0,40.625,244400,6.421906
1990-07-19,40.375,40.625,39.0,39.75,281200,6.283588
1990-07-20,39.25,40.125,39.125,39.625,306000,6.263828
1990-07-23,39.75,39.75,38.625,38.75,608000,6.12551
1990-07-24,38.875,39.125,38.625,39.0,331600,6.165030000000001
1990-07-25,39.125,39.625,38.875,39.625,132400,6.263828
1990-07-26,39.5,40.375,39.5,40.375,418800,6.3823870000000005
1990-07-27,40.125,40.375,39.625,39.875,114400,6.303348000000001
1990-07-30,39.625,39.75,38.875,39.375,282400,6.224309
1990-07-31,39.5,39.5,38.125,38.625,287200,6.105751000000001
1990-08-01,38.625,39.125,38.375,39.0,305200,6.165030000000001
1990-08-02,38.625,38.625,38.0,38.25,799600,6.0464720000000005
1990-08-03,37.875,37.875,36.25,37.375,640000,5.908154
1990-08-06,36.75,36.75,35.5,35.75,601600,5.651276999999999
1990-08-07,35.5,35.875,34.5,34.75,484000,5.4932
1990-08-08,34.75,35.5,34.5,35.25,545600,5.572238
1990-08-09,35.125,35.5,35.0,35.5,267600,5.611758
1990-08-10,35.375,35.75,35.25,35.5,224800,5.611758
1990-08-13,35.25,35.75,35.125,35.625,206000,5.631518
1990-08-14,35.5,36.25,35.5,35.5,646800,5.611758
1990-08-15,35.75,35.875,35.5,35.625,259600,5.631518
1990-08-16,35.625,35.625,35.375,35.375,192400,5.591998
1990-08-17,35.125,35.25,33.75,34.25,284800,5.414161
1990-08-20,33.75,33.875,32.75,33.375,570000,5.305274
1990-08-21,32.875,33.25,31.875,33.0,748000,5.245664
1990-08-22,33.125,33.125,31.875,31.875,672800,5.066834
1990-08-23,30.75,31.25,30.125,31.0,679600,4.927745
1990-08-24,31.125,31.625,30.625,30.625,496000,4.868135
1990-08-27,31.125,31.75,31.125,31.375,329600,4.987355
1990-08-28,31.625,32.375,31.375,32.25,384000,5.126444
1990-08-29,32.25,32.5,31.875,32.25,129200,5.126444
1990-08-30,32.5,32.75,32.0,32.25,191600,5.126444
1990-08-31,32.5,33.0,32.0,33.0,228000,5.245664
1990-09-04,33.125,33.25,32.875,33.25,172800,5.285404
1990-09-05,33.25,34.375,33.25,34.25,444000,5.444363
1990-09-06,34.0,34.25,33.875,34.25,478000,5.444363
1990-09-07,34.0,34.125,33.375,33.625,804800,5.345013
1990-09-10,33.875,34.0,32.625,32.625,363200,5.186054
1990-09-11,32.625,33.0,32.625,33.0,72800,5.245664
1990-09-12,33.25,33.875,33.125,33.875,488800,5.384753
1990-09-13,33.625,33.875,33.25,33.375,181600,5.305274
1990-09-14,33.375,33.375,33.125,33.25,196800,5.285404
1990-09-17,33.5,33.75,33.125,33.75,140000,5.364883
1990-09-18,33.5,33.875,33.125,33.875,170800,5.384753
1990-09-19,34.0,34.25,33.625,33.75,264400,5.364883
1990-09-20,33.625,33.625,32.5,33.375,216400,5.305274
