Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,48.875,49.25,48.375,49.25,1270800,7.387339999999999
1990-01-03,49.25,49.75,49.0,49.375,2768800,7.406089
1990-01-04,49.375,49.5,47.0,48.0,1940800,7.199844000000001
1990-01-05,47.75,48.0,47.25,47.75,2252800,7.162344
1990-01-08,47.5,48.0,47.125,47.875,1550000,7.181094
1990-01-09,47.75,48.125,46.875,47.125,1054400,7.068596
1990-01-10,46.75,47.5,46.5,47.5,1570400,7.124845
1990-01-11,47.625,48.125,47.5,47.75,1256000,7.162344
1990-01-12,46.625,47.375,46.5,46.625,1736000,6.9935979999999995
1990-01-15,46.5,46.625,46.125,46.375,812800,6.956099000000001
1990-01-16,45.625,47.0,45.625,46.625,1498800,6.9935979999999995
1990-01-17,46.625,47.125,46.25,46.625,1479600,6.9935979999999995
1990-01-18,46.0,47.5,46.0,47.375,2308800,7.106096000000001
1990-01-19,47.375,48.5,47.375,48.375,1858400,7.256092
1990-01-22,48.0,48.25,46.75,46.75,1418000,7.012347999999999
1990-01-23,47.0,47.125,45.375,45.625,1968800,6.843601
1990-01-24,44.0,45.75,43.5,45.375,3626000,6.806102
1990-01-25,45.5,45.75,44.875,45.25,1343600,6.7873529999999995
1990-01-26,44.875,45.625,44.5,45.5,2506400,6.824852000000001
1990-01-29,45.5,45.5,44.5,45.125,2147200,6.768603
1990-01-30,45.25,46.25,44.75,46.25,2534800,6.937349
1990-01-31,46.5,47.5,46.5,47.25,2231200,7.087346000000001
1990-02-01,47.0,47.125,46.5,46.875,979200,7.031097
1990-02-02,46.875,47.5,46.875,47.125,2199600,7.068596
1990-02-05,46.875,47.125,46.375,47.0,2610400,7.049847
1990-02-06,46.75,47.0,46.375,47.0,2115200,7.049847
1990-02-07,46.75,49.75,46.375,49.375,4554000,7.406089
1990-02-08,49.0,49.375,48.5,48.75,3884800,7.312341
1990-02-09,48.5,48.625,48.0,48.25,2159600,7.237342999999999
1990-02-12,48.0,48.875,47.5,48.75,2170000,7.312341
1990-02-13,48.625,49.5,48.25,49.375,6024000,7.406089
1990-02-14,49.25,49.375,48.625,48.875,1854400,7.331091000000001
1990-02-15,48.75,50.0,48.625,49.875,3981200,7.481088000000001
1990-02-16,50.0,50.0,49.125,49.25,2925600,7.387339999999999
1990-02-20,49.0,49.75,48.25,49.75,2277600,7.462338000000001
1990-02-21,49.25,50.625,49.125,50.375,5889200,7.556086
1990-02-22,50.75,51.125,48.5,48.5,5323200,7.274842
1990-02-23,48.125,48.5,47.5,47.625,2650000,7.1435949999999995
1990-02-26,47.5,48.5,47.375,48.375,2398800,7.256092
1990-02-27,47.625,48.125,46.875,47.0,2060000,7.093839999999999
1990-02-28,47.25,48.375,47.0,47.375,3784800,7.1504389999999995
1990-03-01,47.5,49.0,47.375,48.625,3189600,7.339105
1990-03-02,49.0,49.0,48.125,48.5,2568400,7.320239
1990-03-05,48.5,48.625,48.0,48.125,1842400,7.2636389999999995
1990-03-06,48.125,49.125,48.125,49.125,2672000,7.414572
1990-03-07,49.375,49.5,48.875,49.125,2357200,7.414572
1990-03-08,49.0,49.75,49.0,49.75,2654400,7.508905
1990-03-09,49.75,49.875,48.875,49.125,1874400,7.414572
1990-03-12,49.0,49.25,48.875,49.125,1316000,7.414572
1990-03-13,49.0,49.375,48.25,48.375,1540400,7.301372
1990-03-14,48.75,49.5,48.375,49.25,2039200,7.433438000000001
1990-03-15,49.5,49.625,49.0,49.375,1537600,7.452305
