Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,63.25,64.75,63.25,64.75,2736400,5.182498000000001
1990-01-03,64.625,64.75,63.125,63.625,2497600,5.092455
1990-01-04,62.75,62.75,60.0,62.25,2465600,5.033828
1990-01-05,61.25,61.25,58.875,59.25,2321200,4.791233999999999
1990-01-08,59.25,60.625,58.5,60.25,2049600,4.872098
1990-01-09,59.875,60.0,58.625,58.875,1397600,4.76091
1990-01-10,58.75,58.75,56.625,57.25,2369600,4.629504
1990-01-11,57.625,58.125,57.25,57.75,1948400,4.669937
1990-01-12,57.125,57.125,55.25,56.0,2202000,4.528423
1990-01-15,55.75,55.875,55.0,55.125,1212000,4.457667
1990-01-16,54.375,56.25,53.75,56.25,2567200,4.54864
1990-01-17,56.25,56.375,54.375,54.75,1508400,4.4273430000000005
1990-01-18,54.25,55.875,54.25,55.75,2172000,4.508207
1990-01-19,56.0,56.75,56.0,56.0,2300000,4.528423
1990-01-22,56.125,56.25,54.0,54.375,1616400,4.397018
1990-01-23,54.5,54.75,53.375,54.75,1728400,4.4273430000000005
1990-01-24,54.75,55.375,52.375,55.125,1667200,4.457667
1990-01-25,55.125,55.25,53.375,53.375,1830000,4.316154
1990-01-26,53.25,53.875,52.125,52.875,2609200,4.275721
1990-01-29,53.0,53.125,52.125,52.75,1352400,4.265613
1990-01-30,52.875,52.875,50.75,52.25,1784400,4.225181
1990-01-31,52.375,52.875,52.25,52.875,1314000,4.275721
1990-02-01,53.125,53.75,53.0,53.75,1766800,4.346478
1990-02-02,53.5,54.625,53.25,54.375,1370000,4.397018
1990-02-05,54.375,55.25,54.0,55.125,1895200,4.457667
1990-02-06,55.0,55.0,53.125,53.625,1397600,4.33637
1990-02-07,52.875,54.125,52.25,54.0,1346000,4.366694
1990-02-08,54.25,54.25,51.625,52.0,1303200,4.2049650000000005
1990-02-09,52.875,53.125,52.125,53.0,1777600,4.285829
1990-02-12,53.0,53.25,52.375,52.5,1050800,4.2453970000000005
1990-02-13,52.75,53.125,52.0,53.0,966000,4.285829
1990-02-14,53.375,53.75,53.0,53.25,1310800,4.306046
1990-02-15,53.125,54.75,53.125,54.5,1146800,4.407126
1990-02-16,54.25,55.25,54.0,54.25,2000400,4.386909999999999
1990-02-20,53.75,53.75,52.625,53.0,1296400,4.285829
1990-02-21,52.125,52.875,52.0,52.625,2417200,4.255505
1990-02-22,52.875,54.375,52.5,52.625,1806000,4.255505
1990-02-23,52.375,53.375,52.25,53.0,1414400,4.285829
1990-02-26,52.875,53.625,52.5,53.625,1489200,4.33637
1990-02-27,53.875,55.0,53.875,54.75,1649600,4.4273430000000005
1990-02-28,54.5,55.25,54.5,54.75,1368000,4.4273430000000005
1990-03-01,54.5,56.375,54.5,56.0,1361600,4.528423
