Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,29.5,29.5,29.125,29.375,185000,3.8762309999999998
1990-01-03,29.25,29.375,29.125,29.25,111800,3.8597370000000004
1990-01-04,29.25,29.25,28.75,28.875,128800,3.810253
1990-01-05,28.75,28.875,28.0,28.125,344200,3.7112849999999997
1990-01-08,28.0,28.125,27.625,27.75,187400,3.661802
1990-01-09,27.625,27.75,27.375,27.5,198800,3.6288120000000004
1990-01-10,27.375,27.625,27.25,27.5,148600,3.6288120000000004
1990-01-11,27.5,27.625,27.375,27.5,113400,3.6288120000000004
1990-01-12,27.375,27.375,26.75,26.875,119400,3.546339
1990-01-15,27.0,27.0,26.25,26.5,200000,3.4968559999999997
1990-01-16,26.375,27.125,26.375,26.875,106200,3.546339
1990-01-17,27.125,27.75,27.0,27.75,91000,3.661802
1990-01-18,27.5,27.75,27.375,27.5,181400,3.6288120000000004
1990-01-19,27.625,28.0,27.5,28.0,1696600,3.6947910000000004
1990-01-22,27.875,28.0,27.75,27.875,194800,3.678296
1990-01-23,27.875,27.875,27.5,27.75,128600,3.661802
1990-01-24,27.5,27.75,27.25,27.75,478600,3.661802
1990-01-25,27.625,27.75,27.375,27.5,92800,3.6288120000000004
1990-01-26,26.875,27.0,26.625,26.875,741200,3.5960300000000003
1990-01-29,26.875,27.0,26.625,26.875,569600,3.5960300000000003
1990-01-30,26.875,27.125,26.875,27.125,344200,3.6294809999999997
1990-01-31,27.125,27.75,27.0,27.75,353800,3.71311
1990-02-01,27.75,28.125,27.625,28.0,370600,3.7465610000000003
1990-02-02,28.125,28.625,28.0,28.375,190200,3.796739
1990-02-05,28.25,28.375,28.125,28.125,285800,3.763287
1990-02-06,28.125,28.25,28.0,28.125,107000,3.763287
1990-02-07,28.125,28.25,28.0,28.25,135400,3.780013
1990-02-08,28.25,28.25,28.125,28.25,142800,3.780013
1990-02-09,28.25,28.5,28.25,28.375,152200,3.796739
1990-02-12,28.25,28.625,28.25,28.625,217400,3.83019
1990-02-13,28.625,28.875,28.5,28.875,336400,3.863642
1990-02-14,28.75,29.125,28.75,29.125,107200,3.897093
1990-02-15,29.125,29.375,29.0,29.125,277200,3.897093
1990-02-16,29.375,29.375,29.125,29.375,225200,3.9305440000000003
1990-02-20,29.375,29.375,28.875,28.875,140400,3.863642
1990-02-21,28.75,29.0,28.625,28.875,91200,3.863642
1990-02-22,28.875,29.375,28.875,29.375,137400,3.9305440000000003
1990-02-23,29.125,29.5,29.125,29.5,387400,3.9472699999999996
1990-02-26,29.5,29.5,29.125,29.25,125400,3.913819
1990-02-27,29.375,29.5,29.125,29.5,144600,3.9472699999999996
1990-02-28,29.375,29.5,29.125,29.125,359200,3.897093
1990-03-01,29.125,29.25,29.0,29.125,169800,3.897093
1990-03-02,29.25,29.25,29.125,29.25,42000,3.913819
1990-03-05,29.25,29.25,29.0,29.125,154400,3.897093
1990-03-06,29.0,29.25,29.0,29.25,127400,3.913819
1990-03-07,29.125,29.125,28.75,28.75,184800,3.8469160000000002
