Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,58.75,60.0,58.75,60.0,600800,7.125066
1990-01-03,60.5,60.5,60.0,60.375,1022400,7.169598
1990-01-04,60.25,61.75,60.25,61.5,1790000,7.303192999999999
1990-01-05,61.75,61.75,61.0,61.25,1163600,7.273505
1990-01-08,61.0,61.75,61.0,61.5,424400,7.303192999999999
1990-01-09,61.25,62.0,61.25,61.75,1242800,7.33288
1990-01-10,62.0,62.0,61.0,61.5,1831200,7.303192999999999
1990-01-11,61.25,61.5,60.5,60.875,714400,7.228973
1990-01-12,60.0,60.25,59.5,59.5,862400,7.065691
1990-01-15,59.5,59.75,59.0,59.0,1002800,7.006315
1990-01-16,58.25,59.5,58.25,59.25,450800,7.036003
1990-01-17,58.75,59.25,58.0,58.25,806400,6.917252
1990-01-18,58.0,58.5,57.75,58.25,456800,6.917252
1990-01-19,58.5,58.5,57.75,57.75,452000,6.857875999999999
1990-01-22,58.0,58.0,55.75,56.0,779600,6.650061999999999
1990-01-23,56.0,56.5,55.125,55.5,682000,6.590686
1990-01-24,54.5,56.0,53.5,55.25,891600,6.560998
1990-01-25,55.75,57.25,55.5,55.625,937600,6.60553
1990-01-26,55.5,55.5,55.0,55.5,933200,6.590686
1990-01-29,55.5,55.75,55.0,55.25,876000,6.560998
1990-01-30,55.25,55.25,53.75,54.0,546000,6.412559
1990-01-31,54.25,54.25,53.0,53.75,1306800,6.382872
1990-02-01,53.75,56.75,53.625,56.5,2081200,6.709436999999999
1990-02-02,56.5,57.5,56.25,57.25,1184400,6.798501
1990-02-05,57.75,58.5,57.5,58.25,703200,6.917252
1990-02-06,58.0,59.25,58.0,59.25,537600,7.036003
1990-02-07,58.75,59.75,58.5,59.375,582000,7.050847
1990-02-08,59.75,60.0,59.0,59.375,1041200,7.050847
1990-02-09,59.5,59.5,59.0,59.125,2251600,7.021159
1990-02-12,58.75,59.0,57.25,57.25,1311200,6.798501
1990-02-13,57.25,57.375,55.5,56.625,2006400,6.7242809999999995
1990-02-14,56.5,57.75,56.5,57.25,712800,6.798501
1990-02-15,57.5,58.5,57.25,58.5,269600,6.9469389999999995
1990-02-16,58.5,59.0,58.25,58.5,634800,6.9469389999999995
1990-02-20,58.25,58.5,57.75,58.5,412000,6.9469389999999995
