Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,9.375,9.625,9.375,9.625,11200,4.264196
1990-01-03,9.625,9.625,9.375,9.375,3800,4.1534379999999995
1990-01-04,9.5,9.75,9.5,9.75,21000,4.319575
1990-01-05,9.625,9.75,9.5,9.625,12600,4.264196
1990-01-08,9.5,9.625,9.25,9.5,85200,4.208817
1990-01-09,9.5,9.5,9.375,9.5,5800,4.208817
1990-01-10,9.375,9.5,9.375,9.375,21600,4.1534379999999995
1990-01-11,9.375,9.625,9.375,9.5,61400,4.208817
1990-01-12,9.375,9.375,9.125,9.125,54800,4.042679
1990-01-15,9.125,9.25,9.0,9.0,59000,3.9873
1990-01-16,9.0,9.125,9.0,9.125,51200,4.042679
1990-01-17,9.125,9.25,9.125,9.125,10200,4.042679
1990-01-18,9.125,9.25,9.125,9.25,9400,4.098058
1990-01-19,9.375,10.0,9.25,9.625,185400,4.264196
1990-01-22,9.625,9.75,9.5,9.5,88400,4.208817
1990-01-23,9.5,9.625,9.25,9.25,33800,4.098058
1990-01-24,9.0,9.25,9.0,9.25,20200,4.098058
1990-01-25,9.25,9.375,9.25,9.25,17400,4.098058
1990-01-26,9.125,9.125,8.875,9.125,26000,4.042679
1990-01-29,9.0,9.0,8.75,8.75,51200,3.8765419999999997
1990-01-30,8.75,8.75,8.5,8.5,52800,3.7657830000000003
1990-01-31,8.625,8.625,8.25,8.5,98400,3.7657830000000003
1990-02-01,8.375,8.5,8.375,8.5,29800,3.7657830000000003
1990-02-02,8.5,8.75,8.5,8.625,23200,3.821163
1990-02-05,8.75,9.125,8.75,9.125,89600,4.042679
1990-02-06,9.125,9.125,8.875,9.125,25200,4.042679
1990-02-07,9.0,9.375,8.875,9.375,68200,4.1534379999999995
1990-02-08,9.625,9.625,9.25,9.5,103400,4.208817
1990-02-09,9.625,9.625,9.5,9.5,26200,4.208817
1990-02-12,9.5,9.625,9.0,9.625,71400,4.264196
1990-02-13,9.5,9.5,9.25,9.375,86400,4.1534379999999995
1990-02-14,9.375,9.5,9.375,9.5,18200,4.208817
1990-02-15,9.375,9.625,9.375,9.625,52800,4.264196
1990-02-16,9.625,9.75,9.625,9.75,19400,4.319575
1990-02-20,9.75,9.75,9.5,9.625,9200,4.264196
1990-02-21,9.375,9.5,9.375,9.5,34600,4.208817
1990-02-22,9.5,9.5,9.5,9.5,9800,4.208817
1990-02-23,9.375,9.375,9.25,9.375,6600,4.1534379999999995
1990-02-26,9.375,9.375,9.125,9.375,40800,4.1534379999999995
1990-02-27,9.25,9.375,8.625,8.75,75200,3.8765419999999997
1990-02-28,8.75,9.125,8.75,9.0,45400,3.9873
1990-03-01,8.875,9.0,8.75,8.875,9200,3.931921
1990-03-02,9.0,9.25,9.0,9.125,60800,4.042679
1990-03-05,9.25,9.25,9.0,9.125,9000,4.042679
1990-03-06,9.0,9.125,9.0,9.125,8800,4.042679
1990-03-07,9.125,9.125,9.0,9.0,11600,3.9873
1990-03-08,8.75,9.25,8.75,9.25,32800,4.098058
1990-03-09,9.25,9.25,9.0,9.0,34600,3.9873
1990-03-12,9.125,9.125,9.0,9.0,6600,3.9873
1990-03-13,9.0,9.0,9.0,9.0,50600,3.9873
1990-03-14,9.0,9.0,9.0,9.0,27000,3.9873
1990-03-15,9.0,9.0,8.75,8.75,7800,3.8765419999999997
1990-03-16,8.75,8.875,8.75,8.875,19200,3.931921
1990-03-19,8.875,8.875,8.75,8.875,20200,3.931921
1990-03-20,8.75,8.75,8.75,8.75,8200,3.8765419999999997
1990-03-21,8.75,8.75,8.625,8.625,26400,3.821163
1990-03-22,8.625,8.625,8.375,8.625,20400,3.821163
1990-03-23,8.375,8.375,8.25,8.375,6000,3.710404
1990-03-26,8.375,8.375,8.25,8.25,23400,3.655025
1990-03-27,8.25,8.5,8.125,8.375,25000,3.710404
1990-03-28,8.375,8.5,8.375,8.5,3600,3.7657830000000003
1990-03-29,8.5,8.625,8.5,8.5,7000,3.7657830000000003
1990-03-30,8.5,8.5,8.375,8.5,28000,3.7657830000000003
1990-04-02,8.5,8.5,8.375,8.375,23400,3.710404
1990-04-03,8.375,8.375,8.375,8.375,4000,3.710404
1990-04-04,8.5,8.5,8.375,8.5,29000,3.7657830000000003
1990-04-05,8.5,8.5,8.375,8.375,78000,3.710404
1990-04-06,8.375,8.5,8.375,8.5,19600,3.7657830000000003
1990-04-09,8.5,8.5,8.375,8.375,9600,3.710404
1990-04-10,8.375,8.375,8.25,8.25,54200,3.655025
1990-04-11,8.125,8.125,8.125,8.125,21200,3.599646
1990-04-12,8.125,8.125,8.0,8.125,74600,3.599646
1990-04-16,8.0,8.0,7.875,7.875,53400,3.4888879999999998
1990-04-17,7.875,8.125,7.875,8.0,68400,3.5442669999999996
1990-04-18,8.0,8.125,8.0,8.0,32800,3.5442669999999996
1990-04-19,8.0,8.0,8.0,8.0,4200,3.5442669999999996
1990-04-20,7.875,8.0,7.875,8.0,1400,3.5442669999999996
1990-04-23,7.875,7.875,7.75,7.75,10200,3.4335080000000002
1990-04-24,7.875,8.0,7.75,7.875,23200,3.4888879999999998
1990-04-25,7.75,8.0,7.75,7.875,25200,3.4888879999999998
1990-04-26,8.0,8.0,7.875,8.0,14000,3.5442669999999996
1990-04-27,8.0,8.0,7.875,7.875,8800,3.4888879999999998
1990-04-30,7.875,8.0,7.875,7.875,8200,3.4888879999999998
