Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,24.625,25.0,24.5,25.0,1431200,3.801908
1990-01-03,25.0,25.125,24.0,24.25,706400,3.687851
1990-01-04,24.25,24.5,23.875,24.375,350000,3.70686
1990-01-05,24.375,24.875,24.125,24.875,723200,3.7828980000000003
1990-01-08,24.875,24.875,24.0,24.125,697600,3.6688410000000005
1990-01-09,24.25,24.375,23.75,23.75,766000,3.6118129999999997
1990-01-10,23.625,23.75,23.125,23.625,616000,3.592803
1990-01-11,23.75,23.875,23.75,23.75,387200,3.6118129999999997
1990-01-12,23.5,23.625,22.75,22.75,421600,3.459736
1990-01-15,22.5,22.875,22.25,22.875,544400,3.478746
1990-01-16,22.5,23.375,22.5,23.0,202400,3.497755
1990-01-17,23.25,23.875,23.125,23.25,399200,3.535774
1990-01-18,23.375,24.0,23.0,23.625,1092800,3.592803
1990-01-19,23.875,23.875,23.0,23.0,1015600,3.497755
1990-01-22,23.0,23.375,22.25,22.375,366000,3.402708
1990-01-23,22.375,22.5,21.5,22.25,629600,3.3836980000000003
1990-01-24,21.875,22.375,21.375,22.125,314400,3.364689
1990-01-25,22.5,22.625,21.5,21.625,1113600,3.28865
1990-01-26,21.875,22.25,21.5,22.125,341600,3.364689
1990-01-29,22.375,22.375,21.625,22.125,407200,3.364689
1990-01-30,22.125,22.25,21.0,21.125,503200,3.212612
1990-01-31,21.375,21.5,21.25,21.5,494000,3.269641
1990-02-01,21.5,21.875,21.25,21.75,497200,3.30766
1990-02-02,21.5,23.0,21.375,22.625,596400,3.440727
1990-02-05,22.875,23.25,22.75,23.125,414400,3.5167650000000004
1990-02-06,22.875,22.875,22.25,22.625,411600,3.440727
1990-02-07,22.375,23.125,22.125,23.125,359200,3.5167650000000004
1990-02-08,23.125,23.75,23.125,23.5,599200,3.573793
1990-02-09,23.5,23.75,23.25,23.375,306800,3.5547839999999997
1990-02-12,23.0,23.0,22.125,22.375,231600,3.402708
1990-02-13,22.5,22.875,22.0,22.875,250800,3.478746
1990-02-14,22.875,23.125,22.75,22.875,412400,3.478746
1990-02-15,22.875,22.875,22.5,22.625,265600,3.440727
1990-02-16,22.5,22.625,22.125,22.375,355200,3.402708
1990-02-20,22.125,22.25,21.5,21.75,578800,3.30766
1990-02-21,21.375,21.375,21.125,21.25,352000,3.231622
1990-02-22,21.25,22.375,21.25,21.875,757600,3.3266690000000003
1990-02-23,21.625,22.25,21.5,22.0,423200,3.345679
1990-02-26,22.25,23.0,22.0,22.5,328400,3.4217169999999997
1990-02-27,22.625,23.0,22.625,22.75,860400,3.459736
1990-02-28,22.625,23.125,22.625,23.125,676400,3.5167650000000004
1990-03-01,23.125,23.375,22.875,23.375,827200,3.5547839999999997
1990-03-02,23.625,24.125,23.5,23.875,766400,3.630822
1990-03-05,23.875,23.875,23.5,23.875,440000,3.669243
1990-03-06,23.875,24.25,23.75,24.25,1096400,3.726875
1990-03-07,24.25,24.625,24.125,24.375,631600,3.746086
1990-03-08,24.5,25.125,24.375,25.125,655200,3.86135
1990-03-09,25.125,25.125,24.625,25.0,502800,3.84214
1990-03-12,25.0,25.125,24.875,25.0,732800,3.84214
1990-03-13,24.875,25.25,24.375,24.375,816000,3.746086
1990-03-14,24.125,24.375,23.75,23.75,590400,3.650033
1990-03-15,24.0,24.25,23.75,24.0,286000,3.688454
1990-03-16,24.375,24.375,23.625,23.75,666400,3.650033
1990-03-19,23.75,23.875,23.625,23.75,389200,3.650033
1990-03-20,23.75,24.375,23.625,24.0,419200,3.688454
1990-03-21,24.0,24.0,23.25,23.375,630800,3.592401
1990-03-22,23.125,23.375,22.875,23.0,1130400,3.534768
1990-03-23,23.25,23.375,23.0,23.375,890000,3.592401
1990-03-26,23.5,23.5,23.375,23.5,332800,3.611611
1990-03-27,23.5,23.5,22.75,22.875,686800,3.515558
1990-03-28,22.625,22.875,22.5,22.75,808000,3.496347
1990-03-29,22.625,22.875,22.375,22.625,278000,3.4771360000000002
1990-03-30,22.5,22.625,22.125,22.625,422400,3.4771360000000002
1990-04-02,22.25,22.5,22.0,22.5,465200,3.457926
1990-04-03,23.25,23.375,23.0,23.375,1053200,3.592401
1990-04-04,23.5,23.875,23.25,23.375,452400,3.592401
1990-04-05,23.375,23.375,22.75,23.125,361600,3.553979
1990-04-06,23.125,23.5,23.0,23.0,816000,3.534768
1990-04-09,23.0,23.375,23.0,23.25,256000,3.5731900000000003
1990-04-10,23.125,23.875,23.0,23.625,607600,3.630822
1990-04-11,23.875,24.0,23.5,23.5,382000,3.611611
1990-04-12,23.75,23.75,23.375,23.5,696000,3.611611
1990-04-16,23.875,24.0,23.5,23.75,1184000,3.650033
1990-04-17,23.75,24.0,23.5,24.0,566400,3.688454
1990-04-18,24.25,24.25,23.75,24.0,235600,3.688454
1990-04-19,23.75,24.0,23.625,23.625,392400,3.630822
1990-04-20,23.75,23.75,23.125,23.125,2562000,3.553979
1990-04-23,23.0,23.125,22.875,23.0,278800,3.534768
1990-04-24,23.125,24.125,23.125,23.75,560800,3.650033
1990-04-25,23.75,24.25,23.5,24.125,732400,3.707665
