Date,Open,High,Low,Close,Volume,Adj Close
2005-11-18,30.5,31.0,24.389999,25.299999,71853200,6.325
2005-11-21,26.030001000000002,26.950001,25.5,26.15,16838400,6.5375
2005-11-22,25.5,25.85,22.75,23.5,12877600,5.875
2005-11-23,23.940001000000002,24.1,23.51,23.799999,4126800,5.95
2005-11-25,23.83,24.0,23.5,23.68,1165200,5.92
2005-11-28,23.68,24.200001,23.58,23.700001,3242400,5.925
2005-11-29,23.559998999999998,23.65,21.08,21.35,8120800,5.3375
2005-11-30,21.33,22.709999,21.27,22.51,3216400,5.6275
2005-12-01,22.85,23.73,22.6,23.15,2918400,5.7875
2005-12-02,23.709999,25.0,23.25,24.66,4717200,6.165
2005-12-05,25.120001000000002,25.9,24.549999,25.66,2826800,6.415
2005-12-06,26.059998999999998,26.16,24.52,24.700001,2308800,6.175
2005-12-07,24.91,25.65,24.91,25.65,1761600,6.4125
2005-12-08,25.5,25.879998999999998,25.299999,25.5,996400,6.375
2005-12-09,25.6,25.84,24.799999,25.0,799600,6.25
2005-12-12,25.0,25.58,24.75,25.49,1311200,6.3725
2005-12-13,25.76,25.9,25.25,25.59,1064400,6.3975
2005-12-14,26.0,27.25,25.870001000000002,27.0,4124400,6.75
2005-12-15,27.0,27.65,26.799999,27.389999,2125200,6.8475
2005-12-16,27.379998999999998,27.639999,26.51,27.639999,4018400,6.91
2005-12-19,27.59,27.6,25.15,26.49,3570800,6.6225
2005-12-20,27.540001,28.290001,26.85,28.07,5790400,7.0175
2005-12-21,28.15,28.799999,27.889999,28.549999,4942400,7.1375
2005-12-22,28.58,28.83,27.99,28.700001,2142800,7.175
2005-12-23,28.700001,31.719998999999998,28.549999,31.219998999999998,7556800,7.805
2005-12-27,31.9,34.919998,31.52,33.259997999999996,16596800,8.315
2005-12-28,34.009997999999996,36.740002000000004,33.700001,36.349998,14655200,9.0875
2005-12-29,38.950001,40.0,38.279999,39.860001000000004,18088800,9.965
2005-12-30,39.630001,39.740002000000004,37.209998999999996,38.310001,14677600,9.5775
2006-01-03,37.189999,37.389998999999996,33.18,33.360001000000004,16330400,8.34
2006-01-04,32.740002000000004,33.189999,31.280001000000002,31.67,15056800,7.9175
2006-01-05,32.52,35.700001,32.169998,35.630001,14293200,8.9075
2006-01-06,35.200001,36.369999,33.650002,35.470001,11104400,8.8675
2006-01-09,35.93,35.970001,34.77,35.830002,4247200,8.9575
2006-01-10,36.18,38.490002000000004,35.540001000000004,37.5,11849200,9.375
2006-01-11,38.279999,38.549999,36.5,37.689999,5180800,9.4225
2006-01-12,37.139998999999996,39.400002,37.139998999999996,38.509997999999996,6196400,9.6275
2006-01-13,38.810001,40.34,38.509997999999996,39.02,4323600,9.755
2006-01-17,39.16,39.41,37.049999,38.169998,3724400,9.5425
2006-01-18,36.66,39.549999,36.5,38.549999,4030800,9.6375
2006-01-19,38.299999,39.700001,38.200001,38.779999,2502800,9.695
2006-01-20,38.950001,39.25,37.5,38.279999,2679600,9.57
2006-01-23,38.200001,38.5,36.490002000000004,37.32,3792800,9.33
2006-01-24,37.330002,37.849998,36.549999,36.700001,2969600,9.175
2006-01-25,36.599998,37.75,34.779999,36.860001000000004,3272800,9.215
2006-01-26,36.860001000000004,38.650002,36.860001000000004,37.549999,2578000,9.3875
2006-01-27,37.849998,39.0,37.299999,38.360001000000004,1638800,9.59
2006-01-30,38.389998999999996,41.900002,37.91,40.299999,9054000,10.075
2006-01-31,40.950001,41.09,39.599998,39.990002000000004,2708800,9.9975
2006-02-01,39.75,40.75,38.259997999999996,39.029999,2487600,9.7575
2006-02-02,39.599998,40.0,38.02,39.419998,2006800,9.855
2006-02-03,39.549999,39.970001,37.799999,38.84,1921600,9.71
2006-02-06,39.369999,39.650002,37.549999,39.200001,4585600,9.8
2006-02-07,33.209998999999996,34.0,30.629998999999998,30.940001000000002,29193200,7.735
2006-02-08,30.99,31.0,28.5,29.450001,12710000,7.3625
2006-02-09,30.25,30.65,29.200001,29.49,3744800,7.3725
2006-02-10,29.51,30.42,29.5,29.93,1970400,7.4825
2006-02-13,29.77,30.73,29.77,30.25,2746800,7.5625
2006-02-14,30.25,30.83,30.059998999999998,30.290001,1400000,7.5725
2006-02-15,29.969998999999998,30.43,28.879998999999998,29.07,2999200,7.2675
2006-02-16,28.82,29.129998999999998,27.049999,28.77,6361200,7.1925
2006-02-17,28.719998999999998,29.25,27.91,28.92,1986400,7.23
2006-02-21,28.700001,28.700001,27.32,27.4,2827600,6.85
2006-02-22,27.200001,28.360001,27.15,28.200001,2768800,7.05
2006-02-23,28.200001,29.48,27.6,29.15,2085200,7.2875
2006-02-24,28.9,29.17,28.469998999999998,28.799999,1433600,7.2
2006-02-27,28.790001,28.84,28.5,28.57,1089600,7.1425
2006-02-28,28.309998999999998,28.549999,27.98,28.190001000000002,1304000,7.0475
2006-03-01,28.0,28.950001,28.0,28.65,1316000,7.1625
2006-03-02,28.799999,29.389999,28.25,29.23,1413600,7.3075
2006-03-03,29.5,29.5,28.549999,28.870001000000002,810000,7.2175
2006-03-06,28.76,28.91,28.280001000000002,28.6,1311200,7.15
2006-03-07,28.309998999999998,29.25,27.85,28.35,1757600,7.0875
2006-03-08,28.25,28.25,26.75,26.93,2032400,6.7325
2006-03-09,26.799999,27.370001000000002,26.799999,27.0,1554800,6.75
2006-03-10,26.950001,26.950001,25.85,26.549999,2268800,6.6375
2006-03-13,26.49,27.719998999999998,26.17,27.42,1380800,6.855
2006-03-14,30.0,30.5,29.1,29.6,7883200,7.4
2006-03-15,29.719998999999998,29.889999,29.129998999999998,29.799999,1086000,7.45
2006-03-16,29.799999,30.620001000000002,29.799999,30.27,2399600,7.5675
2006-03-17,30.389999,30.530001000000002,30.0,30.07,1062000,7.5175
2006-03-20,30.049999,31.5,29.91,31.049999,2132400,7.7625
2006-03-21,31.0,31.02,30.309998999999998,30.9,1588400,7.725
2006-03-22,31.0,31.219998999999998,30.0,31.18,1305600,7.795
2006-03-23,31.23,32.25,31.049999,31.530001000000002,2860000,7.8825
2006-03-24,31.530001000000002,33.150002,31.48,33.0,2344400,8.25
2006-03-27,33.07,35.139998999999996,32.849998,34.200001,4620000,8.55
2006-03-28,34.080002,34.900002,32.740002000000004,32.91,3284400,8.2275
2006-03-29,32.790001000000004,34.400002,32.75,34.0,2352400,8.5
2006-03-30,33.860001000000004,34.240002000000004,32.849998,32.869999,1252400,8.2175
2006-03-31,32.849998,32.900002,32.25,32.400002,1252000,8.1
2006-04-03,32.700001,33.43,32.5,32.529999,1391600,8.1325
2006-04-04,32.5,33.299999,32.5,32.900002,1205200,8.225
2006-04-05,33.5,33.900002,32.84,32.959998999999996,1307600,8.24
2006-04-06,33.009997999999996,33.5,32.619999,32.720001,970000,8.18
2006-04-07,32.689999,33.0,32.400002,32.43,819200,8.1075
2006-04-10,32.740002000000004,32.849998,31.65,31.799999,1070800,7.95
2006-04-11,31.76,31.85,30.799999,31.200001,1287200,7.8
2006-04-12,31.1,31.41,30.75,31.139999,958800,7.785
2006-04-13,31.030001000000002,31.549999,30.85,31.5,867200,7.875
2006-04-17,31.549999,32.27,31.52,32.200001,1162400,8.05
2006-04-18,32.299999,32.5,32.110001000000004,32.369999,751200,8.0925
2006-04-19,32.490002000000004,33.5,32.349998,33.0,1156800,8.25
2006-04-20,33.0,33.799999,32.950001,32.98,791600,8.245
2006-04-21,33.610001000000004,33.650002,32.689999,32.889998999999996,970800,8.2225
2006-04-24,32.950001,33.73,32.889998999999996,33.380001,1197200,8.345
2006-04-25,33.5,33.849998,32.5,32.709998999999996,1411600,8.1775
2006-04-26,40.119999,40.5,36.779999,37.0,26792800,9.25
2006-04-27,37.810001,38.98,36.849998,37.830002,3515600,9.4575
2006-04-28,37.669998,38.200001,36.75,36.779999,1713200,9.195
2006-05-01,36.790001000000004,37.540001000000004,36.110001000000004,36.73,1893200,9.1825
2006-05-02,36.93,37.299999,35.860001000000004,36.110001000000004,1191600,9.0275
2006-05-03,36.150002,36.709998999999996,35.41,35.700001,1286000,8.925
2006-05-04,35.889998999999996,36.669998,35.57,36.66,1029600,9.165
2006-05-05,36.799999,37.419998,36.599998,36.799999,1150000,9.2
2006-05-08,36.799999,37.130001,36.119999,36.259997999999996,875600,9.065
2006-05-09,36.310001,38.099998,36.310001,37.509997999999996,3054800,9.3775
2006-05-10,36.130001,37.200001,35.209998999999996,36.900002,1840000,9.225
2006-05-11,36.25,37.5,36.25,36.77,1826800,9.1925
2006-05-12,36.509997999999996,36.84,35.150002,35.369999,1360000,8.8425
2006-05-15,35.450001,36.450001,34.5,35.560001,1058000,8.89
2006-05-16,35.950001,35.990002000000004,35.41,35.799999,624400,8.95
2006-05-17,35.900002,35.900002,34.91,35.23,1694800,8.8075
2006-05-18,35.169998,35.5,32.84,33.009997999999996,4500400,8.2525
2006-05-19,33.119999,34.639998999999996,32.25,34.419998,2974000,8.605
