Date,Open,High,Low,Close,Volume,Adj Close
1993-11-09,23.0,24.5,21.0,23.75008,30484800,1.48438
1993-11-10,24.5,25.0,23.75008,24.24992,4755200,1.51562
1993-11-11,24.5,24.75008,23.5,23.5,3801600,1.46875
1993-11-12,23.5,24.75008,23.5,24.75008,2022400,1.54688
1993-11-15,24.75008,24.75008,23.75008,23.75008,1624000,1.48438
1993-11-16,24.24992,24.24992,23.0,23.24992,1230400,1.45312
1993-11-17,23.75008,24.0,23.0,23.5,1921600,1.46875
1993-11-18,23.5,24.0,23.5,24.0,516800,1.5
1993-11-19,23.5,24.24992,23.5,23.75008,1836800,1.48438
1993-11-22,23.5,24.0,23.5,23.87504,1158400,1.49219
1993-11-23,24.0,24.24992,23.5,24.24992,1180800,1.51562
1993-11-24,24.24992,26.5,23.75008,26.5,1592000,1.65625
1993-11-26,27.0,29.75008,26.24992,29.375040000000002,1614400,1.8359400000000001
1993-11-29,30.0,30.5,29.24992,30.24992,1024000,1.89062
1993-11-30,29.75008,30.5,29.75008,29.75008,744000,1.85938
1993-12-01,30.5,31.75008,29.75008,31.0,1331200,1.9375
1993-12-02,31.0,31.75008,30.5,31.0,1246400,1.9375
1993-12-03,30.24992,30.875040000000002,28.75008,29.5,1988800,1.84375
1993-12-06,28.5,29.0,28.0,28.0,366400,1.75
1993-12-07,28.0,28.75008,27.24992,27.5,371200,1.71875
1993-12-08,27.5,28.24992,27.5,27.5,337600,1.71875
1993-12-09,27.5,28.24992,26.0,26.0,1227200,1.625
1993-12-10,26.0,26.75008,25.24992,25.75008,456000,1.60938
1993-12-13,26.24992,26.24992,25.0,25.75008,688000,1.60938
1993-12-14,25.75008,25.75008,24.5,24.5,811200,1.53125
1993-12-15,24.24992,25.75008,24.24992,25.75008,478400,1.60938
1993-12-16,25.5,26.0,24.0,24.12496,1118400,1.50781
1993-12-17,24.0,24.5,23.5,24.24992,464000,1.51562
1993-12-20,24.24992,24.5,24.0,24.0,630400,1.5
1993-12-21,24.5,24.5,23.5,23.75008,1171200,1.48438
1993-12-22,23.5,24.0,22.24992,22.37504,676800,1.39844
1993-12-23,22.24992,23.0,21.0,21.37504,1494400,1.33594
1993-12-27,21.75008,24.24992,21.24992,24.0,2668800,1.5
1993-12-28,24.24992,24.75008,24.0,24.0,824000,1.5
1993-12-29,24.75008,24.75008,23.5,24.5,1563200,1.53125
1993-12-30,24.5,26.24992,23.75008,25.75008,1225600,1.60938
1993-12-31,25.5,27.24992,25.5,26.75008,1006400,1.67188
1994-01-03,26.24992,27.0,25.24992,25.24992,731200,1.57812
1994-01-04,25.24992,26.0,25.24992,26.0,363200,1.625
1994-01-05,25.24992,25.24992,25.24992,25.24992,30400,1.57812
1994-01-06,25.5,26.75008,25.5,26.24992,491200,1.64062
1994-01-07,26.75008,26.75008,25.24992,25.24992,587200,1.57812
1994-01-10,25.24992,26.0,25.24992,25.24992,275200,1.57812
1994-01-11,25.24992,25.37504,24.0,24.5,755200,1.53125
1994-01-12,24.75008,25.24992,24.0,25.24992,372800,1.57812
1994-01-13,25.24992,25.24992,24.75008,24.75008,142400,1.54688
1994-01-14,25.24992,25.24992,24.75008,25.24992,176000,1.57812
1994-01-17,24.75008,25.0,24.5,24.5,771200,1.53125
1994-01-18,25.0,25.0,24.5,24.87504,233600,1.55469
1994-01-19,25.0,25.0,24.0,24.0,616000,1.5
1994-01-20,24.5,24.5,23.24992,24.0,494400,1.5
1994-01-21,23.75008,24.0,23.5,23.5,240000,1.46875
1994-01-24,24.0,24.0,22.75008,23.0,520000,1.4375
1994-01-25,22.75008,23.24992,22.5,22.75008,188800,1.42188
1994-01-26,23.24992,23.24992,22.5,22.5,110400,1.40625
1994-01-27,23.24992,24.24992,22.75008,24.24992,3190400,1.51562
1994-01-28,24.75008,25.75008,24.5,25.75008,1284800,1.60938
1994-01-31,26.0,26.0,25.5,26.0,363200,1.625
1994-02-01,26.24992,26.24992,25.24992,25.24992,284800,1.57812
1994-02-02,26.0,26.0,25.24992,25.24992,97600,1.57812
1994-02-03,25.24992,25.5,24.5,24.75008,449600,1.54688
1994-02-04,25.24992,25.24992,23.0,23.0,3416000,1.4375
1994-02-07,22.75008,23.5,22.24992,22.75008,1028800,1.42188
1994-02-08,23.0,23.5,22.5,23.0,768000,1.4375
1994-02-09,23.5,24.24992,23.5,24.24992,203200,1.51562
1994-02-10,24.24992,24.75008,24.0,24.75008,193600,1.54688
1994-02-11,25.0,25.0,25.0,25.0,3200,1.5625
1994-02-14,24.0,25.24992,24.0,25.24992,131200,1.57812
1994-02-15,25.12496,25.75008,25.0,25.62496,412800,1.60156
1994-02-16,26.0,27.75008,25.24992,27.24992,1059200,1.70312
1994-02-17,27.24992,28.0,26.5,27.124959999999998,651200,1.6953099999999999
1994-02-18,26.24992,27.24992,25.75008,26.0,358400,1.625
1994-02-22,26.75008,26.75008,26.0,26.0,425600,1.625
1994-02-23,26.0,26.75008,25.87504,25.87504,132800,1.61719
1994-02-24,26.5,26.75008,25.5,25.5,681600,1.59375
