Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,21.87504,21.87504,21.62496,21.87504,332800,1.271357
1990-01-03,21.87504,22.5,21.87504,22.12496,259200,1.285882
1990-01-04,22.12496,22.24992,22.0,22.12496,1128000,1.285882
1990-01-05,22.0,22.0,21.37504,21.5,454400,1.24956
1990-01-08,22.5,22.5,21.87504,22.0,1948800,1.27862
1990-01-09,22.0,22.12496,21.75008,22.0,747200,1.27862
1990-01-10,21.75008,21.75008,21.37504,21.62496,462400,1.256823
1990-01-11,21.75008,22.0,21.75008,22.0,217600,1.27862
1990-01-12,22.0,22.0,20.87504,21.0,2032000,1.220501
1990-01-15,20.87504,21.12496,20.75008,20.75008,862400,1.205976
1990-01-16,20.75008,20.87504,20.75008,20.87504,174400,1.217048
1990-01-17,20.87504,21.12496,20.75008,20.75008,416000,1.209763
1990-01-18,20.5,20.87504,20.37504,20.5,772800,1.1951829999999999
1990-01-19,20.5,20.62496,20.5,20.62496,288000,1.202468
1990-01-22,20.75008,20.75008,20.37504,20.62496,760000,1.202468
1990-01-23,20.62496,20.75008,20.5,20.75008,1020800,1.209763
1990-01-24,20.37504,20.62496,20.12496,20.62496,1756800,1.202468
1990-01-25,20.62496,20.62496,20.5,20.62496,982400,1.202468
1990-01-26,20.5,20.5,20.0,20.24992,2081600,1.180603
1990-01-29,20.5,20.75008,20.37504,20.5,492800,1.1951829999999999
1990-01-30,20.62496,20.75008,20.37504,20.37504,1318400,1.187897
1990-01-31,20.5,20.75008,20.5,20.75008,771200,1.209763
1990-02-01,20.62496,20.62496,20.5,20.5,478400,1.1951829999999999
1990-02-02,20.5,20.75008,20.5,20.62496,656000,1.202468
1990-02-05,20.87504,21.0,20.75008,20.87504,377600,1.217048
1990-02-06,21.0,21.5,21.0,21.5,400000,1.253484
1990-02-07,21.24992,22.12496,21.12496,22.0,1521600,1.282635
1990-02-08,22.12496,22.24992,22.0,22.12496,915200,1.2899209999999999
1990-02-09,22.12496,22.12496,22.0,22.0,267200,1.282635
1990-02-12,21.87504,22.0,21.87504,21.87504,120000,1.27535
1990-02-13,21.87504,22.0,21.75008,21.87504,83200,1.27535
1990-02-14,21.87504,21.87504,21.5,21.5,174400,1.253484
1990-02-15,21.37504,21.62496,21.37504,21.5,161600,1.253484
1990-02-16,21.24992,21.5,21.24992,21.5,270400,1.253484
1990-02-20,21.5,21.5,21.24992,21.37504,81600,1.246199
1990-02-21,21.24992,21.24992,21.0,21.24992,1011200,1.238904
1990-02-22,21.24992,21.37504,21.24992,21.37504,230400,1.246199
1990-02-23,21.24992,21.24992,21.12496,21.24992,526400,1.238904
1990-02-26,21.5,21.62496,21.37504,21.62496,366400,1.2607700000000002
1990-02-27,21.62496,22.0,21.62496,21.75008,265600,1.268065
1990-02-28,22.0,23.5,22.0,23.24992,1179200,1.355508
1990-03-01,23.0,24.24992,23.0,23.87504,2345600,1.391953
1990-03-02,24.0,24.75008,23.62496,23.62496,963200,1.377373
1990-03-05,23.87504,24.12496,23.12496,23.37504,2070400,1.362802
1990-03-06,23.12496,23.37504,23.12496,23.37504,392000,1.362802
1990-03-07,23.24992,23.5,23.24992,23.5,1214400,1.370088
1990-03-08,23.5,24.5,23.5,24.24992,595200,1.413809
1990-03-09,24.24992,24.24992,23.62496,23.87504,1590400,1.391953
1990-03-12,23.62496,24.24992,23.62496,24.24992,880000,1.413809
