Date,Open,High,Low,Close,Volume,Adj Close
1997-05-05,21.1875,21.5625,21.125,21.4375,1035800,7.903513
1997-05-06,21.5,21.625,21.375,21.5,612800,7.9265550000000005
1997-05-07,20.0,20.375,19.6875,19.9375,853400,7.350497
1997-05-08,19.75,20.125,18.5,18.875,3153400,6.958778
1997-05-09,18.75,19.25,18.75,18.875,1006000,6.958778
1997-05-12,18.875,19.25,18.75,18.875,572800,6.958778
1997-05-13,18.75,19.0,18.75,18.75,480400,6.912694
1997-05-14,19.0,19.25,19.0,19.125,447600,7.050947
1997-05-15,19.125,19.625,19.125,19.625,662400,7.235286
1997-05-16,19.5,19.75,19.375,19.375,216800,7.143117
1997-05-19,19.375,19.625,19.375,19.625,831800,7.235286
1997-05-20,19.5,19.875,19.5,19.875,229600,7.3274550000000005
1997-05-21,19.875,20.0,19.75,20.0,367800,7.373539999999999
1997-05-22,20.125,20.125,19.8125,20.0,714200,7.373539999999999
1997-05-23,20.0625,20.375,20.0,20.125,247200,7.419624000000001
1997-05-27,20.25,20.375,20.125,20.25,242200,7.4657089999999995
1997-05-28,20.25,20.375,20.25,20.3125,209600,7.488751
1997-05-29,20.25,20.375,20.125,20.25,219400,7.4657089999999995
1997-05-30,19.875,20.375,19.75,20.375,215800,7.511794
1997-06-02,20.5,21.0,20.375,21.0,297800,7.742217
1997-06-03,21.0,21.375,20.875,21.25,673800,7.834386
1997-06-04,21.25,21.25,21.0,21.0,400800,7.742217
1997-06-05,21.0,21.375,21.0,21.375,386400,7.880471000000001
1997-06-06,21.3125,21.6875,21.3125,21.5625,551200,7.949598
1997-06-09,21.5,21.875,21.5,21.875,170600,8.064809
1997-06-10,21.875,22.125,21.75,21.875,542800,8.064809
1997-06-11,21.875,21.875,21.25,21.25,328800,7.834386
1997-06-12,21.125,21.25,20.875,21.0,434600,7.742217
1997-06-13,21.25,21.375,21.0,21.125,581000,7.788301
1997-06-16,21.25,21.25,20.875,20.875,325600,7.696132
1997-06-17,20.6875,20.875,20.625,20.875,808600,7.696132
1997-06-18,20.9375,21.1875,20.8125,20.9375,478200,7.719174000000001
1997-06-19,21.0,22.0,21.0,21.875,254800,8.064809
1997-06-20,22.25,22.25,21.75,21.875,722200,8.064809
1997-06-23,22.0,22.5,21.875,22.125,360200,8.156978
1997-06-24,22.125,22.375,21.6875,21.6875,556600,7.995682
1997-06-25,21.6875,21.75,21.21875,21.5,266000,7.9265550000000005
1997-06-26,21.625,21.6875,21.25,21.4375,161600,7.903513
1997-06-27,21.375,21.4375,21.125,21.125,111600,7.788301
1997-06-30,21.0625,21.75,21.0625,21.125,314800,7.788301
1997-07-01,21.25,22.0625,21.25,21.875,199800,8.064809
1997-07-02,21.125,21.5,21.125,21.5,314400,7.9265550000000005
1997-07-03,21.5,21.5,21.25,21.3125,243200,7.857428
1997-07-07,21.375,21.5,21.25,21.375,478600,7.880471000000001
1997-07-08,21.375,21.375,21.0,21.0,253600,7.742217
1997-07-09,21.5,21.5,20.75,20.75,389000,7.650048
1997-07-10,20.9375,21.3125,20.6875,21.3125,586200,7.857428
1997-07-11,21.3125,21.375,21.125,21.25,349800,7.834386
1997-07-14,21.25,21.3125,21.09375,21.15625,235600,7.799823
1997-07-15,21.09375,21.375,21.09375,21.25,215200,7.834386
1997-07-16,21.0,21.5,21.0,21.09375,216800,7.7767800000000005
1997-07-17,21.09375,21.125,20.5625,20.90625,368600,7.707653
1997-07-18,21.0,21.0625,20.125,20.53125,260600,7.569399000000001
1997-07-21,20.5,20.5,19.75,19.875,712000,7.3274550000000005
1997-07-22,19.875,20.125,19.8125,20.125,888400,7.419624000000001
1997-07-23,20.25,21.625,20.25,21.5,1094600,7.9265550000000005
1997-07-24,21.5,21.5,20.5625,21.0625,426600,7.7652589999999995
1997-07-25,21.0,21.1875,20.8125,21.0625,204200,7.7652589999999995
1997-07-28,20.9375,21.0,20.6875,20.6875,118400,7.6270050000000005
1997-07-29,20.6875,20.6875,20.0625,20.125,281400,7.419624000000001
1997-07-30,20.125,20.625,20.125,20.625,751600,7.603963
1997-07-31,20.625,20.6875,20.0,20.125,221600,7.419624000000001
1997-08-01,20.1875,20.1875,19.625,19.75,239200,7.281371000000001
1997-08-04,19.75,19.8125,19.25,19.5625,485000,7.212244
1997-08-05,19.5625,19.6875,19.0,19.5625,842400,7.212244
1997-08-06,19.5625,20.0,19.5625,19.8125,464000,7.304413
1997-08-07,19.875,19.875,19.1875,19.375,804200,7.143117
1997-08-08,19.375,19.8125,19.3125,19.6875,365400,7.258328
1997-08-11,19.625,19.8125,19.5625,19.75,973800,7.281371000000001
1997-08-12,19.75,19.8125,19.4375,19.4375,914800,7.1661589999999995
1997-08-13,19.5,19.5625,19.25,19.3125,433000,7.120074000000001
1997-08-14,19.25,19.375,19.25,19.375,217600,7.143117
1997-08-15,19.375,19.5625,19.25,19.25,140800,7.0970320000000005
1997-08-18,19.3125,19.3125,18.6875,19.0625,442400,7.0279050000000005
1997-08-19,19.1875,19.75,19.0625,19.25,719200,7.0970320000000005
1997-08-20,19.625,20.0,19.4375,20.0,264400,7.373539999999999
1997-08-21,20.0,20.0625,19.625,19.75,242200,7.281371000000001
1997-08-22,19.8125,19.8125,19.6875,19.8125,199400,7.304413
1997-08-25,19.9375,20.125,19.875,20.0625,415200,7.396582
1997-08-26,20.0,20.125,19.9375,20.0,137200,7.373539999999999
1997-08-27,20.0,20.09375,19.96875,20.0625,281200,7.396582
1997-08-28,20.0,20.125,19.9375,20.0625,307600,7.396582
1997-08-29,20.0625,20.125,20.0625,20.0625,356200,7.396582
1997-09-02,20.1875,20.6875,20.1875,20.6875,477600,7.6270050000000005
1997-09-03,20.75,21.0625,20.75,20.875,581200,7.696132
1997-09-04,20.8125,20.9375,20.625,20.6875,203000,7.6270050000000005
1997-09-05,20.8125,21.0625,20.8125,21.0,249200,7.742217
1997-09-08,20.9375,21.0,20.875,21.0,202800,7.742217
1997-09-09,21.0,21.25,21.0,21.125,135600,7.788301
1997-09-10,20.9375,21.46875,20.9375,21.21875,501600,7.822864999999999
1997-09-11,21.1875,21.25,20.96875,21.0625,233600,7.7652589999999995
1997-09-12,21.125,21.5,21.0625,21.5,331000,7.9265550000000005
1997-09-15,21.4375,21.75,21.40625,21.5625,315800,7.949598
1997-09-16,21.625,21.6875,21.5625,21.65625,337400,7.984161
1997-09-17,21.65625,22.1875,21.65625,22.15625,531200,8.1685
1997-09-18,22.15625,22.1875,21.25,21.40625,488000,7.891992
1997-09-19,21.46875,22.0,21.40625,21.96875,301800,8.099373
1997-09-22,21.96875,22.125,21.75,22.0625,342800,8.133936
1997-09-23,22.0625,22.0625,21.25,21.3125,203400,7.857428
1997-09-24,20.875,20.9375,20.0625,20.34375,1069800,7.500273
1997-09-25,20.375,20.375,19.46875,19.5,2284400,7.189201
1997-09-26,19.625,19.8125,19.625,19.625,746200,7.235286
1997-09-29,19.6875,20.3125,19.4375,20.3125,811200,7.488751
1997-09-30,20.1875,20.625,20.0,20.625,318200,7.603963
1997-10-01,20.875,20.875,20.5625,20.65625,177400,7.6154839999999995
1997-10-02,20.6875,20.71875,20.375,20.59375,323000,7.592442
1997-10-03,20.65625,21.125,20.59375,20.65625,480200,7.6154839999999995
1997-10-06,20.71875,20.9375,20.5625,20.6875,131600,7.6270050000000005
1997-10-07,20.625,21.125,20.53125,21.0625,580200,7.7652589999999995
1997-10-08,21.125,21.25,20.6875,20.78125,298600,7.661569
1997-10-09,20.78125,21.0,20.59375,20.6875,889800,7.6270050000000005
1997-10-10,20.9375,21.1875,20.8125,21.125,881600,7.788301
1997-10-13,21.0625,21.40625,21.0625,21.40625,384000,7.891992
1997-10-14,21.5625,21.65625,21.5,21.53125,386200,7.938076
1997-10-15,21.4375,21.5,21.28125,21.5,104800,7.9265550000000005
1997-10-16,21.5,21.5,21.0625,21.15625,153800,7.799823
1997-10-17,21.15625,21.15625,20.625,20.875,387200,7.696132
1997-10-20,21.0,21.21875,20.9375,21.0625,198800,7.7652589999999995
1997-10-21,21.0625,21.34375,21.0625,21.3125,189400,7.857428
1997-10-22,16.25,16.34375,15.0,15.25,13998400,5.622324
1997-10-23,14.96875,15.4375,14.5,14.5,5101200,5.345816
1997-10-24,14.75,15.1875,14.625,15.0625,3765800,5.553197
1997-10-27,15.0,15.4375,14.0,14.0,2912200,5.161478
1997-10-28,13.5,14.75,13.3125,14.75,2716800,5.437986
1997-10-29,14.8125,14.9375,14.0625,14.125,5089800,5.207562
1997-10-30,13.75,14.0,13.5,13.5,2153400,4.977139
