Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,8.375,8.875,8.375,8.625,523200,4.045195
1990-01-03,8.625,9.25,8.625,9.125,506600,4.279699
1990-01-04,9.25,9.5,9.0,9.25,618400,4.338325
1990-01-05,9.25,9.5,9.25,9.5,345200,4.455577
1990-01-08,9.25,9.625,9.25,9.5,178800,4.455577
1990-01-09,9.5,9.625,9.125,9.25,161000,4.338325
1990-01-10,9.125,9.125,8.75,9.0,209800,4.2210730000000005
1990-01-11,9.0,9.5,9.0,9.375,245800,4.3969510000000005
1990-01-12,9.0,9.25,8.875,9.125,261600,4.279699
1990-01-15,8.875,9.125,8.75,8.875,126600,4.162447
1990-01-16,8.625,9.875,8.5,9.875,399400,4.631455
1990-01-17,10.0,10.125,9.875,9.875,968400,4.631455
1990-01-18,9.625,10.0,9.625,10.0,299200,4.690081
1990-01-19,10.0,10.0,9.75,10.0,275400,4.690081
1990-01-22,10.0,10.5,9.375,9.75,558800,4.5728290000000005
1990-01-23,9.875,10.125,9.375,9.75,399200,4.5728290000000005
1990-01-24,9.25,9.5,9.125,9.375,412800,4.3969510000000005
1990-01-25,9.375,9.625,9.125,9.25,486600,4.338325
1990-01-26,9.25,9.25,9.0,9.125,331200,4.279699
1990-01-29,9.375,9.375,8.875,9.0,584200,4.2210730000000005
1990-01-30,9.0,9.0,8.5,8.5,239000,3.986568
1990-01-31,8.5,8.875,8.5,8.75,154400,4.103821
1990-02-01,8.75,9.25,8.75,9.25,308200,4.338325
1990-02-02,9.125,9.375,9.0,9.25,261200,4.338325
1990-02-05,9.125,9.25,9.0,9.25,115600,4.338325
1990-02-06,9.125,9.25,9.0,9.25,128000,4.338325
1990-02-07,9.0,9.625,9.0,9.625,384800,4.514203
1990-02-08,9.75,9.875,9.375,9.5,456200,4.455577
1990-02-09,9.5,9.5,9.0,9.125,90000,4.279699
1990-02-12,9.125,9.125,8.875,9.0,155400,4.2210730000000005
1990-02-13,9.0,9.25,8.875,9.25,106000,4.338325
1990-02-14,9.25,9.625,9.25,9.375,166800,4.3969510000000005
1990-02-15,9.375,9.625,9.375,9.5,141400,4.455577
1990-02-16,9.5,9.5,9.0,9.25,235200,4.338325
1990-02-20,9.0,9.0,8.75,9.0,61000,4.2210730000000005
1990-02-21,8.75,9.0,8.75,9.0,145400,4.2210730000000005
1990-02-22,9.0,9.0,8.875,9.0,91200,4.2210730000000005
1990-02-23,8.75,9.0,8.75,9.0,148800,4.2210730000000005
1990-02-26,8.875,8.875,8.75,8.75,135800,4.103821
1990-02-27,9.0,9.25,9.0,9.125,390600,4.279699
1990-02-28,9.25,9.5,9.25,9.5,414000,4.455577
1990-03-01,9.375,10.25,9.375,10.25,1135600,4.807333
1990-03-02,10.125,10.75,10.125,10.5,1055400,4.9245849999999995
1990-03-05,10.375,10.625,10.25,10.5,568400,4.9245849999999995
1990-03-06,10.375,10.875,10.375,10.875,427200,5.1004629999999995
1990-03-07,10.875,11.0,10.5,10.75,231600,5.041837
1990-03-08,10.625,10.75,10.375,10.75,222400,5.041837
1990-03-09,10.75,11.0,10.5,11.0,351400,5.159089
