Date,Open,High,Low,Close,Volume,Adj Close
1991-09-30,17.5,17.5,17.0,17.0,5200,11.482116
1991-10-01,17.5,17.5,17.0,17.5,3000,11.819825999999999
1991-10-02,17.0,17.75,17.0,17.0,15800,11.482116
1991-10-03,17.0,17.75,17.0,17.75,1000,11.98868
1991-10-04,17.0,17.75,17.0,17.0,3700,11.482116
1991-10-07,17.0,17.75,17.0,17.0,3000,11.482116
1991-10-08,17.0,18.0,17.0,18.0,32900,12.157535000000001
1991-10-09,17.0,18.0,17.0,17.25,6200,11.650971
1991-10-10,18.0,18.0,17.0,17.125,4400,11.566544
1991-10-11,17.0,18.0,17.0,17.0,28400,11.482116
1991-10-14,17.0,18.0,17.0,17.0,6500,11.482116
1991-10-15,17.0,17.25,16.25,16.25,77500,10.975552
1991-10-16,16.25,17.0,16.25,16.25,7000,10.975552
1991-10-17,16.5,17.25,16.5,17.0,6400,11.482116
1991-10-18,17.25,17.25,16.5,17.25,5400,11.650971
1991-10-21,16.5,17.0,16.5,17.0,5000,11.482116
1991-10-22,16.5,16.5,16.5,16.5,800,11.144407000000001
1991-10-23,16.5,17.25,16.5,17.25,500,11.650971
1991-10-24,16.5,17.0,16.25,16.25,8700,10.975552
1991-10-25,16.5,16.5,16.25,16.25,1500,10.975552
1991-10-28,16.25,17.0,16.25,17.0,6500,11.482116
1991-10-29,16.25,16.25,16.25,16.25,3000,10.975552
1991-10-30,17.0,17.0,16.0,16.125,5700,10.891125
1991-10-31,16.0,16.75,16.0,16.75,1200,11.313262
1991-11-01,16.75,16.75,16.0,16.0,2600,10.806697999999999
1991-11-04,16.0,16.75,16.0,16.75,20500,11.313262
1991-11-05,16.0,16.5,15.75,15.75,6500,10.637843
1991-11-06,15.75,16.25,15.5,15.5,10600,10.468989
1991-11-07,15.5,16.0,15.5,15.5,700,10.468989
1991-11-08,15.5,16.25,15.5,15.5,3100,10.468989
1991-11-11,15.5,16.25,15.5,16.25,35700,10.975552
1991-11-12,15.75,15.75,15.75,15.75,200,10.637843
1991-11-13,15.75,15.75,15.75,15.75,0,10.637843
1991-11-14,15.75,16.25,15.75,15.75,400,10.637843
1991-11-15,16.25,16.5,15.75,15.75,13600,10.637843
1991-11-18,15.75,15.75,15.75,15.75,600,10.637843
1991-11-19,16.5,16.5,15.5,15.5,18200,10.468989
1991-11-20,16.25,16.75,15.5,16.75,36100,11.313262
1991-11-21,16.75,16.75,16.0,16.625,14100,11.228833999999999
1991-11-22,16.75,16.75,16.0,16.0,4300,10.806697999999999
1991-11-25,16.375,16.5,15.5,15.5,41000,10.468989
1991-11-26,16.0,16.25,15.75,16.25,4200,10.975552
1991-11-27,16.25,16.25,15.75,16.25,7900,10.975552
1991-11-29,16.25,16.25,15.75,16.0,2700,10.806697999999999
1991-12-02,15.75,16.25,15.5,15.75,17300,10.637843
1991-12-03,15.5,16.25,15.5,16.125,7000,10.891125
1991-12-04,15.75,17.0,15.75,16.5,20300,11.144407000000001
1991-12-05,16.5,17.75,16.5,17.0,28500,11.482116
1991-12-06,17.0,18.0,17.0,17.0,10200,11.482116
1991-12-09,17.0,18.0,17.0,17.5,41800,11.819825999999999
1991-12-10,17.0,18.0,17.0,17.625,5600,11.904253
1991-12-11,17.25,18.0,17.25,18.0,1500,12.157535000000001
1991-12-12,17.25,18.0,17.25,17.25,2300,11.650971
1991-12-13,17.25,17.875,17.25,17.875,8600,12.073108
1991-12-16,17.25,18.0,17.25,17.5,11000,11.819825999999999
1991-12-17,17.25,18.0,17.25,17.5,22700,11.819825999999999
1991-12-18,17.25,18.0,17.25,17.75,7100,11.98868
1991-12-19,17.25,18.0,17.0,18.0,14200,12.157535000000001
1991-12-20,17.0,18.0,17.0,17.0,49700,11.482116
1991-12-23,17.0,18.0,16.75,17.25,11000,11.650971
1991-12-24,16.75,17.75,16.75,16.75,3800,11.313262
1991-12-26,16.75,17.75,16.75,17.75,3800,11.98868
1991-12-27,16.75,17.75,16.75,17.75,2500,11.98868
1991-12-30,16.75,17.75,16.75,17.75,9000,11.98868
1991-12-31,17.75,17.75,16.75,17.5,27400,11.819825999999999
1992-01-02,16.75,18.0,16.75,18.0,28400,12.157535000000001
1992-01-03,17.0,18.5,17.0,18.0,7300,12.157535000000001
1992-01-06,18.5,18.5,17.625,17.625,16500,11.904253
1992-01-07,18.25,18.25,17.125,17.25,18400,11.650971
1992-01-08,17.0,18.0,17.0,17.75,9300,11.98868
1992-01-09,17.0,17.75,17.0,17.0,19700,11.482116
1992-01-10,17.0,17.75,16.25,17.0,17200,11.482116
1992-01-13,17.25,17.25,16.25,17.25,62900,11.650971
1992-01-14,16.75,17.25,16.75,17.25,10600,11.650971
1992-01-15,16.75,17.25,16.75,17.0,11800,11.482116
