Date,Open,High,Low,Close,Volume,Adj Close
1990-01-02,27.375,28.375,27.125,28.375,442400,4.591563
1990-01-03,28.375,28.375,27.5,27.75,289700,4.4904269999999995
1990-01-04,27.5,27.75,26.75,27.5,324200,4.449973
1990-01-05,27.125,27.5,27.125,27.375,214000,4.429746
1990-01-08,27.125,27.5,26.75,27.375,275400,4.429746
1990-01-09,27.5,27.625,26.875,26.875,620000,4.3488370000000005
1990-01-10,27.0,27.125,26.625,27.125,370100,4.389291
1990-01-11,27.125,27.125,26.75,27.0,340100,4.369064
1990-01-12,26.5,26.875,26.0,26.25,267900,4.247701
1990-01-15,26.125,26.375,25.625,25.75,317700,4.166793
1990-01-16,25.375,25.875,25.375,25.875,410900,4.1870199999999995
1990-01-17,25.875,25.875,25.0,25.25,506500,4.085884
1990-01-18,25.25,25.75,25.125,25.625,384700,4.146566
1990-01-19,26.0,26.0,25.375,25.625,572800,4.146566
1990-01-22,25.625,25.75,24.5,24.75,574300,4.004976
1990-01-23,24.875,25.0,24.0,24.125,788600,3.90384
1990-01-24,23.875,24.5,23.125,24.25,499600,3.924067
1990-01-25,24.625,24.75,24.125,24.75,516200,4.004976
1990-01-26,24.75,24.875,24.0,24.5,471400,3.964521
1990-01-29,24.25,24.25,23.5,24.0,318500,3.9317559999999996
1990-01-30,24.125,24.25,23.625,23.875,299900,3.911279
1990-01-31,24.125,24.625,24.125,24.375,568400,3.9931900000000002
1990-02-01,24.5,24.5,24.125,24.5,272400,4.013668
1990-02-02,24.5,25.125,24.5,25.0,556300,4.09558
1990-02-05,25.0,25.25,24.625,24.875,575100,4.075101999999999
1990-02-06,24.75,24.75,24.0,24.5,537600,4.013668
1990-02-07,24.25,24.625,24.0,24.625,690500,4.034146
1990-02-08,24.5,24.625,24.0,24.125,656700,3.952234
1990-02-09,24.25,24.375,24.0,24.0,246100,3.9317559999999996
1990-02-12,24.0,24.0,23.625,23.625,178800,3.8703230000000004
1990-02-13,23.875,23.875,23.5,23.75,318600,3.890801
1990-02-14,23.75,24.0,23.5,24.0,302400,3.9317559999999996
1990-02-15,23.875,24.75,23.875,24.375,307600,3.9931900000000002
1990-02-16,24.5,24.625,24.125,24.25,418600,3.9727120000000005
1990-02-20,24.25,24.25,23.75,24.0,126000,3.9317559999999996
1990-02-21,23.875,24.5,23.625,23.625,298600,3.8703230000000004
1990-02-22,23.5,24.0,23.0,23.75,348600,3.890801
1990-02-23,23.375,23.875,23.25,23.75,297500,3.890801
1990-02-26,23.5,24.0,23.5,23.875,222600,3.911279
1990-02-27,23.875,24.625,23.875,24.25,237700,3.9727120000000005
1990-02-28,24.125,24.5,24.0,24.375,535400,3.9931900000000002
1990-03-01,24.625,24.875,24.5,24.75,221400,4.054624
1990-03-02,25.0,25.625,24.75,25.625,524600,4.1979690000000005
1990-03-05,25.75,25.75,25.125,25.375,430000,4.157013
1990-03-06,25.25,26.0,25.125,25.875,192500,4.238925
1990-03-07,25.75,25.875,25.5,25.875,284400,4.238925
1990-03-08,25.75,26.25,25.75,26.25,568500,4.300358999999999
1990-03-09,26.25,26.5,25.75,26.0,621000,4.259403
1990-03-12,25.875,26.0,25.75,26.0,197400,4.259403
1990-03-13,25.875,25.875,25.5,25.75,235700,4.218447
1990-03-14,25.875,25.875,25.5,25.875,314300,4.238925
1990-03-15,25.75,26.375,25.75,26.25,468800,4.300358999999999
1990-03-16,26.625,27.125,26.375,26.75,502700,4.38227
1990-03-19,26.375,26.625,26.125,26.625,331000,4.3617919999999994
1990-03-20,26.375,26.625,25.875,26.0,262500,4.259403
1990-03-21,25.75,25.875,25.625,25.75,282300,4.218447
1990-03-22,25.5,25.75,25.125,25.5,531200,4.177491000000001
1990-03-23,25.625,25.75,24.875,25.125,293700,4.116058
1990-03-26,25.125,25.5,25.125,25.25,181200,4.136535
1990-03-27,25.375,25.5,25.125,25.5,219700,4.177491000000001
1990-03-28,25.5,26.125,25.25,26.0,306800,4.259403
1990-03-29,26.0,26.125,25.75,25.875,417000,4.238925
1990-03-30,25.875,26.0,25.625,25.875,366100,4.238925
1990-04-02,25.375,26.125,25.0,26.0,426200,4.259403
1990-04-03,26.0,26.625,26.0,26.375,314700,4.320837
1990-04-04,26.125,26.5,26.0,26.0,284100,4.259403
1990-04-05,26.125,26.25,26.0,26.125,262200,4.279881
1990-04-06,26.625,26.625,26.0,26.0,300600,4.259403
1990-04-09,25.875,26.25,25.625,25.75,332600,4.218447
1990-04-10,25.75,25.875,25.375,25.75,180900,4.218447
1990-04-11,25.875,26.0,25.75,26.0,100400,4.259403
1990-04-12,25.875,26.125,25.75,25.875,191500,4.238925
1990-04-16,25.75,26.125,25.625,25.875,220600,4.238925
1990-04-17,25.5,25.5,25.125,25.125,272600,4.116058
1990-04-18,25.0,25.125,24.625,24.75,357200,4.054624
1990-04-19,24.625,25.0,24.5,25.0,329100,4.09558
1990-04-20,24.875,25.0,24.625,25.0,474700,4.09558
1990-04-23,24.75,24.875,24.625,24.75,205300,4.054624
1990-04-24,24.75,25.0,24.625,24.625,238900,4.034146
1990-04-25,24.625,25.125,24.625,25.0,150700,4.09558
1990-04-26,25.0,25.375,25.0,25.125,237300,4.116058
1990-04-27,25.125,25.375,24.5,24.625,296900,4.034146
1990-04-30,24.25,24.5,24.0,24.5,305300,4.063169
1990-05-01,24.375,24.625,24.125,24.25,369500,4.021708
1990-05-02,24.25,24.5,24.25,24.5,154000,4.063169
1990-05-03,24.375,25.0,24.375,24.625,264900,4.083899
1990-05-04,24.875,25.25,24.75,25.25,251700,4.187551
1990-05-07,25.125,25.625,24.875,25.5,527900,4.229012
1990-05-08,25.25,25.5,25.25,25.375,316400,4.208282
1990-05-09,25.375,26.125,25.375,26.0,460600,4.311934
1990-05-10,25.875,26.375,25.875,26.25,496700,4.353395
1990-05-11,26.25,27.25,26.25,27.125,704000,4.498508
1990-05-14,27.375,28.25,26.75,26.75,487800,4.436317
1990-05-15,26.625,27.125,26.5,26.875,356400,4.457047
1990-05-16,26.75,26.875,26.25,26.625,425200,4.415586
1990-05-17,26.5,27.0,26.5,26.75,326700,4.436317
1990-05-18,26.75,27.5,26.5,27.25,423900,4.519239
1990-05-21,27.25,27.75,27.0,27.0,203800,4.477778
1990-05-22,27.125,27.625,26.625,26.75,319700,4.436317
1990-05-23,26.75,26.875,26.5,26.625,226300,4.415586
1990-05-24,26.5,27.0,26.25,26.625,219900,4.415586
1990-05-25,26.375,26.625,26.25,26.375,123300,4.374126
1990-05-29,26.375,27.125,26.375,27.0,175300,4.477778
1990-05-30,27.0,27.75,27.0,27.5,274100,4.5607
1990-05-31,27.625,27.625,27.125,27.375,155700,4.539969
1990-06-01,27.625,27.875,27.375,27.625,267400,4.58143
1990-06-04,27.625,28.0,27.375,27.75,290100,4.60216
1990-06-05,27.5,27.875,26.875,27.125,311100,4.498508
1990-06-06,27.0,27.0,26.625,26.75,727200,4.436317
1990-06-07,26.75,26.75,26.25,26.25,289500,4.353395
1990-06-08,26.125,26.375,25.875,26.125,404700,4.332665
1990-06-11,26.125,26.875,26.125,26.875,281700,4.457047
1990-06-12,27.125,27.25,26.375,26.5,377600,4.394856
1990-06-13,26.375,26.5,26.0,26.125,325200,4.332665
1990-06-14,26.125,26.625,26.125,26.375,192400,4.374126
1990-06-15,26.25,26.625,26.25,26.5,388700,4.394856
1990-06-18,26.125,26.375,26.0,26.125,219300,4.332665
1990-06-19,26.25,26.375,25.75,26.0,193500,4.311934
1990-06-20,26.0,26.375,26.0,26.25,197200,4.353395
1990-06-21,26.25,26.375,26.125,26.25,125600,4.353395
1990-06-22,26.125,26.25,25.375,25.375,397800,4.208282
1990-06-25,25.625,25.875,25.25,25.25,260100,4.187551
1990-06-26,25.5,25.75,25.25,25.375,180800,4.208282
1990-06-27,25.125,26.0,25.125,25.875,287000,4.2912040000000005
1990-06-28,26.0,26.0,25.5,25.5,119200,4.229012
1990-06-29,25.5,25.625,25.25,25.5,196400,4.229012
1990-07-02,25.5,25.875,25.25,25.875,112900,4.2912040000000005
1990-07-03,25.75,25.875,25.5,25.625,149400,4.249743
1990-07-05,25.75,25.75,25.125,25.375,196700,4.208282
1990-07-06,25.5,25.75,25.25,25.25,91300,4.187551
1990-07-09,25.375,25.625,25.125,25.375,132100,4.208282
1990-07-10,25.375,25.75,25.25,25.25,151300,4.187551
1990-07-11,25.25,25.625,25.125,25.625,178200,4.249743
1990-07-12,25.375,25.75,25.25,25.75,372600,4.270473
1990-07-13,25.625,25.75,25.5,25.75,210200,4.270473
1990-07-16,25.75,26.0,25.625,25.75,409100,4.270473
