Date,Open,High,Low,Close,Volume,Adj Close
2002-09-25,16.1,16.1,16.1,16.1,1000,15.238622
2002-09-26,16.1,16.4,16.1,16.4,111900,15.522570000000002
2002-09-27,16.25,16.299999,16.049999,16.1,37100,15.238622
2002-09-30,16.0,17.25,15.8,17.25,903300,16.327094
2002-10-01,17.200001,17.65,16.780001000000002,16.780001000000002,662400,15.882241
2002-10-02,16.780001000000002,16.780001000000002,15.35,15.7,592100,14.860022
2002-10-03,15.55,16.379998999999998,15.55,16.1,650400,15.238622
2002-10-04,16.0,16.1,15.55,15.68,380200,14.841092000000002
2002-10-07,15.75,16.0,15.0,15.0,594700,14.197473
2002-10-08,14.4,14.4,13.77,14.04,416600,13.288835
2002-10-09,14.1,14.25,13.95,14.0,291800,13.250975
2002-10-10,13.95,14.0,13.23,13.49,739900,12.768261
2002-10-11,13.59,13.88,13.45,13.6,487200,12.872376
2002-10-14,13.4,14.38,13.4,14.17,166200,13.411879999999998
2002-10-15,14.12,14.98,14.12,14.95,318500,14.150148000000002
2002-10-16,14.85,14.95,14.12,14.15,274100,13.392949
2002-10-17,14.15,14.48,14.14,14.39,1012300,13.62011
2002-10-18,14.4,14.93,14.2,14.76,342600,13.970314000000002
2002-10-21,14.55,14.94,14.5,14.77,263500,13.979779
2002-10-22,14.75,15.1,14.6,15.1,279900,14.292123000000002
2002-10-23,15.1,15.38,15.0,15.34,372600,14.519282999999998
2002-10-24,15.3,15.48,15.26,15.48,395500,14.651792000000002
2002-10-25,15.48,15.48,15.05,15.37,265100,14.547676999999998
2002-10-28,15.35,15.42,15.25,15.35,442600,14.528748
2002-10-29,15.35,15.35,15.2,15.34,202200,14.519282999999998
2002-10-30,15.35,16.08,15.35,16.0,197100,15.143970999999999
2002-10-31,16.0,16.030001000000002,15.9,15.9,257100,15.049320999999999
2002-11-01,15.9,16.0,15.72,16.0,159800,15.143970999999999
2002-11-04,15.97,16.1,15.75,15.85,120800,15.001997
2002-11-05,15.85,15.85,15.45,15.61,252700,14.774837
2002-11-06,15.65,15.73,15.5,15.55,190700,14.718047
2002-11-07,15.5,15.65,15.05,15.57,207000,14.736977
