Date,Open,High,Low,Close,Volume,Adj Close
1991-07-19,30.0,30.625,29.625,30.0,13808200,7.688242
1991-07-22,29.875,30.0,29.625,30.0,4531800,7.688242
1991-07-23,29.875,30.0,29.75,30.0,2028200,7.688242
1991-07-24,29.875,30.25,29.875,30.25,805800,7.752311
1991-07-25,30.125,31.125,30.125,30.875,969600,7.912482000000001
1991-07-26,31.0,31.25,30.75,30.875,781400,7.912482000000001
1991-07-29,30.75,30.875,30.375,30.5,467400,7.8163789999999995
1991-07-30,30.625,31.0,30.625,31.0,660800,7.944516999999999
1991-07-31,31.125,32.0,31.125,31.625,835200,8.104688000000001
1991-08-01,31.625,32.0,31.625,31.625,1643200,8.104688000000001
1991-08-02,32.0,32.0,31.25,31.75,1237400,8.136723
1991-08-05,31.625,31.625,30.875,31.0,566600,7.944516999999999
1991-08-06,30.875,31.5,30.875,31.5,423400,8.072654
1991-08-07,31.5,31.875,31.0,31.0,654600,7.944516999999999
1991-08-08,31.0,31.0,30.5,30.625,294000,7.848414
1991-08-09,30.625,30.75,30.25,30.25,277000,7.752311
1991-08-12,30.25,30.25,30.0,30.0,304800,7.688242
1991-08-13,30.0,30.5,29.875,29.875,546400,7.656208
1991-08-14,30.0,30.125,29.75,30.125,301600,7.720275999999999
1991-08-15,29.875,30.25,29.375,29.375,783600,7.52807
1991-08-16,29.625,29.875,29.375,29.875,117400,7.656208
1991-08-19,28.25,29.125,27.375,28.875,399600,7.399933
1991-08-20,29.0,29.25,28.75,29.125,151600,7.464002000000001
1991-08-21,30.75,31.0,30.25,30.5,308400,7.8163789999999995
1991-08-22,30.5,31.0,30.375,31.0,219800,7.944516999999999
1991-08-23,30.75,31.125,30.375,30.5,83200,7.8163789999999995
1991-08-26,30.5,30.5,29.875,29.875,108600,7.656208
1991-08-27,30.125,30.125,29.625,29.75,335800,7.624173
1991-08-28,29.875,30.125,29.625,30.0,243200,7.688242
1991-08-29,30.125,30.875,30.125,30.625,256200,7.848414
1991-08-30,30.625,30.75,30.5,30.75,78000,7.8804479999999995
1991-09-03,30.75,30.875,30.375,30.375,162200,7.784345
1991-09-04,30.5,30.625,30.375,30.625,107600,7.848414
1991-09-05,30.625,30.625,30.125,30.125,214400,7.720275999999999
1991-09-06,30.25,30.5,30.25,30.375,127200,7.784345
1991-09-09,30.5,31.75,30.5,31.75,347200,8.136723
1991-09-10,31.75,31.875,31.5,31.5,101000,8.072654
1991-09-11,31.5,31.5,31.375,31.375,273600,8.04062
1991-09-12,31.625,33.5,31.625,33.5,552600,8.585203
1991-09-13,33.75,33.875,33.0,33.125,200200,8.4891
1991-09-16,33.0,33.0,32.875,33.0,49200,8.457066000000001
1991-09-17,33.0,33.0,32.625,32.875,27800,8.425032
