Date,Open,High,Low,Close,Volume,Adj Close
1997-09-17,28.75,30.25,28.75,29.125,20981600,5.920537
1997-09-18,29.5,30.125,29.25,30.125,4839600,6.123817
1997-09-19,30.062481,31.0,30.062481,30.25,2473200,6.149227
1997-09-22,30.0,30.375,29.937519,30.0,4192000,6.098407
1997-09-23,30.0,30.125,29.937519,30.0,1968800,6.098407
1997-09-24,30.062481,30.125,29.937519,30.0,1851600,6.098407
1997-09-25,30.0,30.437519,30.0,30.437519,723200,6.187346
1997-09-26,30.375,31.25,30.312481,31.187519,1176400,6.339805999999999
1997-09-29,31.25,31.625,31.25,31.625,1228000,6.428738
1997-09-30,31.937519,33.375,31.875,32.375,3335200,6.581198
1997-10-01,32.437519,32.437519,31.0,31.0,2534800,6.301687
1997-10-02,31.125,31.187519,30.5,30.875,1344800,6.276276999999999
1997-10-03,31.187519,31.5,31.0,31.312481,1484800,6.365208999999999
1997-10-06,31.187519,32.25,31.187519,32.0,5638000,6.504968
1997-10-07,32.25,32.75,30.625,31.125,15530000,6.327097
1997-10-08,31.125,31.25,30.5,30.687519,11980400,6.2381660000000005
1997-10-09,30.625,32.0,30.062481,31.937519,9234000,6.492267
1997-10-10,30.875,31.937519,30.75,31.562481,7411200,6.416029
1997-10-13,31.625,32.062481,31.562481,32.062481,7563600,6.517669000000001
1997-10-14,31.812481,32.437519,31.75,31.875,12276800,6.479558
1997-10-15,31.125,31.812481,31.125,31.75,6505200,6.454148
1997-10-16,32.0,32.125,31.5,31.75,6472000,6.454148
1997-10-17,31.25,31.375,30.312481,31.187519,4623600,6.339805999999999
1997-10-20,31.062481,32.437519,31.062481,32.25,5748000,6.555788000000001
1997-10-21,32.0,34.187519,32.0,33.562481,6628000,6.822589
1997-10-22,33.0,33.375,32.625,33.0,4033600,6.708247999999999
1997-10-23,32.5,33.062481,32.25,33.0,5527600,6.708247999999999
1997-10-24,33.062481,33.25,32.437519,33.0,4024800,6.708247999999999
1997-10-27,32.5,32.562481,30.625,31.125,4816000,6.327097
1997-10-28,30.125,31.625,29.125,30.937519,3350400,6.288986
1997-10-29,31.062481,31.5,30.187519,30.312481,2362400,6.161928
1997-10-30,29.125,30.187519,29.125,29.5,3524000,5.996767
1997-10-31,29.5,30.5,29.437519,30.312481,3834800,6.161928
1997-11-03,30.5,30.75,30.062481,30.5,3923200,6.2000470000000005
1997-11-04,30.25,30.562481,29.875,30.125,4205600,6.123817
1997-11-05,30.0,30.5,29.875,30.187519,4460800,6.136526
1997-11-06,30.25,32.0,30.125,31.625,4446800,6.428738
1997-11-07,31.5,32.437519,31.0,32.0,4353600,6.504968
1997-11-10,32.25,34.375,32.125,33.812481,3940800,6.873409
1997-11-11,32.75,33.625,32.75,33.5,2965600,6.809888000000001
1997-11-12,33.25,33.5,32.812481,32.812481,2981600,6.670128999999999
1997-11-13,32.937519,33.687519,32.937519,33.5,5003600,6.809888000000001
1997-11-14,34.25,36.0,34.125,35.25,7962400,7.165628
1997-11-17,35.5,36.25,35.25,35.312481,3616400,7.17833
1997-11-18,35.125,35.312481,33.625,33.812481,4189200,6.873409
1997-11-19,33.625,34.25,33.375,34.0,4330800,6.911528
1997-11-20,34.0,34.312481,33.875,34.125,4558800,6.9369380000000005
1997-11-21,34.062481,34.625,34.0,34.5,2220000,7.013167999999999
1997-11-24,34.0,34.5,33.5,33.5,2790000,6.809888000000001
1997-11-25,33.562481,33.687519,32.5,32.75,2370800,6.6574279999999995
1997-11-26,32.5,33.375,32.5,33.187519,1908800,6.746367
1997-11-28,33.125,34.0,33.125,33.812481,840400,6.873409
1997-12-01,34.375,34.375,33.812481,34.0,2174000,6.911528
1997-12-02,34.25,34.25,33.625,34.062481,3128400,6.9242289999999995
1997-12-03,34.0,34.75,34.0,34.687519,1442800,7.051286999999999
1997-12-04,35.0,35.437519,34.687519,34.812481,3282800,7.076689
1997-12-05,34.812481,34.875,34.5,34.625,2854000,7.038578
1997-12-08,34.375,34.937519,34.25,34.5,1540400,7.013167999999999
1997-12-09,34.125,34.5,34.062481,34.187519,1397200,6.949647
1997-12-10,34.0,34.0,31.687519,32.25,6426000,6.555788000000001
1997-12-11,31.625,31.75,30.875,31.125,4354400,6.327097
1997-12-12,31.187519,31.25,30.25,30.375,3363200,6.174637000000001
1997-12-15,30.125,30.75,30.062481,30.187519,7172800,6.136526
1997-12-16,30.0,30.937519,30.0,30.75,7638000,6.2508669999999995
1997-12-17,30.812481,31.312481,30.187519,30.375,5026000,6.174637000000001
1997-12-18,30.125,30.187519,29.562481,29.875,1942400,6.072997
1997-12-19,29.75,30.0,29.625,29.812481,2028400,6.060288
1997-12-22,30.0,30.125,29.375,29.812481,1620400,6.060288
1997-12-23,29.562481,29.687519,28.312481,28.375,3141600,5.768077
1997-12-24,28.125,28.812481,27.875,28.75,1541200,5.844307
1997-12-26,28.625,28.687519,28.312481,28.312481,887600,5.755368
1997-12-29,28.062481,29.0,28.0,28.375,1568800,5.768077
1997-12-30,28.375,29.562481,28.312481,29.312481,1933600,5.958648
1997-12-31,29.062481,29.187519,28.75,29.062481,3035200,5.907828
1998-01-02,29.062481,29.312481,28.375,29.125,2127600,5.920537
1998-01-05,29.125,29.25,27.875,28.25,4930000,5.742667
1998-01-06,27.875,27.875,26.937519,27.062481,6155200,5.501268
1998-01-07,26.875,27.75,26.625,27.0,4323600,5.4885660000000005
1998-01-08,26.5,26.75,25.75,25.937519,3906000,5.272584999999999
1998-01-09,25.875,26.937519,25.75,26.0,6994800,5.285286
1998-01-12,25.125,26.437519,25.062481,26.125,3833600,5.310696
1998-01-13,25.875,26.375,25.75,26.125,3582400,5.310696
1998-01-14,26.187519,26.812481,25.562481,26.125,2724000,5.310696
1998-01-15,26.0,26.875,25.75,26.75,6312800,5.437746
1998-01-16,26.625,27.0,26.562481,26.937519,2226000,5.475865
1998-01-20,26.875,27.75,26.75,27.75,2816400,5.641026999999999
1998-01-21,27.5,27.5,27.187519,27.375,1699600,5.564797
1998-01-22,27.375,27.437519,27.0,27.125,2056400,5.513977
1998-01-23,27.0,27.125,26.562481,26.75,2384400,5.437746
1998-01-26,26.5,26.937519,26.375,26.625,1776400,5.412336
1998-01-27,26.25,26.625,26.0,26.562481,3398000,5.399628
1998-01-28,26.5,27.375,26.375,27.375,3906400,5.564797
1998-01-29,27.125,28.062481,27.0,27.437519,3084400,5.577505
1998-01-30,27.25,27.375,26.937519,27.312481,5987600,5.5520879999999995
1998-02-02,27.562481,28.5,27.562481,27.875,3898000,5.666437
1998-02-03,27.625,27.75,27.5,27.625,2940000,5.615616999999999
1998-02-04,27.5,28.5,27.375,28.375,3774800,5.768077
1998-02-05,28.062481,28.375,27.875,28.0,2215600,5.691847
1998-02-06,27.75,28.75,27.75,28.687519,1963600,5.831606
