Date,Open,High,Low,Close,Volume,Adj Close
2001-07-25,29.5,30.950001,29.5,29.76,2439400,28.715833
2001-07-26,28.9,28.9,28.0,28.1,2675400,27.114076
2001-07-27,28.200001,29.01,28.200001,28.4,1398200,27.403548999999998
2001-07-30,28.4,28.549999,28.4,28.459999,766900,27.461444
2001-07-31,28.459999,28.65,28.43,28.6,974600,27.596533
2001-08-01,29.0,29.85,29.0,29.5,1863700,28.464955
2001-08-02,29.48,29.700001,28.5,28.65,785000,27.644778000000002
2001-08-03,28.4,28.450001,27.9,28.0,1204500,27.017584000000003
2001-08-06,28.0,28.200001,27.299999,27.76,1565500,26.786005
2001-08-07,28.5,30.5,28.200001,29.940001000000002,7815800,28.889516999999998
2001-08-08,29.700001,29.75,28.049999,28.690001000000002,5274500,27.683375
2001-08-09,28.1,28.450001,27.549999,28.360001,2996900,27.364953999999997
2001-08-10,28.0,28.35,27.43,28.0,3193700,27.017584000000003
2001-08-13,27.75,27.85,26.85,27.299999,4809800,26.342144
2001-08-14,27.299999,28.1,27.200001,27.700001,3667700,26.728111
2001-08-15,27.75,28.4,27.700001,28.08,2622100,27.094777
2001-08-16,28.030001000000002,28.1,27.299999,28.1,2132100,27.114076
2001-08-17,27.700001,28.0,26.530001000000002,28.0,1747200,27.017584000000003
2001-08-20,27.65,27.719998999999998,26.799999,27.200001,2066600,26.245654
2001-08-21,27.200001,27.440001000000002,27.1,27.34,1870500,26.380740999999997
2001-08-22,27.1,27.26,26.4,27.26,2549800,26.303548
2001-08-23,27.15,27.190001000000002,26.73,26.75,2343000,25.811442
2001-08-24,26.25,26.719998999999998,26.049999,26.690001000000002,1909700,25.753548000000002
2001-08-27,26.6,26.799999,26.299999,26.66,1461800,25.7246
2001-08-28,26.1,26.299999,25.860001,26.02,2378300,25.107056
2001-08-29,26.02,26.75,25.950001,26.4,2020500,25.473722
2001-08-30,26.4,27.299999,26.4,26.950001,2443000,26.004426000000002
2001-08-31,26.799999,27.200001,26.5,27.200001,1447500,26.245654
2001-09-04,27.1,28.0,27.09,27.780001000000002,1697200,26.805304
2001-09-05,27.65,27.83,27.15,27.65,1655000,26.679864000000002
2001-09-06,27.549999,27.6,27.0,27.24,2030900,26.28425
2001-09-07,26.5,27.870001000000002,26.4,26.66,1748200,25.7246
2001-09-10,26.5,26.83,26.299999,26.440001000000002,1020100,25.512319
2001-09-17,25.1,26.040001,24.780001000000002,25.25,1665200,24.364072
2001-09-18,25.25,25.360001,24.700001,25.1,1687700,24.219335
2001-09-19,24.799999,26.120001000000002,24.799999,25.02,1494700,24.142142
2001-09-20,25.0,26.49,24.860001,25.75,1993600,24.846528
2001-09-21,25.0,26.85,24.950001,25.85,1945900,24.94302
2001-09-24,25.799999,27.049999,25.799999,26.700001,1803600,25.763197
2001-09-25,26.700001,26.99,26.0,26.299999,1586600,25.377229999999997
2001-09-26,26.25,26.99,26.25,26.799999,1020600,25.859687
2001-09-27,26.6,27.6,26.6,27.0,1637300,26.052671
2001-09-28,27.0,28.0,26.950001,27.75,1019000,26.776356
2001-10-01,27.75,28.66,27.5,28.110001,1090300,27.123725
2001-10-02,28.15,28.75,28.120001000000002,28.549999,1174400,27.548285999999997
2001-10-03,28.549999,28.9,28.34,28.799999,814200,27.789515
